,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
233,chr14,100704635,100749125,ENSG00000100811.14_9,YY1,chr14,101872321,101874595,ENSG00000259023.3_9,LINC00524,0.1927710843373494,0.0039603960396039,0.0,0.0416666666666666,0.0,0.2456140350877192,0.0950118764845605,0.1563342318059299,0.1941747572815534,0.0652173913043478,0.0653846153846153,0.0954095409540954,0.0926640926640926,0.0698481561822125,0.0208333333333333,0.116504854368932,0.0103448275862068,0.1520833333333333,0.7415730337078652,0.0,0.0,0.0,0.2727272727272727,0.0924214417744916,0.3448275862068966,0.1,0.1235059760956175,0.0199600798403193,0.1793478260869565,0.0,0.0132450331125827,0.06,0.2121212121212121
8048,chr10,45454855,45491339,ENSG00000107551,RASSF4,chr10,43633893,43680750,ENSG00000169826,CSGALNACT2,0.0240963855421686,0.0237623762376237,0.0,0.0,0.0189873417721519,0.0526315789473684,0.0190023752969121,0.0080862533692722,0.2985436893203883,0.0054347826086956,0.0576923076923076,0.1467146714671467,0.0888030888030888,0.2603036876355748,0.0,0.0679611650485436,0.0103448275862068,0.0291666666666666,0.5393258426966292,0.0391061452513966,0.0484496124031007,0.0097087378640776,0.2411873840445269,0.4953789279112754,0.0919540229885057,0.0068965517241379,0.1135458167330677,0.0159680638722554,0.1902173913043478,0.0126582278481012,0.0596026490066225,0.0066666666666666,0.0454545454545454
11641,chr11,125439176,125454579,ENSG00000149547,EI24,chr11,126081619,126132879,ENSG00000197798,FAM118B,0.072289156626506,0.0396039603960396,0.05,0.1,0.0063291139240506,0.1228070175438596,0.2565320665083135,0.0404312668463611,0.3398058252427184,0.1521739130434782,0.0538461538461538,0.2016201620162016,0.0656370656370656,0.0533622559652928,0.0208333333333333,0.1601941747572815,0.0655172413793103,0.0979166666666666,0.5168539325842697,0.0111731843575419,0.0,0.203883495145631,0.4155844155844156,0.2051756007393715,0.425287356321839,0.0793103448275862,0.3247011952191235,0.4211576846307385,0.2228260869565217,0.0632911392405063,0.0198675496688741,0.1,0.0303030303030303
11644,chr11,124622479,124632186,ENSG00000149564,ESAM,chr11,126081619,126132879,ENSG00000197798,FAM118B,0.1867469879518072,0.2712871287128713,0.0,0.0083333333333333,0.0443037974683544,0.0526315789473684,0.1567695961995249,0.0269541778975741,0.4733009708737864,0.1485507246376811,0.0423076923076923,0.1134113411341134,0.1891891891891892,0.1436008676789588,0.0,0.2572815533980582,0.0724137931034482,0.1770833333333333,0.7191011235955056,0.1340782122905028,0.0523255813953488,0.058252427184466,0.4081632653061224,0.2532347504621072,0.1724137931034483,0.0137931034482758,0.2171314741035856,0.2355289421157684,0.2010869565217391,0.0632911392405063,0.3311258278145695,0.0133333333333333,0.4393939393939394
14080,chr12,121124952,121139662,ENSG00000110917,MLEC,chr12,120899475,120907551,ENSG00000111786,SRSF9,0.2349397590361445,0.095049504950495,0.0,0.0583333333333333,0.0253164556962025,0.4561403508771929,0.1591448931116389,0.3450134770889488,0.4004854368932038,0.1557971014492753,0.4384615384615384,0.342034203420342,0.4633204633204633,0.1800433839479392,0.2291666666666666,0.3859223300970874,0.2482758620689655,0.225,0.6404494382022472,0.1508379888268156,0.4534883720930232,0.1553398058252427,0.3784786641929499,0.4676524953789279,0.1264367816091954,0.0,0.2250996015936255,0.1137724550898203,0.4184782608695652,0.1518987341772152,0.1920529801324503,0.0666666666666666,0.0
16777,chr14,64970430,65000408,ENSG00000126804,ZBTB1,chr14,65381079,65411309,ENSG00000258289,CHURC1,0.3253012048192771,0.0019801980198019,0.175,0.1166666666666666,0.0316455696202531,0.0,0.0,0.105121293800539,0.4077669902912621,0.0326086956521739,0.4,0.0279027902790279,0.1158301158301158,0.1362255965292841,0.0208333333333333,0.2160194174757281,0.0241379310344827,0.3583333333333333,0.5056179775280899,0.0,0.1782945736434108,0.1359223300970873,0.222634508348794,0.0166358595194085,0.0,0.0344827586206896,0.3426294820717131,0.0039920159680638,0.4565217391304347,0.0759493670886076,0.2185430463576159,0.1066666666666666,0.0
18555,chr16,67756973,67840555,ENSG00000141084,RANBP10,chr16,69740899,69760571,ENSG00000181019,NQO1,0.4156626506024096,0.0732673267326732,0.0375,0.0,0.0063291139240506,0.0350877192982456,0.0475059382422802,0.091644204851752,0.3592233009708738,0.1992753623188405,0.2115384615384615,0.3861386138613861,0.0077220077220077,0.0490238611713665,0.0,0.2597087378640776,0.1517241379310344,0.4395833333333333,0.5842696629213483,0.0,0.003875968992248,0.087378640776699,0.1948051948051948,0.0258780036968576,0.2298850574712643,0.0241379310344827,0.1713147410358565,0.0159680638722554,0.2065217391304347,0.1139240506329113,0.0,0.0133333333333333,0.0
29862,chr20,1290553,1309783,ENSG00000125775,SDCBP2,chr20,306239,310868,ENSG00000177732,SOX12,0.2108433734939759,0.0099009900990099,0.025,0.0,0.0063291139240506,0.0175438596491228,0.009501187648456,0.1859838274932614,0.3422330097087379,0.0344202898550724,0.3557692307692308,0.0117011701170117,0.0193050193050193,0.0737527114967462,0.0208333333333333,0.2742718446601941,0.0068965517241379,0.225,0.6348314606741573,0.0279329608938547,0.0290697674418604,0.087378640776699,0.1001855287569573,0.0055452865064695,0.0114942528735632,0.0655172413793103,0.0677290836653386,0.0019960079840319,0.2554347826086957,0.0126582278481012,0.0132450331125827,0.0733333333333333,0.3636363636363636
32590,chr3,48509197,48542259,ENSG00000164054,SHISA5,chr3,49506136,49573051,ENSG00000173402,DAG1,0.3253012048192771,0.1227722772277227,0.2625,0.15,0.430379746835443,0.0350877192982456,0.4109263657957244,0.2183288409703504,0.4587378640776699,0.2608695652173913,0.1038461538461538,0.2601260126012601,0.2007722007722007,0.1145336225596529,0.0,0.203883495145631,0.4275862068965517,0.3520833333333333,0.5449438202247191,0.0111731843575419,0.4302325581395348,0.2912621359223301,0.2504638218923933,0.0369685767097966,0.4482758620689655,0.2034482758620689,0.2270916334661354,0.3413173652694611,0.3097826086956521,0.0126582278481012,0.0,0.1,0.4242424242424242
36175,chr6,116422014,116570660,ENSG00000178425,NT5DC1,chr6,118320138,118320611,ENSG00000230202,AL450405.1,0.1626506024096385,0.0396039603960396,0.0875,0.2666666666666666,0.0063291139240506,0.0350877192982456,0.2470308788598574,0.0512129380053908,0.2402912621359223,0.036231884057971,0.1884615384615384,0.4221422142214221,0.0888030888030888,0.0108459869848156,0.1875,0.1941747572815534,0.0448275862068965,0.1875,0.550561797752809,0.0,0.0,0.0,0.2894248608534323,0.0073937153419593,0.1954022988505747,0.0758620689655172,0.2191235059760956,0.1197604790419161,0.2119565217391304,0.0379746835443038,0.0,0.0266666666666666,0.106060606060606
