,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
2588,chr1,155225770,155232221,ENSG00000116521,SCAMP3,chr1,156711901,156736717,ENSG00000143321,HDGF,0.0240963855421686,0.2693069306930693,0.075,0.0583333333333333,0.0443037974683544,0.0175438596491228,0.1021377672209026,0.4097035040431266,0.3106796116504854,0.0489130434782608,0.1038461538461538,0.0171017101710171,0.1312741312741312,0.568763557483731,0.0833333333333333,0.0388349514563106,0.3758620689655172,0.0479166666666666,0.0337078651685393,0.1508379888268156,0.0426356589147286,0.1359223300970873,0.0816326530612244,0.3641404805914972,0.2183908045977011,0.0068965517241379,0.0219123505976095,0.029940119760479,0.1684782608695652,0.430379746835443,0.1655629139072847,0.0,0.1666666666666666
5473,chr1,156711901,156736717,ENSG00000143321,HDGF,chr1,156005090,156023589,ENSG00000160803,UBQLN4,0.0180722891566265,0.1584158415841584,0.025,0.0083333333333333,0.2911392405063291,0.0701754385964912,0.0522565320665083,0.4743935309973046,0.3883495145631068,0.036231884057971,0.348076923076923,0.0189018901890189,0.2741312741312741,0.5874186550976139,0.125,0.0388349514563106,0.4482758620689655,0.0791666666666666,0.0505617977528089,0.1340782122905028,0.436046511627907,0.1941747572815534,0.0575139146567718,0.3382624768946395,0.3218390804597701,0.0344827586206896,0.0239043824701195,0.0119760479041916,0.4510869565217391,0.430379746835443,0.3841059602649007,0.04,0.4848484848484848
5488,chr1,156711901,156736717,ENSG00000143321,HDGF,chr1,155204243,155214490,ENSG00000177628,GBA,0.0060240963855421,0.0574257425742574,0.025,0.0,0.0253164556962025,0.0526315789473684,0.1163895486935867,0.1590296495956873,0.4611650485436893,0.036231884057971,0.1307692307692307,0.0234023402340234,0.1119691119691119,0.5080260303687636,0.0,0.0364077669902912,0.2241379310344827,0.0541666666666666,0.0393258426966292,0.1396648044692737,0.0077519379844961,0.1262135922330097,0.0705009276437847,0.3752310536044362,0.1034482758620689,0.0068965517241379,0.045816733067729,0.0139720558882235,0.4076086956521739,0.3544303797468354,0.1390728476821192,0.0,0.1515151515151515
6720,chr1,204372509,204380945,ENSG00000158615,PPP1R15B,chr1,204485507,204527248,ENSG00000198625,MDM4,0.0240963855421686,0.0059405940594059,0.075,0.1916666666666666,0.1392405063291139,0.1403508771929824,0.0475059382422802,0.0727762803234501,0.0533980582524271,0.1177536231884057,0.073076923076923,0.189018901890189,0.0463320463320463,0.5926247288503254,0.1458333333333333,0.0315533980582524,0.0068965517241379,0.0166666666666666,0.0112359550561797,0.0167597765363128,0.0329457364341085,0.1067961165048543,0.1354359925788497,0.1035120147874306,0.057471264367816,0.0413793103448275,0.0856573705179282,0.0219560878243512,0.1739130434782608,0.0253164556962025,0.2251655629139073,0.14,0.0
7484,chr1,212738676,212794119,ENSG00000162772,ATF3,chr1,211744910,211752503,ENSG00000170385,SLC30A1,0.2710843373493976,0.4910891089108911,0.0,0.0916666666666666,0.3354430379746835,0.1403508771929824,0.2494061757719715,0.4150943396226415,0.3009708737864077,0.2735507246376811,0.2807692307692307,0.3411341134113411,0.166023166023166,0.6212581344902386,0.0,0.3252427184466019,0.2241379310344827,0.3791666666666666,0.3820224719101123,0.1508379888268156,0.0910852713178294,0.0097087378640776,0.3469387755102041,0.4787430683918669,0.4712643678160919,0.4068965517241379,0.2908366533864542,0.3093812375249501,0.2826086956521739,0.1645569620253164,0.0596026490066225,0.1066666666666666,0.2272727272727272
7672,chr1,205271191,205290873,ENSG00000163545,NUAK2,chr1,204485507,204527248,ENSG00000198625,MDM4,0.0120481927710843,0.0178217821782178,0.275,0.1666666666666666,0.0126582278481012,0.0526315789473684,0.1258907363420427,0.0242587601078167,0.0339805825242718,0.0742753623188405,0.0365384615384615,0.0351035103510351,0.0115830115830115,0.5427331887201735,0.2291666666666666,0.0194174757281553,0.0310344827586206,0.0041666666666666,0.0168539325842696,0.0111731843575419,0.0484496124031007,0.2135922330097087,0.0705009276437847,0.0388170055452865,0.0,0.0620689655172413,0.0896414342629482,0.0039920159680638,0.1576086956521739,0.0,0.0529801324503311,0.1466666666666666,0.0
22109,chr17,80278900,80291950,ENSG00000141574,SECTM1,chr17,79650356,79670168,ENSG00000185359,HGS,0.0120481927710843,0.3722772277227723,0.4,0.2,0.1329113924050632,0.1578947368421052,0.1353919239904988,0.0026954177897574,0.0461165048543689,0.0289855072463768,0.0365384615384615,0.1764176417641764,0.2007722007722007,0.5002169197396963,0.0416666666666666,0.087378640776699,0.0655172413793103,0.0458333333333333,0.1404494382022472,0.4916201117318435,0.4844961240310077,0.1844660194174757,0.0760667903525046,0.2624768946395563,0.1264367816091954,0.0310344827586206,0.0537848605577689,0.0179640718562874,0.0706521739130434,0.2784810126582278,0.390728476821192,0.0066666666666666,0.1969696969696969
27824,chr19,12721732,12744654,ENSG00000173875,ZNF791,chr19,13049392,13055303,ENSG00000179218,CALR,0.0060240963855421,0.091089108910891,0.0,0.05,0.0316455696202531,0.0,0.1472684085510688,0.0835579514824797,0.2402912621359223,0.019927536231884,0.0326923076923076,0.0891089108910891,0.1196911196911196,0.6399132321041214,0.0,0.0169902912621359,0.0517241379310344,0.0270833333333333,0.0617977528089887,0.1564245810055866,0.0174418604651162,0.0194174757281553,0.1298701298701298,0.2513863216266174,0.0804597701149425,0.3724137931034483,0.0239043824701195,0.0239520958083832,0.2065217391304347,0.0759493670886076,0.119205298013245,0.0266666666666666,0.0303030303030303
27825,chr19,12721732,12744654,ENSG00000173875,ZNF791,chr19,13056669,13064456,ENSG00000179262,RAD23A,0.0180722891566265,0.1089108910891089,0.05,0.0333333333333333,0.0379746835443038,0.0,0.0950118764845605,0.4123989218328841,0.220873786407767,0.0108695652173913,0.0673076923076923,0.0558055805580558,0.1544401544401544,0.6177874186550976,0.0,0.0412621359223301,0.1,0.0458333333333333,0.1179775280898876,0.1284916201117318,0.0077519379844961,0.0388349514563106,0.2782931354359926,0.321626617375231,0.0919540229885057,0.3379310344827586,0.0677290836653386,0.0139720558882235,0.1847826086956521,0.0632911392405063,0.0132450331125827,0.04,0.106060606060606
28814,chr2,74056043,74100786,ENSG00000124356,STAMBP,chr2,73460548,73480149,ENSG00000135624,CCT7,0.0240963855421686,0.1801980198019802,0.0,0.1833333333333333,0.0316455696202531,0.0,0.0166270783847981,0.1239892183288409,0.3009708737864077,0.1177536231884057,0.3288461538461538,0.1143114311431143,0.1814671814671814,0.5236442516268981,0.0208333333333333,0.0509708737864077,0.0586206896551724,0.0583333333333333,0.3539325842696629,0.0055865921787709,0.0077519379844961,0.0097087378640776,0.1428571428571428,0.1571164510166358,0.1839080459770115,0.2724137931034482,0.0836653386454183,0.1996007984031936,0.2010869565217391,0.0253164556962025,0.1258278145695364,0.0,0.106060606060606
