,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
1433,chr1,32716840,32751766,ENSG00000182866.17_6,LCK,chr1,33660389,33665954,ENSG00000284721.1_6,AL662907.3,0.1746987951807229,0.1306930693069307,0.0625,0.4833333333333333,0.1139240506329113,0.2456140350877192,0.3800475059382422,0.0080862533692722,0.2524271844660194,0.3152173913043478,0.4557692307692307,0.3915391539153915,0.138996138996139,0.1223427331887201,0.1875,0.4126213592233009,0.0344827586206896,0.13125,0.0505617977528089,0.0670391061452514,0.0290697674418604,0.3786407766990291,0.1929499072356215,0.0813308687615526,0.1034482758620689,0.0827586206896551,0.3565737051792829,0.7544910179640718,0.2771739130434782,0.0253164556962025,0.2649006622516556,0.3466666666666667,0.0151515151515151
2344,chr1,54492354,54519177,ENSG00000116209,TMEM59,chr1,52811395,52831877,ENSG00000154222,CC2D1B,0.0120481927710843,0.0099009900990099,0.1125,0.0,0.0,0.0,0.2114014251781472,0.1805929919137466,0.0315533980582524,0.3188405797101449,0.0326923076923076,0.1854185418541854,0.0038610038610038,0.3761388286334056,0.0,0.0145631067961165,0.0137931034482758,0.0166666666666666,0.1685393258426966,0.0055865921787709,0.0465116279069767,0.0194174757281553,0.4860853432282003,0.0018484288354898,0.0,0.3413793103448276,0.095617529880478,0.6127744510978044,0.0434782608695652,0.3037974683544304,0.0066225165562913,0.34,0.0
3244,chr1,24128375,24165110,ENSG00000117305,HMGCL,chr1,26145131,26159433,ENSG00000117640,MTFR1L,0.0,0.1287128712871287,0.1625,0.0583333333333333,0.1012658227848101,0.0350877192982456,0.1068883610451306,0.0080862533692722,0.0898058252427184,0.0163043478260869,0.0153846153846153,0.0747074707470747,0.3088803088803089,0.3301518438177874,0.0208333333333333,0.0097087378640776,0.0275862068965517,0.0,0.0898876404494382,0.2011173184357542,0.0251937984496124,0.1067961165048543,0.0296846011131725,0.0739371534195933,0.0689655172413793,0.0,0.0637450199203187,0.7045908183632734,0.0489130434782608,0.3291139240506329,0.0596026490066225,0.34,0.1666666666666666
3569,chr1,24828841,24867530,ENSG00000117602,RCAN3,chr1,26126667,26144712,ENSG00000162430,SELENON,0.036144578313253,0.1465346534653465,0.4125,0.0333333333333333,0.4367088607594936,0.2105263157894736,0.1187648456057007,0.0377358490566037,0.1504854368932038,0.1775362318840579,0.0096153846153846,0.1341134113411341,0.416988416988417,0.0594360086767895,0.0208333333333333,0.0655339805825242,0.0482758620689655,0.01875,0.0224719101123595,0.0893854748603352,0.4980620155038759,0.2621359223300971,0.0871985157699443,0.1275415896487985,0.4597701149425287,0.0275862068965517,0.0438247011952191,0.7445109780439122,0.0760869565217391,0.0379746835443038,0.0397350993377483,0.04,0.0454545454545454
3818,chr1,28218035,28241257,ENSG00000117748,RPA2,chr1,27561123,27635127,ENSG00000142784,WDTC1,0.3132530120481928,0.2336633663366336,0.3375,0.2583333333333333,0.2151898734177215,0.2982456140350877,0.1520190023752969,0.0566037735849056,0.0631067961165048,0.1793478260869565,0.1115384615384615,0.3411341134113411,0.2316602316602316,0.1331887201735357,0.1875,0.2888349514563106,0.0827586206896551,0.2083333333333333,0.0674157303370786,0.2402234636871508,0.2616279069767442,0.2233009708737864,0.0760667903525046,0.0683918669131238,0.1264367816091954,0.3034482758620689,0.0936254980079681,0.5249500998003992,0.1358695652173913,0.2658227848101265,0.0463576158940397,0.2266666666666666,0.0606060606060606
4039,chr1,53361582,53392884,ENSG00000121310,ECHDC2,chr1,53679771,53686306,ENSG00000162384,CZIB,0.0,0.3188118811881188,0.0,0.1,0.0822784810126582,0.087719298245614,0.0950118764845605,0.3665768194070081,0.0436893203883495,0.1159420289855072,0.1,0.1818181818181818,0.0965250965250965,0.1969631236442516,0.1458333333333333,0.0776699029126213,0.0655172413793103,0.00625,0.0056179775280898,0.0167597765363128,0.1705426356589147,0.203883495145631,0.1410018552875695,0.121996303142329,0.0459770114942528,0.2206896551724138,0.0577689243027888,0.5029940119760479,0.0163043478260869,0.0,0.0397350993377483,0.26,0.0303030303030303
4168,chr1,207207711,207254369,ENSG00000123836,PFKFB2,chr1,205566684,205601139,ENSG00000158711,ELK4,0.0060240963855421,0.0099009900990099,0.0625,0.0,0.0063291139240506,0.0,0.01187648456057,0.013477088948787,0.0218446601941747,0.0144927536231884,0.0596153846153846,0.0054005400540054,0.0,0.3600867678958785,0.0,0.1116504854368932,0.0068965517241379,0.0229166666666666,0.0280898876404494,0.0,0.0,0.116504854368932,0.1057513914656771,0.0073937153419593,0.0,0.0896551724137931,0.0079681274900398,0.8522954091816367,0.1413043478260869,0.0126582278481012,0.390728476821192,0.0,0.0151515151515151
4509,chr1,155657751,155708801,ENSG00000132676,DAP3,chr1,154975106,154990998,ENSG00000160685,ZBTB7B,0.0963855421686747,0.2099009900990099,0.0375,0.0583333333333333,0.0,0.0350877192982456,0.1377672209026128,0.1347708894878706,0.3616504854368932,0.0996376811594202,0.3307692307692307,0.4302430243024302,0.0694980694980695,0.1978308026030368,0.0416666666666666,0.1140776699029126,0.0310344827586206,0.10625,0.2078651685393258,0.0335195530726257,0.001937984496124,0.0970873786407767,0.1614100185528757,0.077634011090573,0.0459770114942528,0.1724137931034483,0.095617529880478,0.6726546906187625,0.3369565217391304,0.2151898734177215,0.2649006622516556,0.0,0.0151515151515151
4557,chr1,155882836,155904204,ENSG00000132680,KHDC4,chr1,153940010,153946837,ENSG00000143578,CREB3L4,0.0602409638554216,0.0376237623762376,0.0,0.0,0.1962025316455696,0.0526315789473684,0.0380047505938242,0.0485175202156334,0.1917475728155339,0.0996376811594202,0.0384615384615384,0.1116111611161116,0.1274131274131274,0.0468546637744034,0.0416666666666666,0.0776699029126213,0.1620689655172413,0.1458333333333333,0.0224719101123595,0.0949720670391061,0.0096899224806201,0.0679611650485436,0.0909090909090909,0.266173752310536,0.0804597701149425,0.0448275862068965,0.0916334661354581,0.7125748502994012,0.1576086956521739,0.050632911392405,0.0,0.0133333333333333,0.0
4566,chr1,155882836,155904204,ENSG00000132680,KHDC4,chr1,153920145,153931091,ENSG00000160741,CRTC2,0.0301204819277108,0.0079207920792079,0.0,0.075,0.0189873417721519,0.2280701754385964,0.1615201900237529,0.0512129380053908,0.0194174757281553,0.1521739130434782,0.073076923076923,0.1215121512151215,0.0347490347490347,0.1080260303687635,0.1875,0.174757281553398,0.0689655172413793,0.0354166666666666,0.0617977528089887,0.0279329608938547,0.0,0.0679611650485436,0.1910946196660482,0.2458410351201478,0.0,0.1724137931034483,0.3685258964143426,0.6027944111776448,0.1032608695652173,0.0379746835443038,0.1655629139072847,0.0533333333333333,0.0
5365,chr1,156720402,156770607,ENSG00000143294,PRCC,chr1,154975106,154990998,ENSG00000160685,ZBTB7B,0.0602409638554216,0.1287128712871287,0.0125,0.05,0.0,0.0701754385964912,0.0902612826603325,0.1509433962264151,0.3276699029126214,0.125,0.1807692307692307,0.1746174617461746,0.0656370656370656,0.4967462039045553,0.0,0.0655339805825242,0.0896551724137931,0.0854166666666666,0.095505617977528,0.0111731843575419,0.001937984496124,0.0097087378640776,0.0797773654916512,0.1497227356746765,0.0,0.1,0.0298804780876494,0.5948103792415169,0.3423913043478261,0.3037974683544304,0.2913907284768212,0.0,0.0
6013,chr1,154127780,154167124,ENSG00000143549,TPM3,chr1,153940010,153946837,ENSG00000143578,CREB3L4,0.0180722891566265,0.0396039603960396,0.0125,0.0,0.1582278481012658,0.0526315789473684,0.0475059382422802,0.1320754716981132,0.1941747572815534,0.0778985507246376,0.0076923076923076,0.0495049504950495,0.081081081081081,0.4381778741865509,0.0208333333333333,0.0194174757281553,0.0655172413793103,0.0333333333333333,0.0168539325842696,0.1005586592178771,0.0174418604651162,0.0776699029126213,0.24860853432282,0.0369685767097966,0.0459770114942528,0.0206896551724137,0.0059760956175298,0.6586826347305389,0.108695652173913,0.0379746835443038,0.2516556291390728,0.02,0.106060606060606
6149,chr1,153940010,153946837,ENSG00000143578,CREB3L4,chr1,154929502,154936329,ENSG00000163348,PYGO2,0.0,0.1782178217821782,0.0,0.225,0.0379746835443038,0.0701754385964912,0.0760095011876484,0.0323450134770889,0.0242718446601941,0.4257246376811594,0.0153846153846153,0.243024302430243,0.1274131274131274,0.0767895878524945,0.4791666666666667,0.1116504854368932,0.2379310344827586,0.0041666666666666,0.1067415730337078,0.0782122905027933,0.1065891472868217,0.0776699029126213,0.0500927643784786,0.0961182994454713,0.0344827586206896,0.0758620689655172,0.0139442231075697,0.9221556886227544,0.0326086956521739,0.1265822784810126,0.3973509933774834,0.0533333333333333,0.0303030303030303
6461,chr1,226819391,226927024,ENSG00000143772,ITPKB,chr1,226332380,226374442,ENSG00000182827,ACBD3,0.0,0.2178217821782178,0.0,0.2666666666666666,0.0949367088607595,0.1228070175438596,0.2660332541567696,0.0,0.0825242718446602,0.1757246376811594,0.173076923076923,0.0981098109810981,0.2432432432432432,0.1787418655097614,0.125,0.0558252427184466,0.0137931034482758,0.0104166666666666,0.0786516853932584,0.0558659217877094,0.0949612403100775,0.1359223300970873,0.0871985157699443,0.2865064695009242,0.1839080459770115,0.1,0.2111553784860557,0.5269461077844312,0.0706521739130434,0.0,0.1854304635761589,0.14,0.0303030303030303
6503,chr1,204042243,204096871,ENSG00000143842,SOX13,chr1,205626979,205649637,ENSG00000158715,SLC45A3,0.0180722891566265,0.0,0.0,0.0,0.0063291139240506,0.0,0.004750593824228,0.0080862533692722,0.0097087378640776,0.0018115942028985,0.0,0.0036003600360036,0.0038610038610038,0.0134490238611713,0.0,0.0048543689320388,0.0,0.0083333333333333,0.0056179775280898,0.0,0.0077519379844961,0.0,0.0018552875695732,0.0018484288354898,0.0,0.0,0.0,0.5748502994011976,0.0217391304347826,0.0,0.0,0.04,0.0
7382,chr1,26126667,26144712,ENSG00000162430,SELENON,chr1,25071873,25170812,ENSG00000169504,CLIC4,0.0602409638554216,0.1386138613861386,0.025,0.0583333333333333,0.0949367088607595,0.1578947368421052,0.1591448931116389,0.0215633423180593,0.3131067961165049,0.0525362318840579,0.0692307692307692,0.2673267326732673,0.138996138996139,0.0585683297180043,0.0,0.1359223300970873,0.0241379310344827,0.0458333333333333,0.2752808988764045,0.0111731843575419,0.2674418604651162,0.1650485436893204,0.2782931354359926,0.0092421441774491,0.0459770114942528,0.0586206896551724,0.1932270916334661,0.5289421157684631,0.1358695652173913,0.0,0.0066225165562913,0.4933333333333333,0.0606060606060606
8960,chr10,126490388,126525236,ENSG00000165660,ABRAXAS2,chr10,124768495,124817806,ENSG00000196177,ACADSB,0.0,0.0178217821782178,0.0,0.0,0.0,0.0,0.0,0.307277628032345,0.0024271844660194,0.0,0.0,0.4158415841584158,0.0,0.1553145336225596,0.0,0.0169902912621359,0.1103448275862069,0.00625,0.0,0.0167597765363128,0.0,0.0097087378640776,0.0538033395176252,0.0499075785582255,0.0,0.0,0.0199203187250996,0.5229540918163673,0.0054347826086956,0.0632911392405063,0.0,0.0,0.1515151515151515
