,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
1563,chr17,40688528,40714080,ENSG00000266929.1_7,AC067852.1,chr17,41196312,41322262,ENSG00000012048.23_10,BRCA1,0.0,0.0752475247524752,0.25,0.0083333333333333,0.0,0.0,0.007125890736342,0.1159029649595687,0.0,0.0181159420289855,0.0,0.0045004500450045,0.0115830115830115,0.0399132321041214,0.0,0.0024271844660194,0.2862068965517241,0.0,0.0112359550561797,0.3966480446927374,0.0406976744186046,0.029126213592233,0.0092764378478664,0.0573012939001848,0.0344827586206896,0.0,0.0,0.1816367265469061,0.0,0.2151898734177215,0.0,0.0,0.5454545454545454
1564,chr17,40698782,40700724,ENSG00000108785.7_2,HSD17B1P1,chr17,41196312,41322262,ENSG00000012048.23_10,BRCA1,0.0,0.1663366336633663,0.275,0.025,0.0063291139240506,0.0,0.0166270783847981,0.1644204851752021,0.0,0.0471014492753623,0.0019230769230769,0.0072007200720072,0.0231660231660231,0.0616052060737527,0.0,0.0169902912621359,0.4689655172413793,0.0,0.0168539325842696,0.4134078212290503,0.0620155038759689,0.0388349514563106,0.0278293135435992,0.0979667282809611,0.0804597701149425,0.0103448275862068,0.0,0.3173652694610778,0.0,0.3670886075949367,0.0,0.0,0.5909090909090909
1645,chr17,41196312,41322262,ENSG00000012048.23_10,BRCA1,chr17,42018172,42019844,ENSG00000108849.8_8,PPY,0.0060240963855421,0.099009900990099,0.125,0.0,0.0,0.0,0.01187648456057,0.0188679245283018,0.0048543689320388,0.1467391304347826,0.0,0.0171017101710171,0.0038610038610038,0.0334056399132321,0.0,0.0024271844660194,0.0586206896551724,0.0020833333333333,0.146067415730337,0.0279329608938547,0.0096899224806201,0.0,0.0055658627087198,0.0314232902033271,0.0229885057471264,0.0517241379310344,0.0,0.0139720558882235,0.0,0.0632911392405063,0.0,0.1333333333333333,0.6212121212121212
1648,chr17,41196312,41322262,ENSG00000012048.23_10,BRCA1,chr17,42088556,42101314,ENSG00000091947.10_7,TMEM101,0.0,0.1663366336633663,0.325,0.05,0.0,0.0,0.004750593824228,0.1159029649595687,0.0024271844660194,0.1177536231884057,0.0019230769230769,0.0324032403240324,0.0154440154440154,0.0642082429501084,0.0,0.0242718446601941,0.4137931034482758,0.0,0.0337078651685393,0.3463687150837989,0.0368217054263565,0.029126213592233,0.0630797773654916,0.0868761552680221,0.0689655172413793,0.093103448275862,0.0,0.3572854291417165,0.0,0.1518987341772152,0.0,0.0,0.696969696969697
1649,chr17,41196312,41322262,ENSG00000012048.23_10,BRCA1,chr17,42102389,42102591,ENSG00000221044.1,U3,0.0,0.1168316831683168,0.3,0.05,0.0,0.0,0.004750593824228,0.0377358490566037,0.0024271844660194,0.0996376811594202,0.0,0.0234023402340234,0.0193050193050193,0.0550976138828633,0.0,0.0242718446601941,0.4,0.0,0.0393258426966292,0.2737430167597765,0.0290697674418604,0.029126213592233,0.059369202226345,0.0757855822550831,0.057471264367816,0.3137931034482759,0.0,0.3373253493013972,0.0,0.0759493670886076,0.0,0.0,0.6818181818181818
1653,chr17,41196312,41322262,ENSG00000012048.23_10,BRCA1,chr17,42193280,42197963,ENSG00000267638.1_8,AC023855.1,0.0,0.3188118811881188,0.35,0.075,0.0126582278481012,0.0,0.0451306413301662,0.1212938005390835,0.0024271844660194,0.0887681159420289,0.0038461538461538,0.0198019801980198,0.0386100386100386,0.0941431670281995,0.0,0.029126213592233,0.4413793103448276,0.0,0.0842696629213483,0.4804469273743016,0.1453488372093023,0.029126213592233,0.0927643784786641,0.1645101663585952,0.1149425287356321,0.4241379310344828,0.0,0.469061876247505,0.0,0.2911392405063291,0.0066225165562913,0.0,0.6363636363636364
1663,chr17,41196312,41322262,ENSG00000012048.23_10,BRCA1,chr17,42306128,42307596,ENSG00000267691.1_4,SHC1P2,0.0,0.1346534653465346,0.0375,0.05,0.0,0.0,0.0237529691211401,0.0404312668463611,0.0048543689320388,0.0688405797101449,0.0,0.0063006300630063,0.0115830115830115,0.078524945770065,0.0,0.0339805825242718,0.3724137931034483,0.0,0.0393258426966292,0.0446927374301676,0.0503875968992248,0.0097087378640776,0.0482374768089053,0.1090573012939001,0.0689655172413793,0.1068965517241379,0.0,0.24750499001996,0.0,0.1518987341772152,0.0066225165562913,0.0,0.6212121212121212
1664,chr17,41196312,41322262,ENSG00000012048.23_10,BRCA1,chr17,42325758,42345509,ENSG00000004939.15_7,SLC4A1,0.0,0.0455445544554455,0.0,0.0083333333333333,0.0189873417721519,0.0,0.0190023752969121,0.0296495956873315,0.0024271844660194,0.0307971014492753,0.0,0.0009000900090009,0.0077220077220077,0.182646420824295,0.0,0.0,0.1793103448275862,0.0,0.0168539325842696,0.1284916201117318,0.0310077519379844,0.0,0.0111317254174397,0.1478743068391867,0.0114942528735632,0.0413793103448275,0.0,0.0379241516966067,0.0,0.1012658227848101,0.2119205298013245,0.0,0.7727272727272727
1665,chr17,41196312,41322262,ENSG00000012048.23_10,BRCA1,chr17,42353736,42358550,ENSG00000285486.1_5,AC003043.2,0.0,0.0752475247524752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238611713665943,0.0,0.0,0.0137931034482758,0.0,0.0168539325842696,0.0949720670391061,0.0232558139534883,0.0,0.0,0.0203327171903881,0.0,0.0,0.0,0.0,0.0,0.050632911392405,0.0,0.0,0.5909090909090909
1666,chr17,41196312,41322262,ENSG00000012048.23_10,BRCA1,chr17,42368226,42368519,ENSG00000239702.2,RN7SL507P,0.0,0.3524752475247524,0.125,0.0,0.0189873417721519,0.0,0.0261282660332541,0.0,0.0024271844660194,0.0326086956521739,0.0019230769230769,0.0099009900990099,0.0115830115830115,0.0143167028199566,0.0,0.0169902912621359,0.3241379310344827,0.0125,0.0449438202247191,0.4636871508379888,0.1705426356589147,0.0194174757281553,0.0259740259740259,0.0351201478743068,0.0114942528735632,0.1172413793103448,0.0,0.1137724550898203,0.0054347826086956,0.3544303797468354,0.0,0.0,0.5909090909090909
