,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
240,chr14,100704635,100749125,ENSG00000100811.14_9,YY1,chr14,102144280,102144717,ENSG00000241494.1_5,AL355032.1,0.0120481927710843,0.0415841584158415,0.0375,0.1416666666666666,0.4050632911392405,0.3157894736842105,0.4061757719714964,0.0161725067385444,0.4199029126213592,0.2391304347826087,0.0403846153846153,0.0288028802880288,0.0617760617760617,0.1336225596529284,0.125,0.0315533980582524,0.0310344827586206,0.0333333333333333,0.0056179775280898,0.0223463687150838,0.005813953488372,0.0194174757281553,0.0352504638218923,0.0258780036968576,0.0229885057471264,0.0034482758620689,0.0278884462151394,0.1337325349301397,0.358695652173913,0.0126582278481012,0.6821192052980133,0.0466666666666666,0.0
1188,chr17,6939334,6943436,ENSG00000174327.7_5,SLC16A13,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.0542168674698795,0.0178217821782178,0.05,0.2416666666666666,0.0,0.0701754385964912,0.0902612826603325,0.3827493261455525,0.0825242718446602,0.0670289855072463,0.375,0.018001800180018,0.0772200772200772,0.1934924078091106,0.0,0.1650485436893204,0.2827586206896552,0.1333333333333333,0.0168539325842696,0.0558659217877094,0.0116279069767441,0.0485436893203883,0.0241187384044526,0.0739371534195933,0.0,0.2344827586206896,0.1314741035856573,0.0479041916167664,0.4728260869565217,0.2784810126582278,0.6026490066225165,0.14,0.303030303030303
1189,chr17,6944940,6947411,ENSG00000174326.14_7,SLC16A11,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.0301204819277108,0.0079207920792079,0.0,0.125,0.0,0.0350877192982456,0.0285035629453681,0.398921832884097,0.0436893203883495,0.0289855072463768,0.2403846153846154,0.0108010801080108,0.0888030888030888,0.1531453362255965,0.0,0.058252427184466,0.0275862068965517,0.0583333333333333,0.0056179775280898,0.0558659217877094,0.003875968992248,0.0097087378640776,0.0185528756957328,0.0295748613678373,0.0,0.1172413793103448,0.0358565737051792,0.0199600798403193,0.2608695652173913,0.1645569620253164,0.5827814569536424,0.08,0.2424242424242424
1305,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,chr17,8243158,8249366,ENSG00000184650.11_10,ODF4,0.0,0.0712871287128712,0.0125,0.0333333333333333,0.0126582278481012,0.0350877192982456,0.002375296912114,0.0026954177897574,0.0097087378640776,0.0271739130434782,0.0057692307692307,0.0297029702970297,0.0772200772200772,0.1696312364425162,0.0,0.0145631067961165,0.1379310344827586,0.01875,0.0280898876404494,0.0279329608938547,0.0949612403100775,0.0097087378640776,0.0296846011131725,0.2365988909426987,0.0,0.0103448275862068,0.0079681274900398,0.0079840319361277,0.0543478260869565,0.0379746835443038,0.8278145695364238,0.16,0.0606060606060606
1852,chr9,21058770,21059322,ENSG00000230208.1_4,IFNNP1,chr9,21967751,21995300,ENSG00000147889.18_8,CDKN2A,0.0060240963855421,0.0019801980198019,0.0,0.0166666666666666,0.0189873417721519,0.0175438596491228,0.1116389548693586,0.0,0.0194174757281553,0.0326086956521739,0.0115384615384615,0.0693069306930693,0.0501930501930501,0.2776572668112798,0.0833333333333333,0.0339805825242718,0.0137931034482758,0.01875,0.0056179775280898,0.0,0.0,0.0,0.0500927643784786,0.011090573012939,0.0114942528735632,0.0275862068965517,0.0119521912350597,0.0,0.0108695652173913,0.0,0.5364238410596026,0.02,0.0
2169,chr1,27938575,27961696,ENSG00000000938,FGR,chr1,27019727,27108595,ENSG00000117713,ARID1A,0.0,0.0,0.0,0.0,0.0,0.0175438596491228,0.0213776722090261,0.0,0.0,0.0,0.0057692307692307,0.0,0.0154440154440154,0.2190889370932754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055658627087198,0.0,0.0114942528735632,0.0034482758620689,0.0079681274900398,0.0,0.0108695652173913,0.0126582278481012,0.7152317880794702,0.0133333333333333,0.0
2173,chr1,27938575,27961696,ENSG00000000938,FGR,chr1,28915835,28969597,ENSG00000120656,TAF12,0.0,0.1287128712871287,0.025,0.1666666666666666,0.0696202531645569,0.1929824561403508,0.2636579572446555,0.0053908355795148,0.0072815533980582,0.0289855072463768,0.1115384615384615,0.0234023402340234,0.2123552123552123,0.1691973969631236,0.3541666666666667,0.0388349514563106,0.0275862068965517,0.0,0.0337078651685393,0.0055865921787709,0.0484496124031007,0.029126213592233,0.1020408163265306,0.0369685767097966,0.1149425287356321,0.1379310344827586,0.1274900398406374,0.0,0.0652173913043478,0.0379746835443038,0.6622516556291391,0.1733333333333333,0.0
2184,chr1,27938575,27961696,ENSG00000000938,FGR,chr1,27561123,27635127,ENSG00000142784,WDTC1,0.0,0.0059405940594059,0.0125,0.0083333333333333,0.0,0.0,0.0712589073634204,0.0,0.0048543689320388,0.0036231884057971,0.0096153846153846,0.0027002700270027,0.0231660231660231,0.2368763557483731,0.1666666666666666,0.0024271844660194,0.0137931034482758,0.0,0.0056179775280898,0.0,0.001937984496124,0.0,0.0241187384044526,0.0018484288354898,0.0114942528735632,0.0068965517241379,0.0159362549800796,0.0,0.0380434782608695,0.0126582278481012,0.6026490066225165,0.02,0.0
2188,chr1,27938575,27961696,ENSG00000000938,FGR,chr1,27730734,27816678,ENSG00000158195,WASF2,0.0,0.0297029702970297,0.0125,0.0083333333333333,0.0,0.0175438596491228,0.1092636579572446,0.0026954177897574,0.0048543689320388,0.0072463768115942,0.0384615384615384,0.0162016201620162,0.0926640926640926,0.3600867678958785,0.3333333333333333,0.0072815533980582,0.0482758620689655,0.0,0.0224719101123595,0.0,0.0135658914728682,0.0194174757281553,0.0482374768089053,0.011090573012939,0.0459770114942528,0.0137931034482758,0.0338645418326693,0.0,0.0543478260869565,0.0253164556962025,0.5099337748344371,0.1066666666666666,0.0
2463,chr1,29474255,29508412,ENSG00000116350,SRSF4,chr1,27680558,27693452,ENSG00000142733,MAP3K6,0.0,0.0257425742574257,0.0,0.2166666666666666,0.0063291139240506,0.0,0.004750593824228,0.0215633423180593,0.0558252427184466,0.0253623188405797,0.2326923076923077,0.0099009900990099,0.054054054054054,0.3396963123644251,0.0,0.3810679611650485,0.0103448275862068,0.0166666666666666,0.0674157303370786,0.0167597765363128,0.0135658914728682,0.0194174757281553,0.0686456400742115,0.0406654343807763,0.0114942528735632,0.3724137931034483,0.2310756972111553,0.0678642714570858,0.4076086956521739,0.0253164556962025,0.5298013245033113,0.0,0.0
