,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
43,chr8,128747680,128755197,ENSG00000136997.21_11,MYC,chr8,130253474,130254715,ENSG00000287785.1_1,AC103833.2,0.0542168674698795,0.0,0.05,0.7583333333333333,0.0063291139240506,0.087719298245614,0.0593824228028503,0.0161725067385444,0.0072815533980582,0.0217391304347826,0.0211538461538461,0.0099009900990099,0.0888030888030888,0.0030368763557483,0.0,0.0266990291262135,0.0,0.0604166666666666,0.0,0.0,0.001937984496124,0.0485436893203883,0.0055658627087198,0.0,0.0,0.0103448275862068,0.0139442231075697,0.0079840319361277,0.0054347826086956,0.0,0.0066225165562913,0.0,0.0
44,chr8,128747680,128755197,ENSG00000136997.21_11,MYC,chr8,130263213,130263384,ENSG00000253225.1_5,AC103833.1,0.0542168674698795,0.0,0.05,0.75,0.0063291139240506,0.0701754385964912,0.0308788598574821,0.0053908355795148,0.0072815533980582,0.0126811594202898,0.0211538461538461,0.009000900090009,0.0347490347490347,0.0073752711496746,0.0,0.0145631067961165,0.0,0.0625,0.0,0.0,0.0,0.0388349514563106,0.0037105751391465,0.0,0.0,0.0103448275862068,0.0159362549800796,0.0079840319361277,0.0054347826086956,0.0,0.0066225165562913,0.0,0.0
108,chr14,100704635,100749125,ENSG00000100811.14_9,YY1,chr14,101054112,101055663,ENSG00000258576.1_8,AL163974.1,0.0,0.0,0.025,0.6666666666666666,0.1265822784810126,0.3684210526315789,0.0926365795724465,0.0026954177897574,0.0509708737864077,0.0271739130434782,0.0288461538461538,0.0225022502250225,0.0926640926640926,0.0429501084598698,0.0208333333333333,0.0145631067961165,0.0034482758620689,0.0083333333333333,0.0,0.2402234636871508,0.1472868217054263,0.0485436893203883,0.0222634508348794,0.0018484288354898,0.0919540229885057,0.0,0.045816733067729,0.0059880239520958,0.0869565217391304,0.0379746835443038,0.1721854304635761,0.0866666666666666,0.0
1360,chr1,31902192,31902614,ENSG00000268950.1,AC114494.1,chr1,32716840,32751766,ENSG00000182866.17_6,LCK,0.2289156626506024,0.0495049504950495,0.0375,0.8833333333333333,0.0,0.0350877192982456,0.0332541567695962,0.0296495956873315,0.3009708737864077,0.1503623188405797,0.2153846153846154,0.1125112511251125,0.0463320463320463,0.1904555314533622,0.3125,0.1432038834951456,0.0172413793103448,0.2916666666666667,0.3539325842696629,0.1675977653631284,0.0135658914728682,0.058252427184466,0.1892393320964749,0.0720887245841035,0.0344827586206896,0.2172413793103448,0.2071713147410358,0.0419161676646706,0.2010869565217391,0.0,0.1788079470198675,0.2133333333333333,0.0
3206,chr1,205473724,205501921,ENSG00000117266,CDK18,chr1,206744620,206785818,ENSG00000143486,EIF2D,0.1144578313253012,0.1445544554455445,0.05,0.7166666666666667,0.0063291139240506,0.0526315789473684,0.1567695961995249,0.137466307277628,0.0169902912621359,0.1467391304347826,0.0365384615384615,0.2286228622862286,0.0386100386100386,0.2308026030368763,0.3125,0.0995145631067961,0.0482758620689655,0.0854166666666666,0.0393258426966292,0.0167597765363128,0.001937984496124,0.1650485436893204,0.1298701298701298,0.0184842883548983,0.1724137931034483,0.1344827586206896,0.149402390438247,0.1037924151696606,0.0163043478260869,0.050632911392405,0.2516556291390728,0.02,0.0151515151515151
3987,chr1,28915835,28969597,ENSG00000120656,TAF12,chr1,28562620,28573417,ENSG00000130770,ATP5IF1,0.036144578313253,0.0039603960396039,0.1375,0.5666666666666667,0.0886075949367088,0.1578947368421052,0.0878859857482185,0.0269541778975741,0.0048543689320388,0.0742753623188405,0.0769230769230769,0.0774077407740774,0.1428571428571428,0.0021691973969631,0.2916666666666667,0.087378640776699,0.0034482758620689,0.0229166666666666,0.0,0.0,0.003875968992248,0.0776699029126213,0.0834879406307977,0.011090573012939,0.0114942528735632,0.3034482758620689,0.0418326693227091,0.0059880239520958,0.0054347826086956,0.0126582278481012,0.0198675496688741,0.0333333333333333,0.0
5032,chr1,89318316,89357627,ENSG00000137947,GTF2B,chr1,89445139,89458643,ENSG00000213516,RBMXL1,0.1325301204819277,0.2574257425742574,0.125,0.65,0.2025316455696202,0.175438596491228,0.2042755344418052,0.0161725067385444,0.0849514563106796,0.1557971014492753,0.0884615384615384,0.2016201620162016,0.0888030888030888,0.1878524945770065,0.1458333333333333,0.2063106796116504,0.0137931034482758,0.1229166666666666,0.0505617977528089,0.0223463687150838,0.0271317829457364,0.145631067961165,0.0686456400742115,0.0166358595194085,0.0,0.196551724137931,0.1274900398406374,0.2834331337325349,0.0706521739130434,0.1139240506329113,0.2119205298013245,0.04,0.0151515151515151
5034,chr1,79115481,79129763,ENSG00000137965,IFI44,chr1,77554674,77685115,ENSG00000142892,PIGK,0.072289156626506,0.1465346534653465,0.2125,0.65,0.0,0.3333333333333333,0.0285035629453681,0.2668463611859838,0.0097087378640776,0.0778985507246376,0.45,0.1449144914491449,0.1969111969111969,0.0420824295010846,0.4583333333333333,0.3033980582524271,0.0413793103448275,0.16875,0.1123595505617977,0.0223463687150838,0.0775193798449612,0.116504854368932,0.0834879406307977,0.0979667282809611,0.4712643678160919,0.293103448275862,0.4382470119521912,0.1836327345309381,0.0054347826086956,0.1392405063291139,0.0,0.4533333333333333,0.0757575757575757
5170,chr1,45205490,45233439,ENSG00000142945,KIF2C,chr1,43272723,43283068,ENSG00000177868,SVBP,0.0662650602409638,0.1643564356435643,0.325,0.525,0.0253164556962025,0.1578947368421052,0.2921615201900237,0.2938005390835579,0.0752427184466019,0.2572463768115942,0.1211538461538461,0.0504050405040504,0.1969111969111969,0.1318872017353579,0.4791666666666667,0.1504854368932038,0.2310344827586206,0.0645833333333333,0.0674157303370786,0.2849162011173184,0.0387596899224806,0.1650485436893204,0.1076066790352504,0.0573012939001848,0.1494252873563218,0.1068965517241379,0.0358565737051792,0.0958083832335329,0.0217391304347826,0.189873417721519,0.3509933774834437,0.06,0.3181818181818182
6348,chr1,227916240,227968932,ENSG00000143740,SNAP47,chr1,226107577,226112040,ENSG00000143811,PYCR2,0.0,0.0059405940594059,0.0375,0.55,0.0379746835443038,0.175438596491228,0.0285035629453681,0.0539083557951482,0.0024271844660194,0.0235507246376811,0.0557692307692307,0.2277227722772277,0.0386100386100386,0.0043383947939262,0.3958333333333333,0.1043689320388349,0.0103448275862068,0.0,0.0,0.0614525139664804,0.0426356589147286,0.0776699029126213,0.0686456400742115,0.0018484288354898,0.1149425287356321,0.0551724137931034,0.2270916334661354,0.0079840319361277,0.0489130434782608,0.1012658227848101,0.0132450331125827,0.0133333333333333,0.0
6573,chr1,113454469,113499635,ENSG00000155380,SLC16A1,chr1,111728591,111747157,ENSG00000162777,DENND2D,0.0120481927710843,0.0138613861386138,0.0,0.525,0.360759493670886,0.0,0.01187648456057,0.0,0.0266990291262135,0.0018115942028985,0.0076923076923076,0.0972097209720972,0.027027027027027,0.0195227765726681,0.4583333333333333,0.0728155339805825,0.0275862068965517,0.00625,0.0,0.0,0.0426356589147286,0.029126213592233,0.0241187384044526,0.0147874306839186,0.0229885057471264,0.0689655172413793,0.0199203187250996,0.0159680638722554,0.0217391304347826,0.0,0.0,0.0,0.0
