,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
1287,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,chr17,8076772,8076905,ENSG00000200463.1,SNORD118,0.0060240963855421,0.0257425742574257,0.225,0.0916666666666666,0.1835443037974683,0.0350877192982456,0.0308788598574821,0.2830188679245283,0.1286407766990291,0.0307971014492753,0.3846153846153846,0.036003600360036,0.2355212355212355,0.2216919739696312,0.0,0.0825242718446602,0.1137931034482758,0.0166666666666666,0.2528089887640449,0.2737430167597765,0.4476744186046512,0.058252427184466,0.098330241187384,0.3604436229205175,0.0689655172413793,0.1275862068965517,0.1115537848605577,0.2534930139720558,0.4239130434782608,0.5189873417721519,0.3178807947019867,0.1266666666666666,0.1363636363636363
4150,chr1,47098409,47139539,ENSG00000123472,ATPAF1,chr1,45476622,45481247,ENSG00000126088,UROD,0.0120481927710843,0.0277227722772277,0.0,0.2083333333333333,0.240506329113924,0.1228070175438596,0.2802850356294536,0.1266846361185983,0.012135922330097,0.1521739130434782,0.0019230769230769,0.0315031503150315,0.138996138996139,0.0225596529284164,0.125,0.0242718446601941,0.4206896551724138,0.025,0.0,0.0111731843575419,0.0600775193798449,0.0776699029126213,0.0111317254174397,0.0628465804066543,0.367816091954023,0.3758620689655172,0.0019920318725099,0.0,0.0054347826086956,0.7215189873417721,0.0066225165562913,0.02,0.4242424242424242
5805,chr1,150933059,150947479,ENSG00000143418,CERS2,chr1,151375200,151431970,ENSG00000143442,POGZ,0.0180722891566265,0.0059405940594059,0.025,0.0,0.0063291139240506,0.0,0.004750593824228,0.3962264150943396,0.0533980582524271,0.0054347826086956,0.0173076923076923,0.0153015301530153,0.0386100386100386,0.0117136659436008,0.0,0.0631067961165048,0.1758620689655172,0.0479166666666666,0.0,0.0279329608938547,0.0,0.0485436893203883,0.0556586270871985,0.1589648798521257,0.0459770114942528,0.0068965517241379,0.0537848605577689,0.0199600798403193,0.0,0.5949367088607594,0.0,0.0,0.0151515151515151
7913,chr1,936518,949920,ENSG00000187608,ISG15,chr1,1260136,1264276,ENSG00000224051,CPTP,0.0060240963855421,0.0019801980198019,0.3625,0.05,0.0063291139240506,0.087719298245614,0.014251781472684,0.1428571428571428,0.029126213592233,0.0072463768115942,0.0807692307692307,0.0126012601260126,0.2123552123552123,0.0633405639913232,0.2291666666666666,0.0339805825242718,0.0344827586206896,0.0145833333333333,0.0280898876404494,0.0782122905027933,0.005813953488372,0.145631067961165,0.0148423005565862,0.1386321626617375,0.0114942528735632,0.0137931034482758,0.0059760956175298,0.2135728542914171,0.0163043478260869,0.7721518987341772,0.0397350993377483,0.22,0.2727272727272727
8671,chr10,112257665,112271291,ENSG00000138166,DUSP5,chr10,114133776,114188138,ENSG00000197142,ACSL5,0.0060240963855421,0.2455445544554455,0.2625,0.0083333333333333,0.0759493670886076,0.2631578947368421,0.0427553444180522,0.0781671159029649,0.0266990291262135,0.056159420289855,0.1134615384615384,0.1521152115211521,0.1158301158301158,0.1140997830802603,0.125,0.2184466019417475,0.2,0.0208333333333333,0.1067415730337078,0.1731843575418994,0.0600775193798449,0.233009708737864,0.111317254174397,0.022181146025878,0.0459770114942528,0.0724137931034482,0.095617529880478,0.0339321357285429,0.1032608695652173,0.5316455696202531,0.0,0.2266666666666666,0.0909090909090909
9742,chr11,117857085,117873752,ENSG00000110324,IL10RA,chr11,118938529,118952682,ENSG00000160695,VPS11,0.0301204819277108,0.1821782178217821,0.4625,0.2416666666666666,0.0696202531645569,0.0701754385964912,0.1258907363420427,0.0835579514824797,0.0679611650485436,0.1032608695652173,0.1019230769230769,0.081008100810081,0.277992277992278,0.1279826464208243,0.3541666666666667,0.1553398058252427,0.2206896551724138,0.0270833333333333,0.0393258426966292,0.2067039106145251,0.0562015503875969,0.1262135922330097,0.0333951762523191,0.1201478743068391,0.0689655172413793,0.3034482758620689,0.0378486055776892,0.0499001996007984,0.0434782608695652,0.5063291139240507,0.0529801324503311,0.0933333333333333,0.1515151515151515
11647,chr11,117049452,117068161,ENSG00000149577,SIDT2,chr11,118938529,118952682,ENSG00000160695,VPS11,0.1265060240963855,0.192079207920792,0.475,0.3083333333333333,0.0886075949367088,0.2807017543859649,0.3135391923990498,0.059299191374663,0.1480582524271844,0.3804347826086957,0.3134615384615384,0.1179117911791179,0.2509652509652509,0.2151843817787418,0.3125,0.3592233009708738,0.296551724137931,0.2020833333333333,0.0561797752808988,0.441340782122905,0.1589147286821705,0.2233009708737864,0.1038961038961039,0.0905730129390018,0.1149425287356321,0.4689655172413793,0.2709163346613545,0.2674650698602794,0.2010869565217391,0.759493670886076,0.086092715231788,0.3,0.1515151515151515
12511,chr11,65306030,65326401,ENSG00000168056,LTBP3,chr11,66129992,66139685,ENSG00000174669,SLC29A2,0.0602409638554216,0.2079207920792079,0.1,0.0916666666666666,0.189873417721519,0.2105263157894736,0.2897862232779097,0.2884097035040431,0.4660194174757281,0.2228260869565217,0.2461538461538461,0.1728172817281728,0.3783783783783784,0.3440347071583514,0.375,0.3228155339805825,0.4310344827586206,0.0854166666666666,0.3314606741573033,0.3128491620111732,0.4282945736434108,0.2135922330097087,0.300556586270872,0.177449168207024,0.367816091954023,0.2068965517241379,0.1653386454183266,0.0499001996007984,0.3152173913043478,0.620253164556962,0.4039735099337748,0.2466666666666666,0.1363636363636363
14338,chr12,110890291,110907073,ENSG00000111231,GPN3,chr12,109991520,110011385,ENSG00000139428,MMAB,0.144578313253012,0.0653465346534653,0.0,0.125,0.0,0.0350877192982456,0.002375296912114,0.431266846361186,0.0024271844660194,0.0706521739130434,0.0923076923076923,0.0351035103510351,0.027027027027027,0.0655097613882863,0.1666666666666666,0.1674757281553398,0.296551724137931,0.125,0.0168539325842696,0.106145251396648,0.005813953488372,0.0,0.0371057513914656,0.088724584103512,0.0344827586206896,0.1344827586206896,0.0916334661354581,0.2654690618762475,0.0054347826086956,0.5189873417721519,0.0,0.0133333333333333,0.0454545454545454
15538,chr12,109991520,110011385,ENSG00000139428,MMAB,chr12,110288750,110318346,ENSG00000139433,GLTP,0.0301204819277108,0.0415841584158415,0.0,0.175,0.1012658227848101,0.0526315789473684,0.014251781472684,0.2048517520215633,0.0169902912621359,0.0634057971014492,0.2346153846153846,0.0486048604860486,0.0617760617760617,0.1505422993492408,0.1041666666666666,0.2184466019417475,0.4827586206896552,0.0645833333333333,0.0112359550561797,0.0670391061452514,0.067829457364341,0.0485436893203883,0.0371057513914656,0.1608133086876155,0.0459770114942528,0.1413793103448276,0.1115537848605577,0.3253493013972056,0.0489130434782608,0.7721518987341772,0.0927152317880794,0.1466666666666666,0.4242424242424242
