,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
8952,chr10,76969912,76991206,ENSG00000165637,VDAC2,chr10,75880013,75910600,ENSG00000185009,AP3M1,0.0,0.0237623762376237,0.0,0.025,0.0253164556962025,0.0175438596491228,0.0546318289786223,0.0512129380053908,0.0339805825242718,0.0126811594202898,0.048076923076923,0.0207020702070207,0.5019305019305019,0.0429501084598698,0.0416666666666666,0.0266990291262135,0.0344827586206896,0.0125,0.1797752808988764,0.0391061452513966,0.0910852713178294,0.058252427184466,0.0185528756957328,0.1072088724584103,0.1494252873563218,0.0068965517241379,0.0059760956175298,0.0259481037924151,0.0054347826086956,0.050632911392405,0.0198675496688741,0.1,0.0151515151515151
11496,chr11,62360686,62369337,ENSG00000149480,MTA2,chr11,63391559,63439393,ENSG00000184743,ATL3,0.036144578313253,0.0059405940594059,0.0,0.0,0.0316455696202531,0.0701754385964912,0.1900237529691211,0.0053908355795148,0.2281553398058252,0.0869565217391304,0.2461538461538461,0.3348334833483348,0.555984555984556,0.0546637744034707,0.0208333333333333,0.1893203883495145,0.0,0.09375,0.1123595505617977,0.0502793296089385,0.005813953488372,0.1553398058252427,0.1762523191094619,0.1164510166358595,0.4022988505747126,0.2862068965517241,0.1434262948207171,0.1656686626746507,0.2771739130434782,0.1265822784810126,0.1920529801324503,0.0,0.0303030303030303
12899,chr11,65590493,65629497,ENSG00000172757,CFL1,chr11,66081965,66084515,ENSG00000174807,CD248,0.1927710843373494,0.0059405940594059,0.025,0.0166666666666666,0.050632911392405,0.4912280701754385,0.0332541567695962,0.0188679245283018,0.0922330097087378,0.0634057971014492,0.2673076923076923,0.0783078307830783,0.640926640926641,0.0546637744034707,0.0416666666666666,0.116504854368932,0.0,0.1208333333333333,0.2303370786516854,0.2290502793296089,0.1337209302325581,0.0776699029126213,0.0315398886827458,0.1700554528650646,0.160919540229885,0.0241379310344827,0.0836653386454183,0.0019960079840319,0.0489130434782608,0.0253164556962025,0.0,0.1,0.0151515151515151
13248,chr11,65343517,65360121,ENSG00000173442,EHBP1L1,chr11,65383244,65404910,ENSG00000197136,PCNX3,0.0,0.0059405940594059,0.0125,0.0166666666666666,0.3734177215189873,0.4210526315789473,0.0475059382422802,0.013477088948787,0.087378640776699,0.0471014492753623,0.0788461538461538,0.0315031503150315,0.61003861003861,0.0607375271149674,0.1041666666666666,0.0412621359223301,0.0137931034482758,0.01875,0.0505617977528089,0.0055865921787709,0.1821705426356589,0.0,0.0500927643784786,0.0240295748613678,0.1034482758620689,0.1344827586206896,0.0776892430278884,0.0019960079840319,0.1956521739130435,0.0632911392405063,0.0794701986754966,0.1133333333333333,0.0151515151515151
14545,chr12,54694986,54745630,ENSG00000111481,COPZ1,chr12,54789045,54813050,ENSG00000161638,ITGA5,0.036144578313253,0.0772277227722772,0.0,0.0416666666666666,0.1265822784810126,0.1578947368421052,0.1282660332541567,0.0700808625336927,0.1407766990291262,0.0326086956521739,0.4307692307692308,0.2655265526552655,0.5444015444015444,0.0247288503253796,0.0,0.3567961165048544,0.0344827586206896,0.0416666666666666,0.247191011235955,0.0391061452513966,0.0155038759689922,0.0679611650485436,0.1187384044526901,0.3068391866913124,0.2988505747126437,0.2379310344827586,0.4183266932270916,0.0538922155688622,0.2119565217391304,0.3291139240506329,0.119205298013245,0.1333333333333333,0.0151515151515151
15257,chr12,56078352,56109827,ENSG00000135424,ITGA7,chr12,54789045,54813050,ENSG00000161638,ITGA5,0.0240963855421686,0.0277227722772277,0.05,0.025,0.1075949367088607,0.087719298245614,0.0213776722090261,0.0673854447439353,0.1359223300970873,0.0108695652173913,0.1,0.0261026102610261,0.5366795366795367,0.0524945770065075,0.0625,0.1189320388349514,0.0655172413793103,0.0291666666666666,0.2191011235955056,0.0391061452513966,0.0387596899224806,0.029126213592233,0.0445269016697588,0.288354898336414,0.2068965517241379,0.0689655172413793,0.0418326693227091,0.0339321357285429,0.0978260869565217,0.2784810126582278,0.3377483443708609,0.0866666666666666,0.0
15592,chr12,56615799,56623638,ENSG00000139579,NABP2,chr12,54789045,54813050,ENSG00000161638,ITGA5,0.1024096385542168,0.0336633663366336,0.0125,0.2,0.120253164556962,0.175438596491228,0.0831353919239905,0.4716981132075472,0.0946601941747572,0.0380434782608695,0.073076923076923,0.0243024302430243,0.5057915057915058,0.0945770065075922,0.1666666666666666,0.1140776699029126,0.1620689655172413,0.1,0.0786516853932584,0.0223463687150838,0.0290697674418604,0.0485436893203883,0.0816326530612244,0.232902033271719,0.1954022988505747,0.1034482758620689,0.0597609561752988,0.0858283433133732,0.0815217391304347,0.3037974683544304,0.2649006622516556,0.0533333333333333,0.0
18385,chr16,31482906,31489281,ENSG00000140682,TGFB1I1,chr16,30007036,30017114,ENSG00000169592,INO80E,0.0542168674698795,0.0653465346534653,0.225,0.3333333333333333,0.0696202531645569,0.1578947368421052,0.0593824228028503,0.0377358490566037,0.1990291262135922,0.125,0.0384615384615384,0.0729072907290729,0.6486486486486487,0.0720173535791757,0.0625,0.1868932038834951,0.0275862068965517,0.0604166666666666,0.196629213483146,0.1955307262569832,0.0600775193798449,0.3592233009708738,0.0742115027829313,0.0462107208872458,0.264367816091954,0.1413793103448276,0.0199203187250996,0.1437125748502994,0.0489130434782608,0.1139240506329113,0.0264900662251655,0.08,0.0454545454545454
18387,chr16,31482906,31489281,ENSG00000140682,TGFB1I1,chr16,30535325,30538142,ENSG00000169957,ZNF768,0.0903614457831325,0.0257425742574257,0.4375,0.1333333333333333,0.0063291139240506,0.175438596491228,0.171021377672209,0.0242587601078167,0.1504854368932038,0.1050724637681159,0.0423076923076923,0.0504050405040504,0.555984555984556,0.193058568329718,0.2916666666666667,0.1383495145631068,0.0896551724137931,0.0729166666666666,0.1235955056179775,0.0949720670391061,0.0387596899224806,0.1941747572815534,0.0185528756957328,0.0314232902033271,0.2413793103448276,0.0482758620689655,0.0179282868525896,0.2315369261477046,0.0380434782608695,0.1772151898734177,0.2516556291390728,0.0933333333333333,0.1515151515151515
23758,chr18,10525902,10552761,ENSG00000134265,NAPG,chr18,12307668,12344319,ENSG00000176014,TUBB6,0.0060240963855421,0.1267326732673267,0.0,0.0,0.2721518987341772,0.2982456140350877,0.0261282660332541,0.0080862533692722,0.1019417475728155,0.0344202898550724,0.3557692307692308,0.0414041404140414,0.5945945945945946,0.1188720173535791,0.0208333333333333,0.1407766990291262,0.0413793103448275,0.0104166666666666,0.2584269662921348,0.0279329608938547,0.0251937984496124,0.087378640776699,0.0927643784786641,0.0794824399260628,0.2183908045977011,0.293103448275862,0.2051792828685259,0.0319361277445109,0.217391304347826,0.050632911392405,0.1059602649006622,0.1533333333333333,0.0303030303030303
