,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
2089,chr17,29421945,29709134,ENSG00000196712.18_9,NF1,chr17,31254928,31272124,ENSG00000006042.12_7,TMEM98,0.1686746987951807,0.6237623762376238,0.1625,0.0166666666666666,0.0379746835443038,0.1578947368421052,0.0593824228028503,0.0107816711590296,0.1480582524271844,0.1159420289855072,0.0038461538461538,0.1008100810081008,0.0772200772200772,0.0668112798264642,0.0,0.0703883495145631,0.4310344827586206,0.15625,0.1235955056179775,0.0,0.0736434108527131,0.1650485436893204,0.2282003710575139,0.0850277264325323,0.367816091954023,0.0413793103448275,0.1015936254980079,0.2375249500998004,0.0543478260869565,0.0126582278481012,0.0,0.1266666666666666,0.0
2222,chr1,24742292,24799466,ENSG00000001461,NIPAL3,chr1,25664808,25688852,ENSG00000183726,TMEM50A,0.0,0.5702970297029702,0.0,0.0,0.0126582278481012,0.0,0.002375296912114,0.0,0.0048543689320388,0.0054347826086956,0.0115384615384615,0.0342034203420342,0.0077220077220077,0.0550976138828633,0.0,0.0218446601941747,0.0586206896551724,0.0020833333333333,0.0,0.0,0.0387596899224806,0.203883495145631,0.0185528756957328,0.0203327171903881,0.0114942528735632,0.0034482758620689,0.0119521912350597,0.3313373253493014,0.0054347826086956,0.0,0.0,0.0,0.0
2761,chr1,155916642,155976861,ENSG00000116584,ARHGEF2,chr1,156564093,156571288,ENSG00000160818,GPATCH4,0.0,0.7247524752475247,0.275,0.0416666666666666,0.0316455696202531,0.0,0.01187648456057,0.1266846361185983,0.0048543689320388,0.0090579710144927,0.0019230769230769,0.0432043204320432,0.0656370656370656,0.2355748373101952,0.1458333333333333,0.0072815533980582,0.3034482758620689,0.0,0.0449438202247191,0.2346368715083799,0.1860465116279069,0.0,0.0519480519480519,0.144177449168207,0.1379310344827586,0.0,0.0079681274900398,0.1796407185628742,0.0,0.189873417721519,0.0,0.0,0.3787878787878788
3638,chr1,211431719,211489727,ENSG00000117625,RCOR3,chr1,211744910,211752503,ENSG00000170385,SLC30A1,0.0542168674698795,0.5227722772277228,0.0125,0.2583333333333333,0.0696202531645569,0.087719298245614,0.2351543942992874,0.1671159029649595,0.1699029126213592,0.2210144927536232,0.0173076923076923,0.4401440144014401,0.0694980694980695,0.4924078091106291,0.0,0.0703883495145631,0.1586206896551724,0.09375,0.1179775280898876,0.0949720670391061,0.0891472868217054,0.0388349514563106,0.2059369202226345,0.4085027726432532,0.1839080459770115,0.1482758620689655,0.0677290836653386,0.0459081836327345,0.2228260869565217,0.2531645569620253,0.2649006622516556,0.14,0.0
4573,chr1,155882836,155904204,ENSG00000132680,KHDC4,chr1,156005090,156023589,ENSG00000160803,UBQLN4,0.0301204819277108,0.5108910891089109,0.025,0.1083333333333333,0.120253164556962,0.0526315789473684,0.1092636579572446,0.1239892183288409,0.0679611650485436,0.0253623188405797,0.3615384615384615,0.0189018901890189,0.0849420849420849,0.2542299349240781,0.2291666666666666,0.0631067961165048,0.2586206896551724,0.0833333333333333,0.0505617977528089,0.1284916201117318,0.4670542635658914,0.1067961165048543,0.0241187384044526,0.2828096118299446,0.0229885057471264,0.1758620689655172,0.2111553784860557,0.0239520958083832,0.3695652173913043,0.0632911392405063,0.3443708609271523,0.2666666666666666,0.1969696969696969
5991,chr1,155023042,155035251,ENSG00000143537,ADAM15,chr1,156278759,156337664,ENSG00000163468,CCT3,0.0,0.5128712871287129,0.0,0.0166666666666666,0.0759493670886076,0.0,0.0997624703087886,0.0404312668463611,0.1723300970873786,0.0507246376811594,0.0326923076923076,0.045004500450045,0.3011583011583011,0.1353579175704989,0.0,0.0436893203883495,0.0758620689655172,0.0125,0.3370786516853932,0.0558659217877094,0.0174418604651162,0.029126213592233,0.235621521335807,0.088724584103512,0.3333333333333333,0.1344827586206896,0.0557768924302788,0.1497005988023952,0.2228260869565217,0.0126582278481012,0.4304635761589404,0.0133333333333333,0.0
9269,chr11,58938903,58976061,ENSG00000110042,DTX4,chr11,60681630,60690915,ENSG00000110108,TMEM109,0.4277108433734939,0.6158415841584158,0.0,0.05,0.0696202531645569,0.1228070175438596,0.1163895486935867,0.0323450134770889,0.0800970873786407,0.0833333333333333,0.023076923076923,0.0459045904590459,0.0579150579150579,0.0342733188720173,0.0,0.4126213592233009,0.0793103448275862,0.3520833333333333,0.1516853932584269,0.0446927374301676,0.2189922480620155,0.116504854368932,0.0630797773654916,0.0203327171903881,0.0689655172413793,0.0862068965517241,0.0517928286852589,0.0159680638722554,0.1141304347826086,0.0886075949367088,0.0463576158940397,0.06,0.0757575757575757
10795,chr11,9685624,9774540,ENSG00000133789,SWAP70,chr11,8968749,8986558,ENSG00000175348,TMEM9B,0.2831325301204819,0.5722772277227722,0.0125,0.0,0.1645569620253164,0.0350877192982456,0.014251781472684,0.0296495956873315,0.0655339805825242,0.036231884057971,0.2653846153846154,0.1179117911791179,0.0926640926640926,0.0607375271149674,0.0833333333333333,0.2257281553398058,0.1413793103448276,0.2854166666666666,0.2584269662921348,0.0055865921787709,0.0387596899224806,0.029126213592233,0.0686456400742115,0.1940850277264325,0.0689655172413793,0.096551724137931,0.0737051792828685,0.1037924151696606,0.0489130434782608,0.0,0.0,0.0,0.0757575757575757
14536,chr12,54694986,54745630,ENSG00000111481,COPZ1,chr12,56078352,56109827,ENSG00000135424,ITGA7,0.1325301204819277,0.5128712871287129,0.0,0.0,0.2658227848101265,0.3508771929824561,0.3800475059382422,0.1482479784366576,0.1480582524271844,0.1431159420289855,0.0384615384615384,0.0306030603060306,0.2972972972972973,0.0468546637744034,0.0,0.0655339805825242,0.4586206896551724,0.0708333333333333,0.1629213483146067,0.0949720670391061,0.0949612403100775,0.3980582524271844,0.0538033395176252,0.4565619223659889,0.1034482758620689,0.0448275862068965,0.0099601593625498,0.0778443113772455,0.0489130434782608,0.0632911392405063,0.0331125827814569,0.2666666666666666,0.1515151515151515
19955,chr17,40852293,40897067,ENSG00000108799,EZH1,chr17,41476361,41478505,ENSG00000175906,ARL4D,0.0,0.5405940594059406,0.075,0.1833333333333333,0.0759493670886076,0.0350877192982456,0.0308788598574821,0.013477088948787,0.0024271844660194,0.0615942028985507,0.0538461538461538,0.0135013501350135,0.2857142857142857,0.4195227765726681,0.0,0.0800970873786407,0.3482758620689655,0.0,0.0280898876404494,0.2458100558659217,0.2131782945736434,0.029126213592233,0.0129870129870129,0.0536044362292051,0.1379310344827586,0.1724137931034483,0.0916334661354581,0.0079840319361277,0.0271739130434782,0.1012658227848101,0.0331125827814569,0.1266666666666666,0.3787878787878788
