,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
4629,chr1,160185505,160232339,ENSG00000132716,DCAF8,chr1,161284171,161332996,ENSG00000143252,SDHC,0.0843373493975903,0.0158415841584158,0.05,0.0,0.1518987341772152,0.087719298245614,0.0475059382422802,0.0215633423180593,0.2427184466019417,0.0688405797101449,0.5076923076923077,0.0585058505850585,0.4015444015444015,0.0334056399132321,0.1458333333333333,0.1723300970873786,0.0103448275862068,0.10625,0.1235955056179775,0.0391061452513966,0.001937984496124,0.1359223300970873,0.1076066790352504,0.0720887245841035,0.2183908045977011,0.1310344827586207,0.2051792828685259,0.0139720558882235,0.1739130434782608,0.1645569620253164,0.0,0.04,0.0606060606060606
5490,chr1,156711901,156736717,ENSG00000143321,HDGF,chr1,156117157,156147543,ENSG00000196189,SEMA4A,0.0060240963855421,0.1306930693069307,0.0,0.0083333333333333,0.0126582278481012,0.0175438596491228,0.1116389548693586,0.0512129380053908,0.2815533980582524,0.0344202898550724,0.5211538461538462,0.0369036903690369,0.1003861003861003,0.389587852494577,0.0625,0.1092233009708737,0.1,0.05625,0.0,0.0111731843575419,0.0096899224806201,0.1262135922330097,0.0630797773654916,0.0499075785582255,0.1264367816091954,0.0827586206896551,0.2131474103585657,0.0039920159680638,0.4945652173913043,0.0253164556962025,0.3774834437086092,0.0266666666666666,0.0151515151515151
5863,chr1,151375200,151431970,ENSG00000143442,POGZ,chr1,151023447,151042801,ENSG00000197622,CDC42SE1,0.0180722891566265,0.0019801980198019,0.025,0.0,0.1329113924050632,0.0,0.0190023752969121,0.0673854447439353,0.0072815533980582,0.0163043478260869,0.5788461538461539,0.0108010801080108,0.1119691119691119,0.0550976138828633,0.3333333333333333,0.2257281553398058,0.0,0.01875,0.0786516853932584,0.3966480446927374,0.1298449612403101,0.1844660194174757,0.0500927643784786,0.0036968576709796,0.1954022988505747,0.1689655172413793,0.1513944223107569,0.0019960079840319,0.0543478260869565,0.3164556962025316,0.0331125827814569,0.0066666666666666,0.0757575757575757
13164,chr11,64037534,64056972,ENSG00000173264,GPR137,chr11,65343517,65360121,ENSG00000173442,EHBP1L1,0.2048192771084337,0.0,0.0375,0.0083333333333333,0.0,0.0175438596491228,0.0,0.0781671159029649,0.1820388349514563,0.0634057971014492,0.5192307692307693,0.0036003600360036,0.0308880308880308,0.1457700650759219,0.3541666666666667,0.2354368932038835,0.0068965517241379,0.2958333333333333,0.0168539325842696,0.0055865921787709,0.0,0.116504854368932,0.0111317254174397,0.022181146025878,0.0114942528735632,0.3689655172413793,0.0239043824701195,0.0,0.2282608695652173,0.0126582278481012,0.4966887417218543,0.12,0.0
13598,chr11,644233,706715,ENSG00000177030,DEAF1,chr11,790475,798281,ENSG00000177542,SLC25A22,0.0301204819277108,0.0,0.0,0.0,0.0,0.0,0.0617577197149643,0.4824797843665768,0.2111650485436893,0.0253623188405797,0.5307692307692308,0.0279027902790279,0.0231660231660231,0.1145336225596529,0.0,0.2597087378640776,0.0275862068965517,0.0604166666666666,0.0393258426966292,0.0167597765363128,0.0,0.0097087378640776,0.1632653061224489,0.0258780036968576,0.0,0.4103448275862069,0.2250996015936255,0.0,0.375,0.0126582278481012,0.0,0.16,0.0
13671,chr11,747415,765012,ENSG00000177156,TALDO1,chr11,207511,215113,ENSG00000177963,RIC8A,0.0060240963855421,0.0,0.0,0.0,0.0,0.0,0.0380047505938242,0.0700808625336927,0.0728155339805825,0.0525362318840579,0.6307692307692307,0.0351035103510351,0.0038610038610038,0.0281995661605206,0.0208333333333333,0.1407766990291262,0.0275862068965517,0.025,0.0224719101123595,0.0,0.0,0.0194174757281553,0.1057513914656771,0.0166358595194085,0.057471264367816,0.4241379310344828,0.2031872509960159,0.0,0.1902173913043478,0.0,0.0,0.0,0.0
14458,chr12,113376249,113411056,ENSG00000111331,OAS3,chr12,113416200,113449528,ENSG00000111335,OAS2,0.3132530120481928,0.0039603960396039,0.0125,0.0583333333333333,0.0886075949367088,0.1228070175438596,0.3182897862232779,0.0404312668463611,0.4004854368932038,0.125,0.5134615384615384,0.252025202520252,0.0926640926640926,0.0325379609544468,0.2708333333333333,0.4053398058252427,0.0551724137931034,0.25625,0.1404494382022472,0.0558659217877094,0.0251937984496124,0.1262135922330097,0.2319109461966604,0.0351201478743068,0.2183908045977011,0.3,0.1733067729083665,0.0459081836327345,0.4510869565217391,0.050632911392405,0.086092715231788,0.08,0.0
14462,chr12,113376249,113411056,ENSG00000111331,OAS3,chr12,113623331,113630173,ENSG00000139405,RITA1,0.4939759036144578,0.0,0.1125,0.05,0.0316455696202531,0.087719298245614,0.2232779097387173,0.091644204851752,0.395631067961165,0.0887681159420289,0.5057692307692307,0.1341134113411341,0.0579150579150579,0.0438177874186551,0.3125,0.3859223300970874,0.0344827586206896,0.4479166666666667,0.0674157303370786,0.0614525139664804,0.0155038759689922,0.116504854368932,0.1428571428571428,0.0203327171903881,0.2068965517241379,0.1379310344827586,0.1513944223107569,0.0459081836327345,0.3967391304347826,0.1012658227848101,0.0529801324503311,0.0466666666666666,0.0
14909,chr12,51157493,51214945,ENSG00000123268,ATF1,chr12,49578578,49582863,ENSG00000167552,TUBA1A,0.3554216867469879,0.0653465346534653,0.0375,0.0083333333333333,0.1265822784810126,0.2456140350877192,0.0950118764845605,0.0188679245283018,0.1699029126213592,0.2228260869565217,0.6673076923076923,0.2997299729972997,0.2471042471042471,0.0898047722342733,0.0416666666666666,0.2597087378640776,0.1827586206896551,0.3083333333333333,0.2078651685393258,0.1005586592178771,0.0174418604651162,0.1844660194174757,0.3153988868274582,0.1515711645101663,0.2873563218390804,0.296551724137931,0.4302788844621514,0.0538922155688622,0.1739130434782608,0.1012658227848101,0.0,0.3333333333333333,0.106060606060606
14961,chr12,49760367,49921208,ENSG00000123352,SPATS2,chr12,49578578,49582863,ENSG00000167552,TUBA1A,0.3855421686746988,0.0277227722772277,0.075,0.0,0.1075949367088607,0.2982456140350877,0.0451306413301662,0.0242587601078167,0.1237864077669902,0.302536231884058,0.6884615384615385,0.3528352835283528,0.2625482625482625,0.0377440347071583,0.0208333333333333,0.3325242718446602,0.2448275862068965,0.3645833333333333,0.3089887640449438,0.2346368715083799,0.0251937984496124,0.3398058252427184,0.3246753246753247,0.1866913123844732,0.3333333333333333,0.3103448275862069,0.396414342629482,0.0419161676646706,0.1413043478260869,0.0632911392405063,0.0066225165562913,0.4133333333333333,0.1515151515151515
