,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
1261,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,chr17,7760003,7788556,ENSG00000183011.13_8,NAA38,0.072289156626506,0.0653465346534653,0.1125,0.0083333333333333,0.5316455696202531,0.0175438596491228,0.0665083135391924,0.2884097035040431,0.029126213592233,0.0289855072463768,0.1826923076923076,0.0963096309630963,0.2084942084942085,0.0737527114967462,0.1666666666666666,0.116504854368932,0.1,0.09375,0.0842696629213483,0.0111731843575419,0.1647286821705426,0.174757281553398,0.0946196660482374,0.0831792975970425,0.2413793103448276,0.1896551724137931,0.1115537848605577,0.029940119760479,0.1195652173913043,0.4810126582278481,0.0794701986754966,0.16,0.0303030303030303
1374,chr1,32254731,32256923,ENSG00000254545.1_6,AL354919.2,chr1,32716840,32751766,ENSG00000182866.17_6,LCK,0.072289156626506,0.0316831683168316,0.075,0.4166666666666667,0.5126582278481012,0.0701754385964912,0.014251781472684,0.013477088948787,0.0995145631067961,0.0597826086956521,0.1692307692307692,0.135013501350135,0.2432432432432432,0.106290672451193,0.0833333333333333,0.2839805825242718,0.0137931034482758,0.1041666666666666,0.2247191011235955,0.2960893854748603,0.3217054263565891,0.145631067961165,0.2189239332096475,0.011090573012939,0.0804597701149425,0.3034482758620689,0.1912350597609561,0.0,0.1956521739130435,0.0126582278481012,0.0,0.1266666666666666,0.0303030303030303
2979,chr1,70671365,70718735,ENSG00000116754,SRSF11,chr1,70820488,70851022,ENSG00000197568,HHLA3,0.0060240963855421,0.1584158415841584,0.1875,0.3083333333333333,0.5189873417721519,0.1403508771929824,0.3610451306413301,0.0080862533692722,0.0169902912621359,0.3007246376811594,0.0057692307692307,0.1053105310531053,0.1196911196911196,0.0429501084598698,0.1666666666666666,0.0606796116504854,0.1137931034482758,0.01875,0.0056179775280898,0.0223463687150838,0.189922480620155,0.0388349514563106,0.0964749536178107,0.0240295748613678,0.0459770114942528,0.2655172413793103,0.045816733067729,0.0758483033932135,0.0434782608695652,0.1012658227848101,0.0331125827814569,0.2466666666666666,0.0151515151515151
3878,chr1,28099730,28150954,ENSG00000117758,STX12,chr1,27648636,27662891,ENSG00000186501,TMEM222,0.0060240963855421,0.1346534653465346,0.0,0.0083333333333333,0.5126582278481012,0.0,0.002375296912114,0.0026954177897574,0.0,0.0253623188405797,0.0038461538461538,0.0036003600360036,0.0772200772200772,0.0060737527114967,0.0,0.0218446601941747,0.0,0.00625,0.0,0.0111731843575419,0.2751937984496124,0.0194174757281553,0.0037105751391465,0.0,0.0,0.0034482758620689,0.0039840637450199,0.0039920159680638,0.0108695652173913,0.0379746835443038,0.0,0.0,0.0
3945,chr1,150240600,150253327,ENSG00000118292,C1orf54,chr1,150702664,150738268,ENSG00000163131,CTSS,0.0963855421686747,0.1168316831683168,0.225,0.05,0.5379746835443038,0.1403508771929824,0.1638954869358669,0.3342318059299191,0.0655339805825242,0.1358695652173913,0.0057692307692307,0.1674167416741674,0.0463320463320463,0.2299349240780911,0.0,0.0509708737864077,0.1310344827586207,0.1125,0.1516853932584269,0.0614525139664804,0.3081395348837209,0.2815533980582524,0.1001855287569573,0.044362292051756,0.1034482758620689,0.0724137931034482,0.0119521912350597,0.1017964071856287,0.0054347826086956,0.0379746835443038,0.152317880794702,0.1066666666666666,0.0303030303030303
4861,chr1,33789224,33896653,ENSG00000134686,PHC2,chr1,32799440,32801834,ENSG00000175130,MARCKSL1,0.0,0.0059405940594059,0.15,0.0,0.759493670886076,0.0350877192982456,0.0570071258907363,0.0080862533692722,0.0461165048543689,0.0036231884057971,0.0,0.0189018901890189,0.1505791505791505,0.0490238611713665,0.0,0.0024271844660194,0.0655172413793103,0.0020833333333333,0.0224719101123595,0.0111731843575419,0.4476744186046512,0.145631067961165,0.0185528756957328,0.0462107208872458,0.1379310344827586,0.0,0.0039840637450199,0.0,0.0380434782608695,0.0253164556962025,0.086092715231788,0.0,0.0
13638,chr11,695428,705028,ENSG00000177042,TMEM80,chr11,842812,867116,ENSG00000214063,TSPAN4,0.1506024096385542,0.0019801980198019,0.0,0.0333333333333333,0.5379746835443038,0.1403508771929824,0.0237529691211401,0.0323450134770889,0.0533980582524271,0.0760869565217391,0.0576923076923076,0.009000900090009,0.0772200772200772,0.0381778741865509,0.1458333333333333,0.1723300970873786,0.0275862068965517,0.13125,0.1123595505617977,0.3351955307262569,0.3895348837209302,0.0194174757281553,0.0500927643784786,0.0277264325323475,0.0,0.1137931034482758,0.0239043824701195,0.0379241516966067,0.0434782608695652,0.050632911392405,0.1390728476821192,0.04,0.0606060606060606
15121,chr12,49082241,49110781,ENSG00000129315,CCNT1,chr12,50523072,50561316,ENSG00000139624,CERS5,0.036144578313253,0.0198019801980198,0.0,0.0666666666666666,0.569620253164557,0.0526315789473684,0.0380047505938242,0.0,0.0145631067961165,0.019927536231884,0.0692307692307692,0.0981098109810981,0.0849420849420849,0.2108459869848156,0.0208333333333333,0.0995145631067961,0.096551724137931,0.0791666666666666,0.0112359550561797,0.0,0.0988372093023255,0.029126213592233,0.0797773654916512,0.0369685767097966,0.0459770114942528,0.0517241379310344,0.2828685258964143,0.0059880239520958,0.0108695652173913,0.2025316455696202,0.1655629139072847,0.1066666666666666,0.0909090909090909
15278,chr12,56078352,56109827,ENSG00000135424,ITGA7,chr12,56510374,56511751,ENSG00000229117,RPL41,0.0060240963855421,0.2356435643564356,0.075,0.1166666666666666,0.6329113924050633,0.1403508771929824,0.0902612826603325,0.0323450134770889,0.0364077669902912,0.0289855072463768,0.1423076923076923,0.0072007200720072,0.3436293436293436,0.2468546637744034,0.2291666666666666,0.0461165048543689,0.096551724137931,0.0020833333333333,0.0617977528089887,0.1899441340782122,0.2093023255813953,0.0194174757281553,0.0166975881261595,0.0942698706099815,0.3218390804597701,0.1862068965517241,0.1394422310756972,0.0079840319361277,0.0978260869565217,0.2025316455696202,0.1920529801324503,0.08,0.3333333333333333
16809,chr14,21927179,21945119,ENSG00000129472,RAB2B,chr14,21538432,21558407,ENSG00000165801,ARHGEF40,0.0,0.0613861386138613,0.0,0.0583333333333333,0.569620253164557,0.1403508771929824,0.0285035629453681,0.0970350404312668,0.0,0.0108695652173913,0.023076923076923,0.0108010801080108,0.1428571428571428,0.0741865509761388,0.0,0.0315533980582524,0.0,0.0020833333333333,0.0168539325842696,0.0446927374301676,0.3798449612403101,0.3786407766990291,0.0111317254174397,0.011090573012939,0.0114942528735632,0.2448275862068965,0.0139442231075697,0.0099800399201596,0.0,0.1012658227848101,0.152317880794702,0.0066666666666666,0.2878787878787879
