,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
1170,chr17,6653004,6653297,ENSG00000262990.1_6,AC004706.2,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.0180722891566265,0.0396039603960396,0.0,0.1083333333333333,0.2468354430379747,0.0,0.0593824228028503,0.2102425876010781,0.1723300970873786,0.0380434782608695,0.4461538461538462,0.0882088208820882,0.2316602316602316,0.1943600867678958,0.0208333333333333,0.1359223300970873,0.1275862068965517,0.06875,0.3314606741573033,0.0670391061452514,0.0600775193798449,0.0679611650485436,0.1595547309833024,0.5157116451016636,0.1034482758620689,0.2344827586206896,0.1155378486055776,0.0159680638722554,0.4347826086956521,0.1392405063291139,0.4304635761589404,0.2933333333333333,0.0151515151515151
1171,chr17,6653037,6653507,ENSG00000244283.1_2,RPL23AP73,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.0180722891566265,0.0376237623762376,0.0,0.1083333333333333,0.2468354430379747,0.0,0.0593824228028503,0.2048517520215633,0.1723300970873786,0.0380434782608695,0.4461538461538462,0.0873087308730873,0.2277992277992278,0.1943600867678958,0.0208333333333333,0.1359223300970873,0.1275862068965517,0.0666666666666666,0.3146067415730337,0.0670391061452514,0.0600775193798449,0.058252427184466,0.1595547309833024,0.512014787430684,0.1034482758620689,0.2310344827586206,0.1155378486055776,0.0159680638722554,0.4347826086956521,0.1392405063291139,0.423841059602649,0.2933333333333333,0.0151515151515151
1278,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,chr17,7975954,7991034,ENSG00000179477.11_9,ALOX12B,0.1204819277108433,0.0356435643564356,0.0125,0.0833333333333333,0.0126582278481012,0.175438596491228,0.0380047505938242,0.0161725067385444,0.0776699029126213,0.0815217391304347,0.2519230769230769,0.0153015301530153,0.0154440154440154,0.1015184381778741,0.1458333333333333,0.0995145631067961,0.4241379310344828,0.1291666666666666,0.0112359550561797,0.0614525139664804,0.0445736434108527,0.0194174757281553,0.0333951762523191,0.6561922365988909,0.1724137931034483,0.1827586206896551,0.1553784860557769,0.0039920159680638,0.2228260869565217,0.0886075949367088,0.2119205298013245,0.14,0.0151515151515151
1279,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,chr17,7982800,7984883,ENSG00000214999.3_8,AC129492.1,0.1265060240963855,0.0396039603960396,0.0125,0.075,0.0126582278481012,0.1578947368421052,0.0308788598574821,0.0188679245283018,0.0800970873786407,0.0851449275362318,0.2538461538461538,0.0144014401440144,0.0154440154440154,0.1015184381778741,0.1458333333333333,0.0946601941747572,0.4448275862068965,0.1270833333333333,0.0112359550561797,0.0614525139664804,0.0426356589147286,0.0194174757281553,0.0315398886827458,0.6561922365988909,0.1724137931034483,0.1827586206896551,0.149402390438247,0.0039920159680638,0.2228260869565217,0.1012658227848101,0.2119205298013245,0.1266666666666666,0.0151515151515151
2896,chr1,185265520,185286405,ENSG00000116679,IVNS1ABP,chr1,183605220,183897666,ENSG00000143344,RGL1,0.036144578313253,0.0217821782178217,0.0,0.0583333333333333,0.1645569620253164,0.1228070175438596,0.0261282660332541,0.0215633423180593,0.0097087378640776,0.181159420289855,0.1423076923076923,0.0126012601260126,0.1737451737451737,0.0624728850325379,0.0833333333333333,0.0485436893203883,0.2862068965517241,0.03125,0.1573033707865168,0.0670391061452514,0.2713178294573643,0.174757281553398,0.0964749536178107,0.6561922365988909,0.367816091954023,0.1068965517241379,0.1314741035856573,0.0,0.0380434782608695,0.0632911392405063,0.0,0.0333333333333333,0.0303030303030303
3178,chr1,205055270,205091143,ENSG00000117222,RBBP5,chr1,205473724,205501921,ENSG00000117266,CDK18,0.1024096385542168,0.0118811881188118,0.3125,0.0416666666666666,0.3987341772151899,0.2807017543859649,0.2517814726840855,0.1886792452830188,0.1140776699029126,0.1920289855072463,0.0846153846153846,0.2034203420342034,0.2625482625482625,0.1822125813449024,0.0625,0.0970873786407767,0.1896551724137931,0.1333333333333333,0.1404494382022472,0.2458100558659217,0.4825581395348837,0.1941747572815534,0.12430426716141,0.5730129390018485,0.1954022988505747,0.1551724137931034,0.1553784860557769,0.0678642714570858,0.1467391304347826,0.189873417721519,0.1788079470198675,0.26,0.0303030303030303
4562,chr1,155882836,155904204,ENSG00000132680,KHDC4,chr1,154934774,154946871,ENSG00000160691,SHC1,0.0903614457831325,0.4158415841584158,0.0,0.4166666666666667,0.0696202531645569,0.0526315789473684,0.0498812351543943,0.0242587601078167,0.0655339805825242,0.0597826086956521,0.1115384615384615,0.0306030603060306,0.2432432432432432,0.2694143167028199,0.0833333333333333,0.0655339805825242,0.3724137931034483,0.10625,0.095505617977528,0.217877094972067,0.4224806201550387,0.0388349514563106,0.1280148423005566,0.8188539741219963,0.0919540229885057,0.0689655172413793,0.0737051792828685,0.3313373253493014,0.1576086956521739,0.3544303797468354,0.4172185430463576,0.0533333333333333,0.0
5302,chr1,161475220,161493803,ENSG00000143226,FCGR2A,chr1,162467041,162499421,ENSG00000152332,UHMK1,0.1024096385542168,0.097029702970297,0.1125,0.1416666666666666,0.1582278481012658,0.1228070175438596,0.1353919239904988,0.1805929919137466,0.3131067961165049,0.1485507246376811,0.2326923076923077,0.2223222322232223,0.1312741312741312,0.3761388286334056,0.25,0.3834951456310679,0.1379310344827586,0.1708333333333333,0.3089887640449438,0.1340782122905028,0.0930232558139534,0.1262135922330097,0.4508348794063079,0.6414048059149723,0.4022988505747126,0.2241379310344827,0.3605577689243028,0.0778443113772455,0.25,0.1392405063291139,0.4966887417218543,0.1466666666666666,0.1212121212121212
5364,chr1,156720402,156770607,ENSG00000143294,PRCC,chr1,155867599,155881195,ENSG00000143622,RIT1,0.0180722891566265,0.0039603960396039,0.0,0.0583333333333333,0.0379746835443038,0.2631578947368421,0.0997624703087886,0.0242587601078167,0.0097087378640776,0.1702898550724637,0.098076923076923,0.2394239423942394,0.0424710424710424,0.410412147505423,0.0833333333333333,0.174757281553398,0.193103448275862,0.0541666666666666,0.0337078651685393,0.0223463687150838,0.1453488372093023,0.0388349514563106,0.3821892393320965,0.5101663585951941,0.0114942528735632,0.2103448275862069,0.4521912350597609,0.0079840319361277,0.0869565217391304,0.0126582278481012,0.119205298013245,0.0333333333333333,0.0
7467,chr1,101361632,101447313,ENSG00000162695,SLC30A7,chr1,101702421,101709269,ENSG00000170989,S1PR1,0.0,0.0495049504950495,0.0,0.0083333333333333,0.0443037974683544,0.0175438596491228,0.004750593824228,0.0188679245283018,0.2961165048543689,0.0018115942028985,0.0038461538461538,0.0918091809180918,0.1081081081081081,0.4281995661605206,0.0,0.0194174757281553,0.0275862068965517,0.0104166666666666,0.1123595505617977,0.0111731843575419,0.0251937984496124,0.0,0.0779220779220779,0.6561922365988909,0.0919540229885057,0.0,0.0258964143426294,0.0399201596806387,0.1630434782608695,0.0253164556962025,0.086092715231788,0.0,0.0
