label,chr1,x1,x2,chr2,y1,y2
0,14,53728203,53844638,14,54058431,54101882
0,14,66770544,66898894,14,67109518,67141793
1,14,88400000,88425000,14,88625000,88650000
1,5,57175000,57200000,5,57750000,57800000
0,14,28903165,29007133,14,29170434,29188261
0,14,66131998,66165731,14,66213248,66332251
0,14,59090700,59269707,14,59394404,59422953
0,14,80815546,80855343,14,81078043,81134060
0,5,159911475,159957251,5,160461907,160512444
0,14,29536083,29573986,14,29675269,29708671
0,5,164442598,164470707,5,164621879,164651236
0,5,73907127,74083965,5,74798437,74844527
0,5,18504714,18534458,5,18680208,18722274
0,14,49357789,49424135,14,49540227,49655229
0,5,119263634,119498482,5,119710478,119741976
0,5,26214273,26293661,5,26414084,26447225
0,5,127655911,127731319,5,127859199,127899806
0,5,165260528,165349939,5,166346211,166375072
0,5,164094294,164106761,5,164180916,164221427
0,5,155338227,155387023,5,155865479,155890018
1,14,24710000,24720000,14,24760000,24770000
0,5,147115479,147125468,5,147300935,147353581
1,14,31425000,31450000,14,31550000,31575000
0,14,43243887,43307977,14,43322688,43347609
0,5,29677688,29756746,5,30085832,30120797
0,5,130545816,130580960,5,130625097,130677603
0,5,81511560,81744656,5,81785546,81821622
1,5,59975000,60000000,5,60200000,60225000
0,14,29058085,29167764,14,29196883,29259521
0,14,29170434,29188261,14,29351163,29374694
0,5,35289705,35382218,5,35579778,36195965
1,5,55275000,55300000,5,55475000,55500000
0,5,62337717,62378386,5,63235381,63268776
0,5,49503775,49519468,5,49599086,49637244
1,5,110475000,110500000,5,111475000,111500000
0,5,20318455,20386450,5,21138452,21245151
1,5,94975000,95000000,5,95075000,95100000
0,14,86566392,86605154,14,86672412,86739061
0,14,60589120,60755816,14,60761352,60849972
1,5,53800000,53825000,5,54150000,54175000
0,14,53946444,54028435,14,54201386,54222921
0,14,86951612,86980803,14,87057017,87101704
0,14,39107832,39236312,14,39238909,39364744
0,5,46035275,46090816,5,46149945,46183360
0,5,109732658,109763422,5,110781944,110828512
0,5,19170576,19381138,5,19520499,19580876
0,5,153051684,153112820,5,153233387,153288672
0,5,158466941,158795539,5,159028007,159099784
1,5,925000,950000,5,1150000,1175000
0,5,25721139,25780823,5,26214273,26293661
0,5,97588816,97602063,5,97667322,97703861
0,5,164695504,164732951,5,165688037,165745519
0,5,50975119,50986496,5,51452965,51478522
0,14,59379001,59393352,14,59427119,59618811
0,5,29800768,29824580,5,29918853,29990513
0,5,107377698,107469584,5,107843738,107894213
0,14,99270427,99364792,14,99449705,99633908
0,14,49307688,49346461,14,49439003,49449800
0,5,120635021,120656036,5,120902667,120926578
0,5,70820246,70973475,5,71205773,71282759
0,5,122859626,122901830,5,123252173,123290541
0,5,91350103,91374844,5,91504392,91590541
1,5,125975000,126025000,5,126800000,126825000
0,5,92084890,92311806,5,92701988,92855396
0,5,121009998,121192280,5,121706758,121930643
0,5,166520708,166605890,5,166955587,167081527
0,14,41391417,41424718,14,41744810,41793809
0,14,43897541,43941309,14,44289298,44383955
1,14,69700000,69725000,14,69925000,69950000
0,5,120006159,120035150,5,120175007,120215811
0,14,36235655,36316830,14,36321758,36486932
0,5,87513634,87582672,5,88109655,88140428
0,5,84955114,84974123,5,85089099,85124343
0,5,29459608,29482763,5,29854009,29867540
0,5,23381334,23540688,5,23871576,23900651
1,14,68700000,68725000,14,69250000,69300000
0,14,66770544,66898894,14,67019670,67045868
1,14,76040000,76050000,14,76110000,76120000
0,5,88938945,88961578,5,89806898,89845233
0,5,78151292,78234622,5,78990297,79521907
0,5,105357748,105380801,5,105738641,105773529
0,5,29763795,29790094,5,30012781,30081687
0,5,166092941,166138928,5,166182044,166208051
0,5,128589848,128624505,5,128943687,128972230
0,14,36126579,36234866,14,36735201,36812011
0,5,162603318,162703648,5,163668761,163816062
1,5,96050000,96100000,5,96475000,96500000
0,14,46790941,46831198,14,47007867,47069148
0,14,26493239,26509432,14,26777497,26803926
0,14,40219108,40233861,14,40315234,40367219
0,5,62103603,62145433,5,62253131,62278712
0,14,90133933,90198719,14,90274764,90500550
0,5,130157369,130219933,5,130472628,130539281
0,5,134933071,135099112,5,135133620,135485847
1,14,50775000,50800000,14,50975000,51025000
0,14,101912600,102000867,14,102340031,102726257
0,5,114961024,115022822,5,115487985,115591263
0,5,165854509,165867394,5,166320918,166343019
0,14,47007867,47069148,14,47100588,47179174
1,5,173025000,173050000,5,173400000,173425000
0,5,86086681,86132942,5,86402127,86433910
0,5,54775427,55244971,5,55333195,55448692
0,5,120060084,120101575,5,120498889,120515002
1,14,105675000,105700000,14,105800000,105850000
0,14,30320495,30338864,14,30418857,30441506
1,14,105800000,105850000,14,105950000,105975000
0,14,98963036,99061760,14,99197972,99214815
0,5,107545490,107622404,5,107918697,107989465
0,14,47334437,47383432,14,47420975,47446130
0,14,40954971,41008558,14,41017820,41059469
0,5,24945240,24972389,5,25229893,25258810
0,5,43684804,43745113,5,43746203,43967647
0,5,63360411,63397109,5,63712894,63726303
0,5,101520680,101543915,5,101854916,101906548
0,14,87972516,88156296,14,88528682,88801430
0,14,29585599,29614626,14,29846409,29872666
0,5,135941459,136188426,5,136204395,136243549
0,14,36487817,36610718,14,36620628,36699340
0,5,127990436,128047797,5,128859419,128898354
0,5,45372493,45460850,5,45509041,45533750
0,14,20244883,20386134,14,20401869,20430148
0,5,46035275,46090816,5,46198784,46213679
0,5,90839912,90885827,5,91294224,91319875
1,14,71050000,71100000,14,71275000,71300000
0,14,78058591,78138762,14,78202187,78465436
1,5,50250000,50275000,5,50650000,50675000
0,5,127859199,127899806,5,128281179,128328119
0,14,38632338,38695742,14,38706994,38737007
1,5,173470000,173480000,5,173725000,173760000
0,5,26618579,26733147,5,27420108,27526185
0,14,46298877,46566328,14,46708756,46728157
1,5,55225000,55250000,5,56125000,56150000
0,14,87057017,87101704,14,87102933,87206078
1,5,6630000,6640000,5,6710000,6720000
1,5,73925000,73975000,5,74200000,74250000
1,14,23030000,23040000,14,23310000,23330000
1,14,35610000,35620000,14,35875000,35925000
0,14,84056481,84091898,14,84165448,84185327
0,5,89503065,89615218,5,89620149,89658264
0,14,30597382,30936036,14,31110415,31193271
0,14,57590752,57795564,14,57803143,57961866
0,5,98952798,98976949,5,99151000,99175835
0,5,124624625,124691600,5,124917824,124968774
0,5,98790910,98814059,5,99486897,99500000
0,5,155865479,155890018,5,156652795,156822744
0,5,129264473,129284500,5,129428226,129487753
0,5,146619868,146898846,5,147159167,147249170
0,5,100705834,100761515,5,100898994,100977946
0,14,43410716,43429977,14,43813930,43838855
1,5,92930000,92940000,5,93120000,93130000
0,14,27183548,27217659,14,27338670,27346613
0,5,106782404,106873860,5,107660723,107693846
0,5,177352408,177370469,5,177695324,177764262
1,14,55020000,55040000,14,55150000,55160000
0,14,82563216,82595811,14,82596572,82682579
0,14,83750043,83805370,14,83899346,83995549
0,14,58992412,59082802,14,59090700,59269707
0,14,85235327,85342775,14,85391488,85416187
0,5,83350776,83425492,5,83534258,83580250
1,5,173025000,173050000,5,173725000,173760000
1,5,158100000,158125000,5,158525000,158550000
0,14,47531874,47557057,14,47899492,47922932
0,14,43124860,43144845,14,43168457,43206119
0,5,161460462,161506386,5,161818528,161959462
0,14,87215729,87230272,14,87460719,87584999
1,14,102525000,102550000,14,102775000,102800000
0,14,86608773,86631654,14,86803708,86862022
0,14,74162303,74366167,14,74461985,74636693
0,5,126767738,126996226,5,127007353,127021772
0,14,26992086,27010461,14,27355897,27401838
0,14,80718004,80748015,14,80815546,80855343
0,5,58037494,58342534,5,58548872,58706940
0,14,43243887,43307977,14,43367855,43396551
0,14,40954971,41008558,14,41102832,41135675
0,5,45913273,45972763,5,46198784,46213679
0,5,59321605,59339114,5,59776109,59808430
0,5,61354681,61475827,5,62202731,62229478
0,5,83196329,83235817,5,83301564,83345789
0,5,63272018,63303388,5,63430573,63462914
0,14,94571018,94697496,14,95095512,95339158
0,5,75145614,75233659,5,76028095,76183681
0,5,29380341,29429051,5,29609705,29659654
0,5,113421071,113467062,5,113491590,113611491
0,14,43322688,43347609,14,43615256,43641757
0,5,108417461,108440146,5,108703885,108717124
0,5,103410921,103471773,5,103791525,103863885
0,5,80172396,80316118,5,80790256,80829799
0,5,58344648,58397506,5,58737656,58782940
1,14,23590000,23600000,14,23650000,23660000
0,14,26443963,26477134,14,26547368,26620544
0,5,162723441,162743858,5,163668761,163816062
0,14,40803904,40822439,14,40954971,41008558
0,5,28150852,28218684,5,28461047,28513055
0,14,46298877,46566328,14,46681325,46707357
0,5,117465900,117492463,5,117675534,117737935
0,5,86198549,86343516,5,87261107,87342871
0,5,152341938,152368619,5,152483261,152626176
0,5,97310424,97395661,5,97409669,97509030
0,5,161418124,161458405,5,161970366,162008137
0,5,112919138,112962150,5,113656478,113692361
0,5,152483261,152626176,5,152679057,152701412
1,5,125675000,125700000,5,125850000,125875000
0,5,93474132,93573911,5,93574797,93659382
1,5,153450000,153475000,5,153550000,153575000
0,14,94937775,95080202,14,95095512,95339158
0,14,87606860,87684268,14,87735718,87757689
0,14,84546346,84613340,14,84843234,84863833
0,14,87057017,87101704,14,87319398,87345659
0,5,128785036,128828923,5,129049482,129133231
0,14,54058431,54101882,14,54120103,54194767
1,14,20800000,20825000,14,21075000,21100000
0,5,117391272,117450992,5,118281706,118298235
0,14,97949807,98011257,14,98019397,98041252
0,5,49827125,49898386,5,50946197,50967308
0,5,51099944,51154669,5,51690054,51711487
0,5,86967951,86995550,5,87120260,87160583
0,14,83131073,83222525,14,83452072,83482750
0,5,129517527,129569481,5,129953529,129974134
0,14,57086458,57423986,14,57474170,57588238
0,5,78663897,78708700,5,78725376,78947444
1,14,102400000,102450000,14,102775000,102800000
0,5,18726120,18845822,5,19598691,19665398
0,14,43410716,43429977,14,43615256,43641757
0,14,40219108,40233861,14,40533756,40562316
0,14,87392786,87453040,14,87767417,87784670
0,5,27985421,28147640,5,28461047,28513055
0,5,88148194,88156993,5,88250080,88279345
0,14,86912987,86935277,14,87460719,87584999
0,5,135133620,135485847,5,135679193,135869969
0,5,90037095,90312868,5,90587546,90624470
0,5,108246323,108274492,5,108464246,108489136
0,14,43967095,44032921,14,44132468,44211755
0,5,99182787,99219046,5,99294395,99313692
0,5,65450261,65558776,5,65559353,65666505
0,14,80718004,80748015,14,80952750,81066073
0,14,26493239,26509432,14,26804718,26822513
1,5,159450000,159475000,5,159750000,159780000
0,14,42918063,42961138,14,43149723,43165754
0,5,111138190,111312778,5,111472237,111766830
0,5,118825542,118837045,5,119001171,119056750
0,5,110009454,110110923,5,110310912,110349551
0,5,161339150,161367547,5,161797810,161815633
0,5,23871576,23900651,5,24043575,24137577
1,5,675000,680000,5,770000,775000
0,5,82881420,82914424,5,83090543,83157247
0,5,107545490,107622404,5,107660723,107693846
0,5,85089099,85124343,5,85173005,85227675
0,14,27219129,27248742,14,27338670,27346613
0,5,105886507,105909436,5,106323217,106380684
0,5,82065378,82158262,5,82477922,82530637
0,5,70820246,70973475,5,71161090,71194928
0,5,166955587,167081527,5,167085040,167160208
0,14,67270159,67290970,14,67390531,67407466
0,5,108599660,108700213,5,108729064,108783242
0,5,109638252,109650237,5,109882629,109975103
0,5,87347344,87368919,5,88166182,88190529
0,5,164695504,164732951,5,164780549,164811407
0,5,100807976,100853690,5,101218387,101262103
0,14,63359492,63521419,14,63530074,63614384
0,5,89869046,90022144,5,90037095,90312868
0,5,170674551,170685612,5,170689553,170972043
0,5,152433541,152463900,5,152483261,152626176
0,14,26044375,26101238,14,26443963,26477134
0,5,116012430,116122404,5,116245480,116305642
1,5,101900000,101925000,5,102350000,102375000
1,14,102225000,102250000,14,102400000,102450000
0,5,159028007,159099784,5,159178209,159485105
0,14,83503782,83588960,14,83750043,83805370
0,5,155407257,155484001,5,155911915,155937730
0,14,84803841,84829512,14,85008978,85078748
0,5,97667322,97703861,5,98224445,98581347
0,14,47724778,47837490,14,47954793,48034010
1,5,5140000,5150000,5,5400000,5425000
0,5,101551031,101573655,5,101646240,101690688
1,5,55550000,55575000,5,56125000,56150000
0,5,118523824,118570786,5,118728952,118815975
0,5,61354681,61475827,5,61605877,61770054
0,5,81447393,81506993,5,81785546,81821622
1,14,35875000,35925000,14,36275000,36300000
0,14,26738895,26753394,14,26942069,26969346
1,5,139620000,139630000,5,139720000,139730000
1,5,39700000,39725000,5,40675000,40725000
0,5,104438170,104482838,5,104584463,104606578
1,5,71650000,71700000,5,72100000,72125000
0,5,82275950,82402620,5,82620939,82691913
0,5,158262682,158313449,5,158466941,158795539
0,5,20453549,20506659,5,21520103,21539372
0,5,128943687,128972230,5,129326979,129422138
0,5,165913450,165978029,5,166092941,166138928
1,14,32525000,32550000,14,32700000,32725000
1,14,90850000,90875000,14,91150000,91175000
1,5,158575000,158600000,5,159375000,159425000
0,14,67109518,67141793,14,67390531,67407466
0,5,71205773,71282759,5,72201803,72281553
0,14,42055119,42093114,14,42177949,42228623
0,14,49125647,49170079,14,49195870,49219415
1,5,153825000,153850000,5,153975000,154000000
0,14,81608292,81693814,14,81944235,82021142
1,5,159620000,159630000,5,159750000,159780000
0,5,163079474,163152503,5,163267487,163353840
0,14,29624792,29649608,14,29675269,29708671
0,5,161135253,161154244,5,161266626,161302571
0,14,71723166,72296787,14,72301164,72377014
0,14,98019397,98041252,14,98103845,98409261
1,14,104025000,104050000,14,104125000,104150000
0,14,84919384,84972985,14,85097190,85133632
0,14,85183019,85213017,14,85391488,85416187
0,14,32099331,32166087,14,32334133,32581273
0,5,45322086,45355083,5,45509041,45533750
0,5,104194914,104207383,5,104281572,104301471
0,14,86951612,86980803,14,87240717,87273917
0,14,39369819,39450593,14,39543580,39769303
0,5,131980338,132252599,5,132257421,132305871
0,14,56126130,56369593,14,56370199,56495339
0,5,87607533,87647184,5,87766202,87915874
0,14,48942213,49023986,14,49125647,49170079
0,5,18850536,18863367,5,19670480,19856897
0,5,120498889,120515002,5,120762295,120814151
0,5,127655911,127731319,5,127961027,127988825
0,5,127438207,127453062,5,127990436,128047797
0,5,42153343,42163938,5,42219444,42256945
0,14,85423607,85511917,14,85685632,85716783
0,5,104633497,104647992,5,104739301,104759532
0,14,51935054,51964660,14,51985574,52327128
0,14,49195870,49219415,14,49248485,49267854
0,14,80759873,80802067,14,80952750,81066073
0,5,105515591,105526332,5,105774575,105800448
0,5,99486897,99500000,5,99805561,99876036
0,5,101953781,101978452,5,102434161,102485856
0,14,70861822,70895091,14,70900459,71001771
1,5,57750000,57800000,5,58125000,58150000
0,5,62883976,62914439,5,63272018,63303388
0,5,104194914,104207383,5,104584463,104606578
0,14,54899563,54923505,14,55071630,55330527
0,14,97671611,97842977,14,97949807,98011257
0,5,95699905,95896768,5,96557842,96576033
0,14,29675269,29708671,14,29726066,29800457
1,14,24800000,24810000,14,24900000,24910000
0,5,20453549,20506659,5,21138452,21245151
0,14,99449705,99633908,14,99637190,99677907
0,5,109135213,109310923,5,109359547,109431886
0,5,128330491,128403850,5,128772015,128783580
0,5,113943401,114004002,5,114306705,114383265
0,5,24409866,24453935,5,24809402,24865455
1,5,139125000,139175000,5,139525000,139550000
0,5,147255437,147291233,5,147527292,147577698
0,5,155588875,155622578,5,155633392,155847549
0,5,127655911,127731319,5,128224728,128264285
0,5,73651114,73767736,5,73907127,74083965
1,5,139000000,139025000,5,139125000,139175000
1,5,16925000,16950000,5,17175000,17225000
0,14,80864313,80941201,14,80952750,81066073
0,5,63235381,63268776,5,63636610,63650011
0,5,152165137,152185070,5,152433541,152463900
0,5,152341938,152368619,5,152724915,152767641
1,5,79775000,79800000,5,79950000,79975000
0,14,80652750,80711964,14,80718004,80748015
0,14,47622529,47639754,14,47954793,48034010
0,5,78151292,78234622,5,78249560,78594013
1,5,32900000,32950000,5,33400000,33425000
0,7,132569057,132638592,7,132765489,132786906
0,8,111777067,111811188,8,111894602,111917176
0,11,40417870,40493567,11,40788019,40797210
0,7,92135280,92475667,7,92609346,92626191
1,4,141275000,141300000,4,141525000,141550000
0,11,105117286,105197400,11,105552089,105571598
1,11,62670000,62680000,11,62790000,62800000
1,8,29200000,29225000,8,29900000,29925000
1,11,92950000,93000000,11,93375000,93400000
