,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
898,chr11,32409321,32457110,ENSG00000184937.16_9,WT1,chr11,32605344,32627810,ENSG00000149100.13_7,EIF3M,0.0,0.0,0.0,0.0,0.0,0.0,0.8218527315914489,0.0,0.0,0.0416666666666666,0.0,0.009000900090009,0.0308880308880308,0.0238611713665943,0.0,0.0,0.0034482758620689,0.0,0.0,0.0,0.0,0.0,0.0037105751391465,0.0,0.3103448275862069,0.0103448275862068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916,chr11,32409321,32457110,ENSG00000184937.16_9,WT1,chr11,33376011,33376091,ENSG00000223134.1,AL122015.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5843230403800475,0.0,0.0097087378640776,0.0217391304347826,0.0,0.0126012601260126,0.0347490347490347,0.0255965292841648,0.0,0.0,0.0034482758620689,0.0,0.0,0.0,0.0,0.0,0.0018552875695732,0.0184842883548983,0.2758620689655172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1893,chr9,21808057,21808123,ENSG00000266732.1,AL359922.1,chr9,21967751,21995300,ENSG00000147889.18_8,CDKN2A,0.2951807228915662,0.2594059405940594,0.3125,0.375,0.1962025316455696,0.3333333333333333,0.5154394299287411,0.2371967654986523,0.25,0.3206521739130434,0.1211538461538461,0.2835283528352835,0.2548262548262548,0.3739696312364425,0.3541666666666667,0.0752427184466019,0.3620689655172414,0.2583333333333333,0.2528089887640449,0.1675977653631284,0.2403100775193798,0.1553398058252427,0.2504638218923933,0.3401109057301293,0.1494252873563218,0.0034482758620689,0.0856573705179282,0.2834331337325349,0.0978260869565217,0.2658227848101265,0.2251655629139073,0.2666666666666666,0.1818181818181818
2121,chr11,32409321,32457110,ENSG00000184937.16_9,WT1,chr11,32605344,32627810,ENSG00000149100.13_7,EIF3M,0.0,0.0,0.0,0.0,0.0,0.0,0.8218527315914489,0.0,0.0,0.0416666666666666,0.0,0.009000900090009,0.0308880308880308,0.0238611713665943,0.0,0.0,0.0034482758620689,0.0,0.0,0.0,0.0,0.0,0.0037105751391465,0.0,0.3103448275862069,0.0103448275862068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2139,chr11,32409321,32457110,ENSG00000184937.16_9,WT1,chr11,33376011,33376091,ENSG00000223134.1,AL122015.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5843230403800475,0.0,0.0097087378640776,0.0217391304347826,0.0,0.0126012601260126,0.0347490347490347,0.0255965292841648,0.0,0.0,0.0034482758620689,0.0,0.0,0.0,0.0,0.0,0.0018552875695732,0.0184842883548983,0.2758620689655172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4158,chr1,47098409,47139539,ENSG00000123472,ATPAF1,chr1,46153853,46160108,ENSG00000159596,TMEM69,0.3373493975903614,0.1623762376237623,0.0,0.4333333333333333,0.0,0.2456140350877192,0.505938242280285,0.0781671159029649,0.0825242718446602,0.2246376811594203,0.1019230769230769,0.225022502250225,0.0077220077220077,0.0412147505422993,0.0625,0.1601941747572815,0.1275862068965517,0.3166666666666666,0.0168539325842696,0.0,0.0,0.029126213592233,0.1781076066790352,0.011090573012939,0.0,0.3931034482758621,0.1872509960159362,0.3193612774451098,0.1032608695652173,0.0126582278481012,0.0198675496688741,0.4933333333333333,0.0303030303030303
8751,chr10,92631709,92668310,ENSG00000148688,RPP30,chr10,91152303,91166244,ENSG00000185745,IFIT1,0.1265060240963855,0.0871287128712871,0.175,0.2,0.3670886075949367,0.1929824561403508,0.5249406175771971,0.1590296495956873,0.2742718446601941,0.1902173913043478,0.1865384615384615,0.3708370837083708,0.2316602316602316,0.1644251626898047,0.4375,0.2087378640776699,0.3275862068965517,0.1833333333333333,0.095505617977528,0.1955307262569832,0.2655038759689923,0.203883495145631,0.1910946196660482,0.1053604436229205,0.2528735632183908,0.3275862068965517,0.3565737051792829,0.0459081836327345,0.1847826086956521,0.4177215189873418,0.4635761589403973,0.42,0.0757575757575757
9201,chr11,47638867,47664159,ENSG00000109919,MTCH2,chr11,46450203,46450700,ENSG00000244313,AC024293.1,0.1746987951807229,0.0099009900990099,0.0,0.0333333333333333,0.4556962025316455,0.1929824561403508,0.6294536817102138,0.0053908355795148,0.3300970873786408,0.092391304347826,0.0192307692307692,0.0333033303330333,0.0077220077220077,0.0177874186550976,0.2291666666666666,0.0145631067961165,0.0,0.1541666666666666,0.0056179775280898,0.0,0.001937984496124,0.0,0.0352504638218923,0.0055452865064695,0.0344827586206896,0.0137931034482758,0.0597609561752988,0.0259481037924151,0.1739130434782608,0.0,0.0132450331125827,0.0133333333333333,0.0
10850,chr11,65101323,65121733,ENSG00000133884,DPF2,chr11,66036061,66044963,ENSG00000174903,RAB1B,0.4156626506024096,0.0435643564356435,0.2625,0.0083333333333333,0.4936708860759494,0.2105263157894736,0.5558194774346793,0.2264150943396226,0.2257281553398058,0.2481884057971014,0.2019230769230769,0.189018901890189,0.2471042471042471,0.0616052060737527,0.0833333333333333,0.1286407766990291,0.0172413793103448,0.4208333333333333,0.1011235955056179,0.0,0.0155038759689922,0.203883495145631,0.2077922077922078,0.0184842883548983,0.0344827586206896,0.0896551724137931,0.1792828685258964,0.2195608782435129,0.0869565217391304,0.0759493670886076,0.2251655629139073,0.0066666666666666,0.2878787878787879
10946,chr11,47236016,47260768,ENSG00000134574,DDB2,chr11,46450203,46450700,ENSG00000244313,AC024293.1,0.0963855421686747,0.0019801980198019,0.0,0.0166666666666666,0.2468354430379747,0.1052631578947368,0.5106888361045131,0.0026954177897574,0.1674757281553398,0.0434782608695652,0.0057692307692307,0.0126012601260126,0.0,0.0099783080260303,0.0208333333333333,0.0072815533980582,0.0,0.0895833333333333,0.0056179775280898,0.0,0.0,0.0,0.0241187384044526,0.0,0.0114942528735632,0.0068965517241379,0.0258964143426294,0.0039920159680638,0.0869565217391304,0.0,0.0066225165562913,0.0066666666666666,0.0
