,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
116,chr14,100704635,100749125,ENSG00000100811.14_9,YY1,chr14,101318727,101318824,ENSG00000211574.1,MIR770,0.0180722891566265,0.0019801980198019,0.0,0.4333333333333333,0.050632911392405,0.175438596491228,0.2280285035629453,0.0080862533692722,0.0631067961165048,0.036231884057971,0.0134615384615384,0.0378037803780378,0.138996138996139,0.0303687635574837,0.0,0.012135922330097,0.0,0.025,0.0449438202247191,0.6033519553072626,0.1046511627906976,0.0097087378640776,0.0333951762523191,0.0018484288354898,0.0229885057471264,0.0034482758620689,0.0617529880478087,0.0079840319361277,0.0706521739130434,0.4683544303797468,0.1456953642384106,0.4933333333333333,0.0151515151515151
1336,chr1,31191351,31199674,ENSG00000186056.10_8,MATN1-AS1,chr1,32716840,32751766,ENSG00000182866.17_6,LCK,0.036144578313253,0.2,0.225,0.0166666666666666,0.2974683544303797,0.3508771929824561,0.2422802850356294,0.1159029649595687,0.0776699029126213,0.125,0.0211538461538461,0.1818181818181818,0.2316602316602316,0.2229934924078091,0.0208333333333333,0.1359223300970873,0.1689655172413793,0.0375,0.0617977528089887,0.5195530726256983,0.0949612403100775,0.3009708737864077,0.059369202226345,0.0314232902033271,0.160919540229885,0.4379310344827586,0.0637450199203187,0.059880239520958,0.1358695652173913,0.379746835443038,0.4039735099337748,0.02,0.3484848484848485
2335,chr1,178994939,179045702,ENSG00000116199,FAM20B,chr1,179851177,179889212,ENSG00000143337,TOR1AIP1,0.0240963855421686,0.0297029702970297,0.0375,0.0583333333333333,0.0,0.1228070175438596,0.0950118764845605,0.0485175202156334,0.1213592233009708,0.0887681159420289,0.0865384615384615,0.4608460846084608,0.1737451737451737,0.1661605206073752,0.0208333333333333,0.1237864077669902,0.0482758620689655,0.0479166666666666,0.1516853932584269,0.5083798882681564,0.005813953488372,0.2718446601941747,0.1001855287569573,0.0166358595194085,0.1839080459770115,0.193103448275862,0.2450199203187251,0.0499001996007984,0.1902173913043478,0.0886075949367088,0.0927152317880794,0.06,0.0151515151515151
2446,chr1,110158726,110174675,ENSG00000116337,AMPD2,chr1,110527387,110566364,ENSG00000168710,AHCYL1,0.0542168674698795,0.0039603960396039,0.125,0.05,0.0759493670886076,0.3333333333333333,0.0237529691211401,0.0673854447439353,0.012135922330097,0.019927536231884,0.4346153846153846,0.0351035103510351,0.2046332046332046,0.1856832971800434,0.1875,0.1262135922330097,0.0137931034482758,0.03125,0.0168539325842696,0.9217877094972068,0.0155038759689922,0.0388349514563106,0.0222634508348794,0.0055452865064695,0.0919540229885057,0.0,0.0776892430278884,0.0019960079840319,0.1032608695652173,0.1645569620253164,0.2582781456953642,0.1333333333333333,0.0454545454545454
2648,chr1,155305059,155532953,ENSG00000116539,ASH1L,chr1,155829358,155854990,ENSG00000132718,SYT11,0.0,0.0,0.0125,0.0,0.4430379746835443,0.0,0.01187648456057,0.0,0.0,0.0018115942028985,0.0,0.0,0.0386100386100386,0.0056399132321041,0.0208333333333333,0.0048543689320388,0.0,0.0,0.0168539325842696,0.5418994413407822,0.2810077519379845,0.0097087378640776,0.0,0.0018484288354898,0.0,0.0,0.0039840637450199,0.0,0.0,0.0,0.0,0.0,0.0
4650,chr1,155829358,155854990,ENSG00000132718,SYT11,chr1,156711901,156736717,ENSG00000143321,HDGF,0.0,0.0,0.0,0.0083333333333333,0.0759493670886076,0.0,0.0261282660332541,0.0215633423180593,0.0631067961165048,0.0090579710144927,0.0019230769230769,0.0045004500450045,0.0579150579150579,0.2585683297180043,0.0833333333333333,0.0072815533980582,0.0689655172413793,0.0333333333333333,0.0168539325842696,0.6033519553072626,0.2616279069767442,0.0097087378640776,0.0259740259740259,0.0462107208872458,0.0114942528735632,0.0,0.0,0.0,0.0054347826086956,0.0379746835443038,0.0066225165562913,0.0,0.0151515151515151
4660,chr1,155829358,155854990,ENSG00000132718,SYT11,chr1,154955814,154965587,ENSG00000160688,FLAD1,0.0,0.0099009900990099,0.025,0.0166666666666666,0.4873417721518987,0.1578947368421052,0.1377672209026128,0.0053908355795148,0.0412621359223301,0.0434782608695652,0.0192307692307692,0.0027002700270027,0.4324324324324324,0.0203904555314533,0.3541666666666667,0.0194174757281553,0.0206896551724137,0.00625,0.0617977528089887,0.9329608938547486,0.1027131782945736,0.1359223300970873,0.0222634508348794,0.0388170055452865,0.0344827586206896,0.0034482758620689,0.0099601593625498,0.0059880239520958,0.0054347826086956,0.0379746835443038,0.0,0.0933333333333333,0.0
4684,chr1,155829358,155854990,ENSG00000132718,SYT11,chr1,155178490,155183615,ENSG00000173171,MTX1,0.0,0.0039603960396039,0.025,0.0166666666666666,0.170886075949367,0.0175438596491228,0.1377672209026128,0.0053908355795148,0.0242718446601941,0.0307971014492753,0.0,0.0036003600360036,0.1235521235521235,0.0190889370932754,0.2916666666666667,0.0024271844660194,0.0310344827586206,0.0020833333333333,0.0224719101123595,0.7877094972067039,0.3682170542635659,0.1067961165048543,0.0037105751391465,0.0129390018484288,0.0459770114942528,0.0034482758620689,0.0039840637450199,0.0059880239520958,0.0,0.050632911392405,0.0,0.0,0.0
8518,chr10,101156627,101190381,ENSG00000120053,GOT1,chr10,99218081,99258551,ENSG00000155229,MMS19,0.0120481927710843,0.0059405940594059,0.0875,0.1333333333333333,0.1392405063291139,0.087719298245614,0.007125890736342,0.0539083557951482,0.0679611650485436,0.0090579710144927,0.0557692307692307,0.0261026102610261,0.0733590733590733,0.0832971800433839,0.0416666666666666,0.0388349514563106,0.1379310344827586,0.025,0.0393258426966292,0.5139664804469274,0.3720930232558139,0.1844660194174757,0.0259740259740259,0.121996303142329,0.0919540229885057,0.0793103448275862,0.0677290836653386,0.1057884231536926,0.1793478260869565,0.1518987341772152,0.2649006622516556,0.04,0.0
8802,chr10,105156383,105206051,ENSG00000148843,PDCD11,chr10,103330317,103369419,ENSG00000166171,DPCD,0.0481927710843373,0.3089108910891089,0.0125,0.0416666666666666,0.1455696202531645,0.0,0.1472684085510688,0.045822102425876,0.012135922330097,0.0688405797101449,0.025,0.0396039603960396,0.054054054054054,0.0481561822125813,0.0,0.0509708737864077,0.1413793103448276,0.0604166666666666,0.0505617977528089,0.5921787709497207,0.0910852713178294,0.0,0.0797773654916512,0.1829944547134935,0.0459770114942528,0.0620689655172413,0.0418326693227091,0.1616766467065868,0.0,0.3164556962025316,0.0,0.0,0.1212121212121212
