,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
115,chr14,100704635,100749125,ENSG00000100811.14_9,YY1,chr14,101302606,101413531,ENSG00000258399.7_9,AL117190.1,0.0060240963855421,0.0019801980198019,0.0,0.0583333333333333,0.0379746835443038,0.5614035087719298,0.01187648456057,0.0215633423180593,0.0703883495145631,0.0815217391304347,0.0269230769230769,0.0135013501350135,0.0424710424710424,0.0442516268980477,0.0,0.0485436893203883,0.0172413793103448,0.0145833333333333,0.1348314606741573,0.3575418994413408,0.0717054263565891,0.0388349514563106,0.0556586270871985,0.0277264325323475,0.0229885057471264,0.0,0.0298804780876494,0.0099800399201596,0.0434782608695652,0.0253164556962025,0.0132450331125827,0.3066666666666666,0.0
120,chr14,100704635,100749125,ENSG00000100811.14_9,YY1,chr14,101346090,101370059,ENSG00000254656.3_9,RTL1,0.0060240963855421,0.0019801980198019,0.0,0.0583333333333333,0.0379746835443038,0.5614035087719298,0.01187648456057,0.0215633423180593,0.0703883495145631,0.0815217391304347,0.0269230769230769,0.0135013501350135,0.0424710424710424,0.0442516268980477,0.0,0.0485436893203883,0.0172413793103448,0.0145833333333333,0.1348314606741573,0.3575418994413408,0.0717054263565891,0.0388349514563106,0.0556586270871985,0.0277264325323475,0.0229885057471264,0.0,0.0298804780876494,0.0099800399201596,0.0434782608695652,0.0253164556962025,0.0132450331125827,0.3066666666666666,0.0
3017,chr1,201103900,201140702,ENSG00000116857,TMEM9,chr1,201951500,201975275,ENSG00000176393,RNPEP,0.4518072289156626,0.291089108910891,0.125,0.2083333333333333,0.0063291139240506,0.543859649122807,0.1235154394299287,0.0539083557951482,0.0898058252427184,0.3152173913043478,0.0788461538461538,0.0675067506750675,0.1544401544401544,0.0342733188720173,0.0208333333333333,0.0776699029126213,0.0206896551724137,0.4291666666666666,0.1179775280898876,0.0055865921787709,0.0542635658914728,0.2621359223300971,0.2894248608534323,0.0351201478743068,0.2413793103448276,0.096551724137931,0.1115537848605577,0.0399201596806387,0.1358695652173913,0.240506329113924,0.0331125827814569,0.4733333333333333,0.0
5389,chr1,156720402,156770607,ENSG00000143294,PRCC,chr1,155204243,155214490,ENSG00000177628,GBA,0.0180722891566265,0.0237623762376237,0.0375,0.15,0.189873417721519,0.5263157894736842,0.4014251781472684,0.1320754716981132,0.0728155339805825,0.2717391304347826,0.0461538461538461,0.2907290729072907,0.1698841698841698,0.1457700650759219,0.1875,0.1820388349514563,0.1137931034482758,0.0229166666666666,0.0168539325842696,0.0614525139664804,0.0968992248062015,0.3009708737864077,0.1076066790352504,0.1090573012939001,0.1034482758620689,0.1827586206896551,0.1513944223107569,0.0159680638722554,0.0815217391304347,0.1265822784810126,0.0662251655629139,0.1466666666666666,0.0
16851,chr14,20811774,20826063,ENSG00000129484,PARP2,chr14,21484922,21539031,ENSG00000165795,NDRG2,0.1686746987951807,0.2356435643564356,0.2875,0.0916666666666666,0.050632911392405,0.7017543859649122,0.3824228028503563,0.0808625336927223,0.0145631067961165,0.2934782608695652,0.1288461538461538,0.0306030603060306,0.2702702702702703,0.078524945770065,0.0416666666666666,0.1092233009708737,0.0379310344827586,0.1895833333333333,0.0112359550561797,0.0614525139664804,0.0310077519379844,0.1941747572815534,0.0371057513914656,0.077634011090573,0.0459770114942528,0.0034482758620689,0.197211155378486,0.0079840319361277,0.0326086956521739,0.2784810126582278,0.4834437086092715,0.34,0.303030303030303
17102,chr14,103995533,104003410,ENSG00000166166,TRMT61A,chr14,105886157,105937066,ENSG00000182979,MTA1,0.072289156626506,0.0217821782178217,0.1375,0.0666666666666666,0.0949367088607595,0.5087719298245614,0.33729216152019,0.0080862533692722,0.0364077669902912,0.4311594202898551,0.023076923076923,0.0567056705670567,0.0849420849420849,0.0060737527114967,0.0,0.0898058252427184,0.0448275862068965,0.0395833333333333,0.0393258426966292,0.3128491620111732,0.1395348837209302,0.0388349514563106,0.0630797773654916,0.022181146025878,0.1034482758620689,0.0344827586206896,0.0079681274900398,0.0738522954091816,0.0108695652173913,0.0253164556962025,0.0,0.0266666666666666,0.0
21293,chr17,1665323,1680859,ENSG00000132386,SERPINF1,chr17,2240792,2284352,ENSG00000141258,SGSM2,0.216867469879518,0.2475247524752475,0.475,0.3916666666666666,0.3037974683544304,0.5087719298245614,0.0522565320665083,0.215633423180593,0.1650485436893204,0.3460144927536231,0.4653846153846154,0.4662466246624662,0.2702702702702703,0.1691973969631236,0.4375,0.2815533980582524,0.3793103448275862,0.33125,0.348314606741573,0.0614525139664804,0.25,0.3495145631067961,0.4025974025974026,0.3826247689463956,0.3793103448275862,0.3241379310344827,0.3784860557768924,0.4351297405189621,0.0706521739130434,0.0379746835443038,0.0066225165562913,0.26,0.0303030303030303
22260,chr17,37844167,37886679,ENSG00000141736,ERBB2,chr17,36886594,36891858,ENSG00000277972,CISD3,0.1746987951807229,0.0772277227722772,0.3375,0.0416666666666666,0.310126582278481,0.5087719298245614,0.3087885985748218,0.2533692722371967,0.1553398058252427,0.3260869565217391,0.0576923076923076,0.3501350135013501,0.1776061776061776,0.057700650759219,0.125,0.441747572815534,0.2896551724137931,0.2020833333333333,0.2528089887640449,0.3966480446927374,0.0406976744186046,0.3495145631067961,0.2022263450834879,0.0609981515711645,0.1839080459770115,0.193103448275862,0.0796812749003984,0.2514970059880239,0.0760869565217391,0.2658227848101265,0.0066225165562913,0.3266666666666666,0.0757575757575757
23869,chr19,2328614,2355093,ENSG00000005206,SPPL2B,chr19,2754713,2783360,ENSG00000104969,SGTA,0.1204819277108433,0.2198019801980198,0.275,0.2666666666666666,0.0316455696202531,0.5087719298245614,0.0570071258907363,0.0188679245283018,0.0097087378640776,0.1123188405797101,0.05,0.0279027902790279,0.1274131274131274,0.0420824295010846,0.0416666666666666,0.087378640776699,0.2,0.1416666666666666,0.0505617977528089,0.0,0.25,0.058252427184466,0.0278293135435992,0.1238447319778188,0.3563218390804598,0.0655172413793103,0.0856573705179282,0.0019960079840319,0.0,0.0759493670886076,0.0132450331125827,0.14,0.1969696969696969
24606,chr19,4007734,4039384,ENSG00000105229,PIAS4,chr19,4360367,4400544,ENSG00000141985,SH3GL1,0.0,0.2198019801980198,0.1125,0.05,0.0822784810126582,0.543859649122807,0.0403800475059382,0.0215633423180593,0.0,0.0652173913043478,0.0,0.0279027902790279,0.0386100386100386,0.0143167028199566,0.0,0.0072815533980582,0.1758620689655172,0.0,0.1685393258426966,0.0782122905027933,0.3895348837209302,0.029126213592233,0.0241187384044526,0.0536044362292051,0.0114942528735632,0.0,0.0099601593625498,0.0139720558882235,0.0,0.050632911392405,0.0,0.0266666666666666,0.0
