,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
840,chr13,28527663,28529507,ENSG00000260704.1_3,LINC00543,chr13,28577411,28674729,ENSG00000122025.15_5,FLT3,0.6626506024096386,0.0019801980198019,0.0,0.0,0.0063291139240506,0.0,0.0,0.0188679245283018,0.1092233009708737,0.0054347826086956,0.0019230769230769,0.0,0.0,0.0008676789587852,0.0,0.0024271844660194,0.0,0.44375,0.0224719101123595,0.0055865921787709,0.0,0.0,0.0018552875695732,0.0,0.0,0.0103448275862068,0.0,0.0,0.0543478260869565,0.0,0.0,0.0,0.0303030303030303
5882,chr1,206744620,206785818,ENSG00000143486,EIF2D,chr1,205271191,205290873,ENSG00000163545,NUAK2,0.5903614457831325,0.0811881188118811,0.0125,0.05,0.0,0.0350877192982456,0.4228028503562945,0.2695417789757412,0.0752427184466019,0.3532608695652174,0.1365384615384615,0.1566156615661566,0.0038610038610038,0.3704989154013015,0.2708333333333333,0.058252427184466,0.1655172413793103,0.4604166666666666,0.0168539325842696,0.0,0.0,0.0097087378640776,0.1595547309833024,0.1497227356746765,0.1034482758620689,0.1793103448275862,0.0936254980079681,0.1796407185628742,0.1413043478260869,0.0253164556962025,0.0397350993377483,0.0,0.1818181818181818
15381,chr12,52345483,52390862,ENSG00000135503,ACVR1B,chr12,53773960,53810230,ENSG00000185591,SP1,0.572289156626506,0.0217821782178217,0.0,0.0083333333333333,0.0,0.2105263157894736,0.1995249406175772,0.0646900269541779,0.1723300970873786,0.1775362318840579,0.0692307692307692,0.099009900990099,0.0077220077220077,0.113232104121475,0.0,0.0898058252427184,0.2241379310344827,0.4770833333333333,0.2752808988764045,0.0614525139664804,0.0116279069767441,0.0194174757281553,0.2708719851576994,0.2014787430683918,0.0,0.1137931034482758,0.2071713147410358,0.249500998003992,0.0706521739130434,0.0,0.0,0.46,0.3787878787878788
29834,chr20,48552873,48570422,ENSG00000124226,RNF114,chr20,48249482,48330415,ENSG00000158470,B4GALT5,0.536144578313253,0.0059405940594059,0.0125,0.0083333333333333,0.2974683544303797,0.2456140350877192,0.2565320665083135,0.0107816711590296,0.3228155339805825,0.1539855072463768,0.0826923076923076,0.0972097209720972,0.0617760617760617,0.0468546637744034,0.0,0.1480582524271844,0.1172413793103448,0.425,0.1853932584269663,0.0,0.0833333333333333,0.203883495145631,0.1595547309833024,0.1903881700554528,0.1724137931034483,0.1620689655172413,0.1713147410358565,0.0,0.266304347826087,0.1139240506329113,0.1258278145695364,0.28,0.0454545454545454
29841,chr20,47835832,47860614,ENSG00000124228,DDX27,chr20,48519928,48532066,ENSG00000158480,SPATA2,0.7650602409638554,0.0059405940594059,0.0375,0.125,0.050632911392405,0.1929824561403508,0.0546318289786223,0.0242587601078167,0.1820388349514563,0.0163043478260869,0.0038461538461538,0.0432043204320432,0.0,0.0160520607375271,0.0,0.0242718446601941,0.0241379310344827,0.475,0.0112359550561797,0.0055865921787709,0.0872093023255814,0.116504854368932,0.0111317254174397,0.0,0.0,0.0310344827586206,0.0298804780876494,0.0978043912175648,0.1304347826086956,0.1139240506329113,0.0,0.16,0.0
30736,chr22,29469023,29564321,ENSG00000183762,KREMEN1,chr22,29950797,29977316,ENSG00000184117,NIPSNAP1,0.5180722891566265,0.2277227722772277,0.1125,0.2166666666666666,0.120253164556962,0.1403508771929824,0.1900237529691211,0.045822102425876,0.0849514563106796,0.2355072463768115,0.225,0.2295229522952295,0.0386100386100386,0.1518438177874186,0.0,0.2985436893203883,0.2275862068965517,0.4958333333333333,0.0786516853932584,0.1117318435754189,0.0736434108527131,0.087378640776699,0.274582560296846,0.4029574861367837,0.0344827586206896,0.0,0.4262948207171315,0.405189620758483,0.0489130434782608,0.1645569620253164,0.0,0.1066666666666666,0.3939393939393939
34712,chr6,35995454,36079013,ENSG00000112062,MAPK14,chr6,34214158,34216885,ENSG00000186577,SMIM29,0.5301204819277109,0.3346534653465347,0.45,0.325,0.0189873417721519,0.175438596491228,0.1211401425178147,0.091644204851752,0.0558252427184466,0.1032608695652173,0.2538461538461538,0.162016201620162,0.0694980694980695,0.0407809110629067,0.0833333333333333,0.2451456310679611,0.0517241379310344,0.4875,0.1067415730337078,0.0055865921787709,0.0,0.3300970873786408,0.3320964749536178,0.011090573012939,0.0689655172413793,0.2655172413793103,0.3525896414342629,0.0019960079840319,0.0978260869565217,0.0632911392405063,0.2913907284768212,0.08,0.0
38124,chr7,99613195,99639312,ENSG00000106261,ZKSCAN1,chr7,98923521,98963885,ENSG00000241685,ARPC1A,0.5542168674698795,0.0217821782178217,0.1125,0.1166666666666666,0.1392405063291139,0.1228070175438596,0.1045130641330166,0.2075471698113207,0.1529126213592233,0.3061594202898551,0.025,0.162016201620162,0.0193050193050193,0.0156182212581344,0.0208333333333333,0.0388349514563106,0.2068965517241379,0.44375,0.1011235955056179,0.0614525139664804,0.1085271317829457,0.4951456310679611,0.0445269016697588,0.0480591497227356,0.057471264367816,0.0620689655172413,0.0677290836653386,0.0898203592814371,0.125,0.0,0.0,0.0466666666666666,0.106060606060606
41812,chr9,139388885,139440500,ENSG00000148400,NOTCH1,chr9,139553308,139567130,ENSG00000172889,EGFL7,0.5481927710843374,0.0,0.175,0.075,0.0126582278481012,0.2105263157894736,0.1377672209026128,0.0215633423180593,0.3859223300970874,0.2101449275362318,0.2403846153846154,0.0243024302430243,0.0347490347490347,0.0255965292841648,0.0208333333333333,0.1383495145631068,0.0034482758620689,0.4708333333333333,0.0,0.0,0.0484496124031007,0.2233009708737864,0.0389610389610389,0.0462107208872458,0.0114942528735632,0.2137931034482758,0.1872509960159362,0.0039920159680638,0.3260869565217391,0.0126582278481012,0.3112582781456953,0.0533333333333333,0.0
48975,chr9,138391830,138396519,ENSG00000122140,MRPS2,chr9,139388885,139440500,ENSG00000148400,NOTCH1,0.5301204819277109,0.0,0.025,0.4083333333333333,0.1518987341772152,0.1578947368421052,0.0712589073634204,0.013477088948787,0.2839805825242718,0.1992753623188405,0.2038461538461538,0.0423042304230423,0.0965250965250965,0.0811279826464208,0.3125,0.0970873786407767,0.0103448275862068,0.4145833333333333,0.0056179775280898,0.0,0.4050387596899225,0.1067961165048543,0.0259740259740259,0.0369685767097966,0.0229885057471264,0.2758620689655172,0.1513944223107569,0.0,0.3478260869565217,0.0,0.3443708609271523,0.0066666666666666,0.0
