,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
114,chr14,100704635,100749125,ENSG00000100811.14_9,YY1,chr14,101300769,101327363,ENSG00000258663.1_8,AL117190.2,0.0421686746987951,0.0019801980198019,0.0,0.4083333333333333,0.050632911392405,0.175438596491228,0.2470308788598574,0.0053908355795148,0.0752427184466019,0.0344202898550724,0.0192307692307692,0.0603060306030603,0.1544401544401544,0.0260303687635574,0.0,0.0169902912621359,0.0,0.0270833333333333,0.0337078651685393,0.4804469273743016,0.0949612403100775,0.0,0.0538033395176252,0.0055452865064695,0.0229885057471264,0.0034482758620689,0.0876494023904382,0.0079840319361277,0.0597826086956521,0.4177215189873418,0.1324503311258278,0.5733333333333334,0.0151515151515151
129,chr14,100704635,100749125,ENSG00000100811.14_9,YY1,chr14,101382173,101382230,ENSG00000251769.1,SNORD112,0.0,0.0,0.0,0.0,0.0253164556962025,0.087719298245614,0.007125890736342,0.0080862533692722,0.0024271844660194,0.0144927536231884,0.0,0.0072007200720072,0.0579150579150579,0.0633405639913232,0.0,0.0024271844660194,0.0,0.0166666666666666,0.0,0.0670391061452514,0.0116279069767441,0.0,0.0148423005565862,0.0018484288354898,0.0,0.0034482758620689,0.0119521912350597,0.0039920159680638,0.0054347826086956,0.2658227848101265,0.0331125827814569,0.5333333333333333,0.0
211,chr14,100704635,100749125,ENSG00000100811.14_9,YY1,chr14,101521738,101521848,ENSG00000208027.2,MIR485,0.0,0.0079207920792079,0.0,0.1333333333333333,0.1012658227848101,0.2807017543859649,0.0427553444180522,0.0107816711590296,0.0048543689320388,0.0054347826086956,0.0,0.0009000900090009,0.1274131274131274,0.0199566160520607,0.0,0.0072815533980582,0.0,0.0083333333333333,0.0280898876404494,0.3184357541899441,0.0193798449612403,0.0,0.0278293135435992,0.0055452865064695,0.057471264367816,0.0103448275862068,0.0219123505976095,0.0039920159680638,0.0,0.3291139240506329,0.0927152317880794,0.56,0.0
212,chr14,100704635,100749125,ENSG00000100811.14_9,YY1,chr14,101522556,101522637,ENSG00000208004.2,MIR323B,0.0,0.0079207920792079,0.0,0.1333333333333333,0.120253164556962,0.2631578947368421,0.0570071258907363,0.013477088948787,0.012135922330097,0.0072463768115942,0.0,0.0027002700270027,0.138996138996139,0.0195227765726681,0.0,0.0097087378640776,0.0,0.00625,0.0280898876404494,0.3463687150837989,0.0329457364341085,0.0,0.0278293135435992,0.0036968576709796,0.0689655172413793,0.0103448275862068,0.0278884462151394,0.0059880239520958,0.0054347826086956,0.3291139240506329,0.086092715231788,0.6266666666666667,0.0
213,chr14,100704635,100749125,ENSG00000100811.14_9,YY1,chr14,101526092,101526175,ENSG00000207978.1,MIR154,0.0,0.0118811881188118,0.0,0.2333333333333333,0.1962025316455696,0.3333333333333333,0.1092636579572446,0.0215633423180593,0.0194174757281553,0.0108695652173913,0.0038461538461538,0.009000900090009,0.1776061776061776,0.0299349240780911,0.0,0.0169902912621359,0.0,0.0125,0.0617977528089887,0.4860335195530726,0.0891472868217054,0.0097087378640776,0.0445269016697588,0.0092421441774491,0.1149425287356321,0.0103448275862068,0.0318725099601593,0.0079840319361277,0.0163043478260869,0.4810126582278481,0.1125827814569536,0.72,0.0
1238,chr17,7384651,7386815,ENSG00000259224.2_2,SLC35G6,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.1566265060240964,0.0039603960396039,0.0,0.0333333333333333,0.0,0.2807017543859649,0.0166270783847981,0.2479784366576819,0.0752427184466019,0.1431159420289855,0.1846153846153846,0.0306030603060306,0.0347490347490347,0.0503253796095444,0.1875,0.1067961165048543,0.0034482758620689,0.1708333333333333,0.0056179775280898,0.0782122905027933,0.003875968992248,0.0970873786407767,0.0241187384044526,0.0147874306839186,0.0,0.2448275862068965,0.1075697211155378,0.0079840319361277,0.1413043478260869,0.0759493670886076,0.086092715231788,0.68,0.0
1296,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,chr17,8150936,8173809,ENSG00000178921.14_11,PFAS,0.0,0.0,0.0875,0.0166666666666666,0.0063291139240506,0.0701754385964912,0.01187648456057,0.013477088948787,0.0194174757281553,0.0597826086956521,0.0692307692307692,0.0045004500450045,0.027027027027027,0.0529284164859002,0.1875,0.0194174757281553,0.0344827586206896,0.0166666666666666,0.0,0.0,0.0213178294573643,0.058252427184466,0.0111317254174397,0.0018484288354898,0.0,0.0068965517241379,0.0099601593625498,0.0019960079840319,0.1141304347826086,0.0,0.3377483443708609,0.68,0.0
1443,chr1,32716840,32751766,ENSG00000182866.17_6,LCK,chr1,33907626,33907712,ENSG00000221225.1,AL138837.1,0.0180722891566265,0.0019801980198019,0.0125,0.0416666666666666,0.0,0.0,0.0,0.0,0.0825242718446602,0.0018115942028985,0.0557692307692307,0.0063006300630063,0.0038610038610038,0.1114967462039045,0.2291666666666666,0.012135922330097,0.0,0.03125,0.0056179775280898,0.0055865921787709,0.0,0.0,0.0166975881261595,0.0,0.0,0.1724137931034483,0.0557768924302788,0.0019960079840319,0.0434782608695652,0.0126582278481012,0.1258278145695364,0.5933333333333334,0.0
3247,chr1,24128375,24165110,ENSG00000117305,HMGCL,chr1,24958207,24999772,ENSG00000133226,SRRM1,0.1265060240963855,0.093069306930693,0.0125,0.25,0.0443037974683544,0.2631578947368421,0.3586698337292161,0.013477088948787,0.308252427184466,0.0905797101449275,0.3634615384615384,0.3321332133213321,0.2857142857142857,0.3310195227765726,0.3333333333333333,0.1626213592233009,0.0310344827586206,0.1416666666666666,0.2528089887640449,0.1731843575418994,0.0406976744186046,0.2135922330097087,0.2282003710575139,0.1940850277264325,0.1494252873563218,0.0241379310344827,0.4143426294820717,0.4710578842315369,0.1739130434782608,0.1645569620253164,0.0066225165562913,0.62,0.0151515151515151
3734,chr1,26758773,26797797,ENSG00000117682,DHDDS,chr1,28157293,28178187,ENSG00000117751,PPP1R8,0.0301204819277108,0.0,0.0,0.1916666666666666,0.0,0.175438596491228,0.1235154394299287,0.0053908355795148,0.0048543689320388,0.1413043478260869,0.023076923076923,0.0081008100810081,0.0077220077220077,0.0173535791757049,0.1041666666666666,0.0266990291262135,0.0,0.0208333333333333,0.0,0.0,0.0,0.029126213592233,0.0037105751391465,0.0,0.0,0.0482758620689655,0.0139442231075697,0.0,0.0054347826086956,0.0,0.0529801324503311,0.8933333333333333,0.0
3742,chr1,26758773,26797797,ENSG00000117682,DHDDS,chr1,28199054,28213196,ENSG00000130775,THEMIS2,0.0,0.0,0.0125,0.0,0.0063291139240506,0.087719298245614,0.0427553444180522,0.0026954177897574,0.0048543689320388,0.0434782608695652,0.0038461538461538,0.0378037803780378,0.0193050193050193,0.0451193058568329,0.0,0.0412621359223301,0.0034482758620689,0.0208333333333333,0.0,0.0111731843575419,0.0,0.0776699029126213,0.0315398886827458,0.0055452865064695,0.0114942528735632,0.0137931034482758,0.0039840637450199,0.0159680638722554,0.0054347826086956,0.0759493670886076,0.304635761589404,0.9,0.0
3743,chr1,26758773,26797797,ENSG00000117682,DHDDS,chr1,24958207,24999772,ENSG00000133226,SRRM1,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.0451306413301662,0.0,0.0072815533980582,0.0452898550724637,0.0057692307692307,0.0522052205220522,0.0038610038610038,0.0047722342733188,0.0,0.0048543689320388,0.0,0.0166666666666666,0.0,0.0,0.0,0.0679611650485436,0.0315398886827458,0.0036968576709796,0.0229885057471264,0.0068965517241379,0.0079681274900398,0.0019960079840319,0.0054347826086956,0.0,0.0132450331125827,0.74,0.0
3754,chr1,26758773,26797797,ENSG00000117682,DHDDS,chr1,28473677,28520447,ENSG00000169403,PTAFR,0.0,0.0079207920792079,0.0,0.0,0.0063291139240506,0.1403508771929824,0.0213776722090261,0.0080862533692722,0.0,0.0144927536231884,0.0019230769230769,0.0144014401440144,0.0115830115830115,0.0008676789587852,0.0,0.0097087378640776,0.0,0.0104166666666666,0.0,0.0,0.0,0.058252427184466,0.0037105751391465,0.0,0.0,0.0034482758620689,0.0039840637450199,0.0,0.0,0.0253164556962025,0.0066225165562913,0.5933333333333334,0.0
3758,chr1,26758773,26797797,ENSG00000117682,DHDDS,chr1,27648636,27662891,ENSG00000186501,TMEM222,0.0120481927710843,0.0039603960396039,0.0,0.025,0.1772151898734177,0.0350877192982456,0.002375296912114,0.0646900269541779,0.0024271844660194,0.0597826086956521,0.0403846153846153,0.0117011701170117,0.0347490347490347,0.0138828633405639,0.0625,0.0533980582524271,0.0103448275862068,0.01875,0.0,0.0167597765363128,0.0232558139534883,0.0,0.0037105751391465,0.0036968576709796,0.0229885057471264,0.0275862068965517,0.0199203187250996,0.0039920159680638,0.0054347826086956,0.0253164556962025,0.0264900662251655,0.7333333333333333,0.0
3918,chr1,161736110,161933860,ENSG00000118217,ATF6,chr1,160246597,160256138,ENSG00000162735,PEX19,0.0240963855421686,0.0851485148514851,0.35,0.225,0.120253164556962,0.087719298245614,0.1045130641330166,0.059299191374663,0.0097087378640776,0.181159420289855,0.0134615384615384,0.0369036903690369,0.054054054054054,0.0082429501084598,0.1666666666666666,0.0631067961165048,0.0862068965517241,0.01875,0.0224719101123595,0.1620111731843575,0.1162790697674418,0.0776699029126213,0.0241187384044526,0.0850277264325323,0.0114942528735632,0.0448275862068965,0.0318725099601593,0.1676646706586826,0.0108695652173913,0.0126582278481012,0.0,0.5333333333333333,0.0606060606060606
4487,chr1,46726868,46769280,ENSG00000132128,LRRC41,chr1,47799469,47844511,ENSG00000162368,CMPK1,0.072289156626506,0.0039603960396039,0.3375,0.2833333333333333,0.1075949367088607,0.2280701754385964,0.4038004750593824,0.0053908355795148,0.0364077669902912,0.2626811594202898,0.0538461538461538,0.0432043204320432,0.1042471042471042,0.0676789587852494,0.125,0.0631067961165048,0.0862068965517241,0.0645833333333333,0.0112359550561797,0.2234636871508379,0.1240310077519379,0.2621359223300971,0.0074211502782931,0.0591497227356746,0.1724137931034483,0.0,0.0557768924302788,0.0079840319361277,0.0597826086956521,0.3037974683544304,0.0728476821192053,0.5333333333333333,0.2575757575757575
6418,chr1,224301813,224349749,ENSG00000143756,FBXO28,chr1,225589204,225616627,ENSG00000143815,LBR,0.180722891566265,0.0,0.0,0.1,0.0126582278481012,0.1403508771929824,0.0285035629453681,0.0377358490566037,0.2281553398058252,0.1394927536231884,0.1153846153846153,0.1539153915391539,0.0308880308880308,0.0802603036876355,0.0,0.0946601941747572,0.0758620689655172,0.2270833333333333,0.0674157303370786,0.0,0.0077519379844961,0.0388349514563106,0.3970315398886827,0.133086876155268,0.0114942528735632,0.196551724137931,0.3346613545816733,0.1616766467065868,0.4130434782608695,0.0,0.3112582781456953,0.5866666666666667,0.0
6853,chr1,46092976,46153785,ENSG00000159592,GPBP1L1,chr1,46769370,46782448,ENSG00000173660,UQCRH,0.1867469879518072,0.1405940594059406,0.025,0.1416666666666666,0.0,0.0526315789473684,0.0285035629453681,0.0485175202156334,0.0461165048543689,0.0326086956521739,0.0596153846153846,0.1611161116111611,0.0,0.1778741865509761,0.0208333333333333,0.1067961165048543,0.0137931034482758,0.23125,0.0337078651685393,0.0167597765363128,0.005813953488372,0.0,0.1335807050092764,0.0,0.0,0.2344827586206896,0.1294820717131474,0.0379241516966067,0.0597826086956521,0.0126582278481012,0.3377483443708609,0.52,0.0
7009,chr1,154955814,154965587,ENSG00000160688,FLAD1,chr1,155178490,155183615,ENSG00000173171,MTX1,0.0542168674698795,0.0118811881188118,0.2875,0.05,0.0759493670886076,0.2982456140350877,0.1116389548693586,0.0889487870619946,0.1213592233009708,0.3297101449275362,0.1115384615384615,0.0576057605760576,0.1814671814671814,0.1405639913232104,0.3333333333333333,0.0679611650485436,0.0310344827586206,0.0604166666666666,0.0674157303370786,0.0223463687150838,0.001937984496124,0.2815533980582524,0.0816326530612244,0.022181146025878,0.1264367816091954,0.1517241379310344,0.0617529880478087,0.249500998003992,0.0652173913043478,0.0632911392405063,0.0463576158940397,0.5266666666666666,0.0454545454545454
