,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
3084,chr1,231664287,231702270,ENSG00000116918,TSNAX,chr1,231114727,231136479,ENSG00000173409,ARV1,0.0783132530120482,0.1188118811881188,0.0875,0.45,0.3037974683544304,0.2631578947368421,0.3539192399049881,0.1805929919137466,0.0558252427184466,0.1884057971014492,0.0519230769230769,0.6156615661566157,0.0579150579150579,0.0733188720173535,0.1041666666666666,0.0946601941747572,0.0724137931034482,0.0875,0.0561797752808988,0.3854748603351955,0.067829457364341,0.4854368932038835,0.3246753246753247,0.0702402957486136,0.1264367816091954,0.2068965517241379,0.2808764940239043,0.1756487025948103,0.1032608695652173,0.2531645569620253,0.0993377483443708,0.04,0.0757575757575757
4517,chr1,155657751,155708801,ENSG00000132676,DAP3,chr1,155290685,155300905,ENSG00000160753,RUSC1,0.1867469879518072,0.0019801980198019,0.0,0.1333333333333333,0.0316455696202531,0.1929824561403508,0.1828978622327791,0.1212938005390835,0.058252427184466,0.2300724637681159,0.1019230769230769,0.5112511251125113,0.1003861003861003,0.0802603036876355,0.1041666666666666,0.1771844660194174,0.0068965517241379,0.21875,0.0674157303370786,0.0949720670391061,0.0155038759689922,0.0485436893203883,0.2263450834879406,0.0,0.0459770114942528,0.3137931034482759,0.2609561752988047,0.1097804391217564,0.0815217391304347,0.2784810126582278,0.3774834437086092,0.1733333333333333,0.0
5876,chr1,150618706,150669630,ENSG00000143457,GOLPH3L,chr1,151023447,151042801,ENSG00000197622,CDC42SE1,0.0060240963855421,0.0118811881188118,0.0,0.0416666666666666,0.0,0.0526315789473684,0.2090261282660332,0.0,0.0048543689320388,0.072463768115942,0.0807692307692307,0.5121512151215122,0.0038610038610038,0.0338394793926247,0.0,0.233009708737864,0.0068965517241379,0.0020833333333333,0.0112359550561797,0.0,0.0,0.0194174757281553,0.2801484230055658,0.0,0.0,0.2620689655172414,0.2609561752988047,0.0419161676646706,0.0434782608695652,0.0126582278481012,0.0,0.0066666666666666,0.0
5892,chr1,221874766,221915431,ENSG00000143507,DUSP10,chr1,222885895,222908538,ENSG00000162819,BROX,0.1566265060240964,0.0257425742574257,0.05,0.0416666666666666,0.0189873417721519,0.0175438596491228,0.1021377672209026,0.0700808625336927,0.1189320388349514,0.1358695652173913,0.1326923076923077,0.5265526552655265,0.054054054054054,0.1978308026030368,0.0,0.2305825242718446,0.1068965517241379,0.1729166666666666,0.1348314606741573,0.0,0.1201550387596899,0.1553398058252427,0.3191094619666048,0.0129390018484288,0.0459770114942528,0.3275862068965517,0.2450199203187251,0.0099800399201596,0.1195652173913043,0.0126582278481012,0.2052980132450331,0.0,0.0454545454545454
6443,chr1,224544560,224567161,ENSG00000143771,CNIH4,chr1,222885895,222908538,ENSG00000162819,BROX,0.3734939759036144,0.0831683168316831,0.025,0.05,0.0379746835443038,0.0350877192982456,0.2232779097387173,0.0754716981132075,0.337378640776699,0.2065217391304347,0.1653846153846153,0.6993699369936993,0.0463320463320463,0.3336225596529284,0.0,0.308252427184466,0.3862068965517241,0.4229166666666666,0.1516853932584269,0.0111731843575419,0.4127906976744186,0.1359223300970873,0.4953617810760667,0.2199630314232902,0.1149425287356321,0.4827586206896552,0.3685258964143426,0.0978043912175648,0.4239130434782608,0.0379746835443038,0.1324503311258278,0.0133333333333333,0.0151515151515151
6488,chr1,226547911,226595855,ENSG00000143799,PARP1,chr1,226033237,226070080,ENSG00000196187,TMEM63A,0.0120481927710843,0.0,0.0125,0.125,0.0443037974683544,0.087719298245614,0.1211401425178147,0.0539083557951482,0.0412621359223301,0.1865942028985507,0.0326923076923076,0.5013501350135013,0.027027027027027,0.0052060737527114,0.0416666666666666,0.058252427184466,0.0137931034482758,0.0458333333333333,0.0056179775280898,0.0,0.1511627906976744,0.1553398058252427,0.1836734693877551,0.0018484288354898,0.0,0.1793103448275862,0.197211155378486,0.06187624750499,0.1195652173913043,0.0253164556962025,0.23841059602649,0.1933333333333333,0.0
7489,chr1,222885895,222908538,ENSG00000162819,BROX,chr1,224572848,224624735,ENSG00000162923,WDR26,0.0602409638554216,0.0217821782178217,0.0125,0.0666666666666666,0.0253164556962025,0.0175438596491228,0.1140142517814726,0.0566037735849056,0.2160194174757281,0.1684782608695652,0.1307692307692307,0.5220522052205221,0.0115830115830115,0.2043383947939262,0.0,0.2694174757281553,0.0862068965517241,0.1104166666666666,0.1067415730337078,0.0,0.1996124031007752,0.058252427184466,0.4471243042671614,0.1053604436229205,0.0689655172413793,0.2827586206896552,0.2031872509960159,0.0319361277445109,0.3804347826086957,0.0253164556962025,0.1324503311258278,0.0066666666666666,0.0151515151515151
14561,chr12,67663138,67713733,ENSG00000111530,CAND1,chr12,69633349,69668138,ENSG00000111605,CPSF6,0.0481927710843373,0.0693069306930693,0.025,0.2083333333333333,0.1075949367088607,0.2631578947368421,0.1211401425178147,0.0,0.1577669902912621,0.1014492753623188,0.2173076923076923,0.5058505850585059,0.081081081081081,0.3856832971800434,0.1458333333333333,0.1868932038834951,0.0206896551724137,0.1020833333333333,0.0112359550561797,0.0167597765363128,0.1937984496124031,0.116504854368932,0.1428571428571428,0.0203327171903881,0.057471264367816,0.2344827586206896,0.4003984063745019,0.0578842315369261,0.3532608695652174,0.0632911392405063,0.0596026490066225,0.3066666666666666,0.0
15682,chr12,51745031,51786651,ENSG00000139629,GALNT6,chr12,51632508,51665146,ENSG00000183283,DAZAP2,0.2590361445783132,0.0772277227722772,0.175,0.0416666666666666,0.3670886075949367,0.0526315789473684,0.1306413301662707,0.0754716981132075,0.1504854368932038,0.1503623188405797,0.2961538461538461,0.6183618361836184,0.0579150579150579,0.0472885032537961,0.0416666666666666,0.0533980582524271,0.0413793103448275,0.2541666666666666,0.1348314606741573,0.2513966480446927,0.3662790697674418,0.0485436893203883,0.1799628942486085,0.0203327171903881,0.057471264367816,0.0448275862068965,0.097609561752988,0.0159680638722554,0.1847826086956521,0.3544303797468354,0.0,0.1933333333333333,0.0
15684,chr12,51745031,51786651,ENSG00000139629,GALNT6,chr12,53773960,53810230,ENSG00000185591,SP1,0.4096385542168674,0.097029702970297,0.1,0.025,0.2088607594936709,0.0701754385964912,0.1235154394299287,0.0161725067385444,0.1407766990291262,0.1630434782608695,0.2346153846153846,0.5094509450945095,0.0386100386100386,0.0390455531453362,0.0625,0.0922330097087378,0.0482758620689655,0.3520833333333333,0.1179775280898876,0.0558659217877094,0.2403100775193798,0.0388349514563106,0.2857142857142857,0.055452865064695,0.0459770114942528,0.0896551724137931,0.1573705179282868,0.0319361277445109,0.1304347826086956,0.3670886075949367,0.0,0.34,0.0303030303030303
