,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
3572,chr1,24828841,24867530,ENSG00000117602,RCAN3,chr1,24171567,24194780,ENSG00000179163,FUCA1,0.2108433734939759,0.2277227722772277,0.1375,0.1083333333333333,0.3670886075949367,0.2982456140350877,0.2921615201900237,0.0619946091644204,0.3810679611650485,0.125,0.0769230769230769,0.2232223222322232,0.3745173745173745,0.2937093275488069,0.1875,0.145631067961165,0.1620689655172413,0.1708333333333333,0.2022471910112359,0.441340782122905,0.1298449612403101,0.1359223300970873,0.1725417439703154,0.2846580406654344,0.5402298850574713,0.1586206896551724,0.197211155378486,0.3612774451097804,0.2119565217391304,0.189873417721519,0.0463576158940397,0.4533333333333333,0.2272727272727272
7718,chr1,110198721,110217458,ENSG00000168765,GSTM4,chr1,110452864,110473614,ENSG00000184371,CSF1,0.0421686746987951,0.0554455445544554,0.1375,0.3333333333333333,0.3417721518987341,0.1578947368421052,0.4418052256532066,0.1428571428571428,0.3179611650485437,0.2427536231884058,0.325,0.2043204320432043,0.444015444015444,0.1331887201735357,0.2291666666666666,0.2669902912621359,0.2,0.0833333333333333,0.2303370786516854,0.0558659217877094,0.3352713178294573,0.2524271844660194,0.261595547309833,0.2643253234750462,0.6551724137931034,0.2551724137931034,0.149402390438247,0.1117764471057884,0.2228260869565217,0.2658227848101265,0.1788079470198675,0.0666666666666666,0.1818181818181818
8287,chr10,102790991,102801001,ENSG00000107819,SFXN3,chr10,104503705,104594273,ENSG00000166272,WBP1L,0.0060240963855421,0.2138613861386138,0.25,0.0,0.0126582278481012,0.0175438596491228,0.0190023752969121,0.013477088948787,0.0461165048543689,0.0271739130434782,0.075,0.1017101710171017,0.1505791505791505,0.0707158351409978,0.0,0.0606796116504854,0.0862068965517241,0.0145833333333333,0.2752808988764045,0.0055865921787709,0.0116279069767441,0.0485436893203883,0.0834879406307977,0.210720887245841,0.5517241379310345,0.0103448275862068,0.0657370517928286,0.0059880239520958,0.0054347826086956,0.430379746835443,0.0132450331125827,0.0,0.1363636363636363
9621,chr11,60658019,60674057,ENSG00000110107,PRPF19,chr11,60704556,60720002,ENSG00000110446,SLC15A3,0.0662650602409638,0.0059405940594059,0.0125,0.25,0.4367088607594936,0.2456140350877192,0.2755344418052256,0.013477088948787,0.058252427184466,0.266304347826087,0.3769230769230769,0.2232223222322232,0.3243243243243243,0.1054229934924078,0.2291666666666666,0.2572815533980582,0.0758620689655172,0.0333333333333333,0.1292134831460674,0.0279329608938547,0.1065891472868217,0.087378640776699,0.1688311688311688,0.1645101663585952,0.5057471264367817,0.0103448275862068,0.3107569721115538,0.2435129740518962,0.0815217391304347,0.2658227848101265,0.0,0.16,0.0151515151515151
11193,chr11,289126,296107,ENSG00000142102,PGGHG,chr11,167784,207428,ENSG00000177951,BET1L,0.0662650602409638,0.095049504950495,0.4375,0.0,0.3291139240506329,0.175438596491228,0.0427553444180522,0.0781671159029649,0.0558252427184466,0.1358695652173913,0.2192307692307692,0.2313231323132313,0.3552123552123552,0.0394793926247288,0.0208333333333333,0.0898058252427184,0.0551724137931034,0.0583333333333333,0.0505617977528089,0.217877094972067,0.1201550387596899,0.3689320388349514,0.0890538033395176,0.0258780036968576,0.5862068965517241,0.0241379310344827,0.0517928286852589,0.311377245508982,0.0706521739130434,0.1139240506329113,0.0,0.0266666666666666,0.1515151515151515
13463,chr11,448268,491399,ENSG00000174915,PTDSS2,chr11,767220,777488,ENSG00000177225,GATD1,0.2590361445783132,0.3306930693069307,0.2125,0.4,0.0,0.087719298245614,0.0308788598574821,0.0269541778975741,0.0145631067961165,0.1539855072463768,0.25,0.1359135913591359,0.0849420849420849,0.1258134490238611,0.2916666666666667,0.1092233009708737,0.3758620689655172,0.3166666666666666,0.0898876404494382,0.0,0.0,0.203883495145631,0.2040816326530612,0.0683918669131238,0.6206896551724138,0.0172413793103448,0.2290836653386454,0.0538922155688622,0.0271739130434782,0.0,0.0728476821192053,0.1066666666666666,0.3333333333333333
13471,chr11,448268,491399,ENSG00000174915,PTDSS2,chr11,167784,207428,ENSG00000177951,BET1L,0.1686746987951807,0.0237623762376237,0.1125,0.2166666666666666,0.0,0.1052631578947368,0.007125890736342,0.0026954177897574,0.0097087378640776,0.0960144927536231,0.0807692307692307,0.0549054905490549,0.0579150579150579,0.0034707158351409,0.0416666666666666,0.0485436893203883,0.0793103448275862,0.14375,0.0280898876404494,0.0,0.0,0.0776699029126213,0.0630797773654916,0.0203327171903881,0.5747126436781609,0.0,0.0418326693227091,0.0339321357285429,0.0,0.0126582278481012,0.0,0.0133333333333333,0.2272727272727272
13835,chr11,63391559,63439393,ENSG00000184743,ATL3,chr11,62414320,62420774,ENSG00000185085,INTS5,0.0120481927710843,0.0099009900990099,0.0,0.0,0.0063291139240506,0.0350877192982456,0.1282660332541567,0.0026954177897574,0.1966019417475728,0.0489130434782608,0.2173076923076923,0.3447344734473447,0.3590733590733591,0.33058568329718,0.0,0.0679611650485436,0.0068965517241379,0.0416666666666666,0.0449438202247191,0.0167597765363128,0.001937984496124,0.0,0.1725417439703154,0.1848428835489833,0.632183908045977,0.0,0.0677290836653386,0.0499001996007984,0.3206521739130434,0.050632911392405,0.1721854304635761,0.0,0.0151515151515151
16596,chr14,75408537,75422329,ENSG00000119630,PGF,chr14,76424440,76449354,ENSG00000119699,TGFB3,0.0240963855421686,0.1504950495049505,0.0,0.0916666666666666,0.2025316455696202,0.4035087719298245,0.007125890736342,0.0188679245283018,0.0242718446601941,0.0307971014492753,0.15,0.4167416741674167,0.4903474903474903,0.0802603036876355,0.0,0.0703883495145631,0.0068965517241379,0.0104166666666666,0.4044943820224719,0.2234636871508379,0.1395348837209302,0.0388349514563106,0.0241187384044526,0.1737523105360443,0.6091954022988506,0.0551724137931034,0.0876494023904382,0.1616766467065868,0.0054347826086956,0.0253164556962025,0.2450331125827814,0.2066666666666666,0.0151515151515151
16720,chr14,76424440,76449354,ENSG00000119699,TGFB3,chr14,77564469,77583630,ENSG00000198894,CIPC,0.0,0.0178217821782178,0.0,0.0166666666666666,0.0189873417721519,0.2280701754385964,0.004750593824228,0.013477088948787,0.012135922330097,0.0163043478260869,0.073076923076923,0.1602160216021602,0.4208494208494208,0.0373101952277657,0.0,0.0364077669902912,0.0689655172413793,0.0083333333333333,0.2752808988764045,0.0,0.0,0.0,0.0055658627087198,0.0092421441774491,0.5862068965517241,0.0068965517241379,0.045816733067729,0.1457085828343313,0.0,0.0126582278481012,0.0331125827814569,0.1133333333333333,0.0303030303030303
