#chr	start	end	gene	GM12878	HeLaS3	HMEC	HUVEC	IMR90	K562	NHEK
chrX	99883667	99894988	ENSG00000000003	0.16	15.19	11.49	26.03	10.45	0.0	13.69
chrX	99839799	99854882	ENSG00000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr20	49551404	49575092	ENSG00000000419	114.32	39.11	51.77	41.3	38.27	143.88	55.98
chr1	169818772	169863408	ENSG00000000457	6.04	2.88	2.06	1.35	2.53	4.13	4.55
chr1	169631245	169823221	ENSG00000000460	28.15	17.99	8.12	7.9	3.36	52.57	7.9
chr1	27938575	27961788	ENSG00000000938	40.27	0.0	0.04	0.04	0.0	0.0	0.02
chr1	196621008	196716634	ENSG00000000971	0.01	205.31	0.92	42.77	7.28	44.83	1.97
chr6	143815948	143832827	ENSG00000001036	22.09	21.48	8.88	27.27	30.47	20.14	7.02
chr6	53362139	53481768	ENSG00000001084	5.35	80.96	38.54	77.64	7.24	3.62	38.7
chr6	41040684	41067715	ENSG00000001167	11.59	11.76	9.0	17.05	7.12	8.65	9.72
chr1	24683489	24743424	ENSG00000001460	0.67	2.84	8.2	1.37	4.2	8.11	9.4
chr1	24742284	24799466	ENSG00000001461	8.02	8.19	36.97	6.24	35.64	9.66	17.21
chrX	64732462	64754655	ENSG00000001497	60.84	41.08	22.81	26.54	18.85	87.21	25.17
chr6	46097730	46114436	ENSG00000001561	3.3	0.0	0.13	0.41	0.02	0.0	0.01
chr3	50192478	50226508	ENSG00000001617	0.0	46.36	78.13	62.41	15.19	0.01	41.33
chr7	117105838	117356025	ENSG00000001626	0.0	0.04	0.0	0.01	0.15	0.0	0.0
chr7	91875548	92030698	ENSG00000001629	4.88	21.55	16.02	31.28	12.05	5.21	20.86
chr7	91741465	91772266	ENSG00000001630	38.02	24.64	20.67	17.9	7.82	35.84	30.99
chr7	91828283	91875480	ENSG00000001631	14.42	12.26	21.07	12.9	15.12	20.9	23.48
chr12	1021243	1099219	ENSG00000002016	4.32	8.55	5.49	9.97	6.92	1.2	5.55
chr7	98836417	98908753	ENSG00000002079	0.05	1.63	5.12	1.37	0.41	0.0	1.07
chr11	64037302	64052176	ENSG00000002330	39.29	14.04	42.02	11.93	43.84	2.29	32.84
chr4	17578815	17609595	ENSG00000002549	163.19	38.57	33.62	125.38	37.35	137.94	47.7
chrX	2609220	2659350	ENSG00000002586	114.0	78.83	63.0	195.94	232.66	4.4	40.55
chr4	11394774	11431389	ENSG00000002587	0.57	0.11	4.81	0.07	0.06	0.0	1.13
chr7	150521715	150558592	ENSG00000002726	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr7	120965421	120981158	ENSG00000002745	0.0	0.0	0.0	0.0	0.45	0.05	0.01
chr7	43152198	43605600	ENSG00000002746	0.03	0.33	0.0	0.0	0.36	0.2	0.0
chr7	1855429	2272878	ENSG00000002822	47.63	16.21	11.86	15.92	17.66	3.22	10.15
chr17	37026112	37078023	ENSG00000002834	46.77	117.18	66.7	211.58	168.28	20.86	49.69
chr17	46180719	46200436	ENSG00000002919	24.64	2.46	12.12	4.96	10.91	19.81	11.87
chr7	150497491	150502208	ENSG00000002933	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr12	9092959	9102551	ENSG00000003056	91.8	50.7	77.85	43.48	56.11	99.74	71.82
chrX	117031776	117251303	ENSG00000003096	6.99	6.67	7.51	47.61	2.6	1.72	2.74
chr2	72356367	72375167	ENSG00000003137	0.01	10.93	1.18	1.25	0.01	0.0	0.52
chr7	8152814	8302317	ENSG00000003147	1.65	4.49	0.13	30.7	0.0	8.18	1.1
chr16	90071273	90086536	ENSG00000003249	0.63	3.4	2.78	10.16	14.73	0.55	0.95
chr2	202565277	202645912	ENSG00000003393	4.62	5.91	11.0	21.54	9.34	8.23	14.53
chr2	202047604	202094129	ENSG00000003400	4.6	2.74	2.11	9.68	0.07	6.03	4.04
chr2	201980827	202041410	ENSG00000003402	51.59	45.83	14.91	148.87	18.97	26.9	21.03
chr2	188328957	188430487	ENSG00000003436	0.22	210.06	0.35	235.77	21.43	163.29	0.59
chr2	37458774	37480546	ENSG00000003509	16.92	6.13	7.05	6.83	11.36	21.94	15.72
chr3	50126341	50156454	ENSG00000003756	42.64	226.38	42.9	316.01	100.02	50.19	94.54
chr8	17155539	17271037	ENSG00000003987	0.29	0.82	0.0	2.1	0.06	0.27	0.0
chr8	17354597	17428082	ENSG00000003989	0.0	50.82	0.05	11.34	6.5	0.01	0.28
chr7	127228399	127231759	ENSG00000004059	97.32	319.12	287.63	322.86	176.61	8.5	154.89
chr17	26691378	26728065	ENSG00000004139	3.87	0.8	0.66	0.96	6.2	0.0	0.49
chr17	26673659	26684545	ENSG00000004142	117.21	18.28	69.59	19.33	46.56	19.15	49.85
chr3	129274018	129325661	ENSG00000004399	0.0	56.44	0.45	368.36	43.04	0.69	0.05
chr1	33473585	33546597	ENSG00000004455	234.54	86.93	159.26	36.63	131.29	95.54	145.41
