,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
1208,chr17,7169374,7169485,ENSG00000202251.1,Y_RNA,chr17,7461609,7464925,ENSG00000161955.16_6,TNFSF13,0.1987951807228915,0.4772277227722772,0.05,0.175,0.2848101265822785,0.0350877192982456,0.1163895486935867,0.4204851752021563,0.1650485436893204,0.4492753623188406,0.2846153846153846,0.0864086408640864,0.3011583011583011,0.1770065075921909,0.1875,0.3106796116504854,0.6620689655172414,0.25625,0.348314606741573,0.1284916201117318,0.0426356589147286,0.1262135922330097,0.3413729128014842,0.1959334565619223,0.0804597701149425,0.0344827586206896,0.095617529880478,0.1217564870259481,0.2880434782608695,0.189873417721519,0.0794701986754966,0.1066666666666666,0.2121212121212121
1685,chr17,41196312,41322262,ENSG00000012048.23_10,BRCA1,chr17,42750437,42767147,ENSG00000180329.14_9,CCDC43,0.0,0.300990099009901,0.1125,0.075,0.0126582278481012,0.0,0.0617577197149643,0.1671159029649595,0.0048543689320388,0.1050724637681159,0.0038461538461538,0.018001800180018,0.027027027027027,0.0624728850325379,0.0,0.0388349514563106,0.506896551724138,0.0,0.0842696629213483,0.2290502793296089,0.065891472868217,0.0194174757281553,0.1020408163265306,0.1608133086876155,0.1149425287356321,0.0137931034482758,0.0,0.4550898203592814,0.0,0.1645569620253164,0.0,0.0,0.106060606060606
2239,chr1,33473541,33546597,ENSG00000004455,AK2,chr1,33207431,33240571,ENSG00000162522,KIAA1522,0.144578313253012,0.4831683168316831,0.0,0.15,0.0063291139240506,0.1228070175438596,0.3705463182897862,0.1293800539083558,0.2233009708737864,0.1920289855072463,0.0269230769230769,0.3807380738073807,0.0308880308880308,0.368763557483731,0.0,0.2063106796116504,0.7620689655172413,0.0833333333333333,0.348314606741573,0.0,0.001937984496124,0.029126213592233,0.0649350649350649,0.1275415896487985,0.264367816091954,0.0758620689655172,0.0737051792828685,0.4071856287425149,0.1467391304347826,0.1139240506329113,0.0132450331125827,0.0466666666666666,0.4393939393939394
18002,chr16,67977377,68003504,ENSG00000124067,SLC12A4,chr16,67696848,67701168,ENSG00000124074,ENKD1,0.0180722891566265,0.095049504950495,0.4625,0.3666666666666666,0.240506329113924,0.0,0.004750593824228,0.045822102425876,0.0024271844660194,0.0307971014492753,0.025,0.0009000900090009,0.2123552123552123,0.0247288503253796,0.4375,0.0509708737864077,0.5655172413793104,0.0291666666666666,0.0112359550561797,0.0167597765363128,0.4534883720930232,0.0679611650485436,0.0092764378478664,0.077634011090573,0.1724137931034483,0.2413793103448276,0.0039840637450199,0.0079840319361277,0.0108695652173913,0.189873417721519,0.0066225165562913,0.0066666666666666,0.0151515151515151
18136,chr16,85805364,85833214,ENSG00000131148,EMC8,chr16,84682117,84701292,ENSG00000135686,KLHL36,0.0060240963855421,0.1386138613861386,0.0125,0.1,0.0,0.0175438596491228,0.009501187648456,0.0727762803234501,0.0024271844660194,0.0126811594202898,0.0038461538461538,0.0108010801080108,0.0308880308880308,0.1067245119305856,0.0,0.029126213592233,0.5344827586206896,0.0375,0.0,0.0,0.005813953488372,0.0097087378640776,0.0222634508348794,0.1977818853974122,0.0804597701149425,0.0137931034482758,0.0159362549800796,0.0159680638722554,0.0163043478260869,0.1139240506329113,0.0331125827814569,0.0,0.4696969696969697
18725,chr16,67927157,67963579,ENSG00000159792,PSKH1,chr16,67182007,67184901,ENSG00000237172,B3GNT9,0.072289156626506,0.0772277227722772,0.4875,0.0583333333333333,0.1835443037974683,0.1228070175438596,0.0498812351543943,0.0350404312668463,0.0533980582524271,0.0543478260869565,0.0884615384615384,0.0387038703870387,0.2084942084942085,0.0381778741865509,0.2083333333333333,0.0898058252427184,0.6310344827586207,0.03125,0.0505617977528089,0.4189944134078212,0.0775193798449612,0.3106796116504854,0.1521335807050092,0.4842883548983364,0.2413793103448276,0.0172413793103448,0.1035856573705179,0.1976047904191616,0.0869565217391304,0.3924050632911392,0.0331125827814569,0.06,0.4393939393939394
20191,chr17,1247569,1303516,ENSG00000108953,YWHAE,chr17,660337,686630,ENSG00000167699,GLOD4,0.3554216867469879,0.295049504950495,0.1875,0.0916666666666666,0.4620253164556962,0.1929824561403508,0.1021377672209026,0.0296495956873315,0.1553398058252427,0.2155797101449275,0.2038461538461538,0.1368136813681368,0.1274131274131274,0.0477223427331887,0.0416666666666666,0.2063106796116504,0.7137931034482758,0.4395833333333333,0.1011235955056179,0.1396648044692737,0.2189922480620155,0.3592233009708738,0.1001855287569573,0.2199630314232902,0.057471264367816,0.4,0.2529880478087649,0.2135728542914171,0.092391304347826,0.1645569620253164,0.0,0.18,0.0454545454545454
22572,chr17,1323983,1366456,ENSG00000167193,CRK,chr17,660337,686630,ENSG00000167699,GLOD4,0.1506024096385542,0.0633663366336633,0.0125,0.0083333333333333,0.1012658227848101,0.1052631578947368,0.0498812351543943,0.0188679245283018,0.0461165048543689,0.0778985507246376,0.05,0.0504050405040504,0.0463320463320463,0.0164859002169197,0.0,0.0703883495145631,0.5827586206896552,0.20625,0.0056179775280898,0.0223463687150838,0.0503875968992248,0.1359223300970873,0.0389610389610389,0.0573012939001848,0.0,0.1344827586206896,0.1075697211155378,0.0558882235528942,0.0054347826086956,0.1265822784810126,0.0,0.04,0.0
22727,chr17,1619817,1641893,ENSG00000167716,WDR81,chr17,647661,657239,ENSG00000179409,GEMIN4,0.0,0.0138613861386138,0.1,0.0,0.0,0.0,0.0,0.0350404312668463,0.0,0.0,0.0038461538461538,0.0018001800180018,0.0,0.0273318872017353,0.0,0.0072815533980582,0.5551724137931034,0.0020833333333333,0.0,0.0614525139664804,0.0,0.1262135922330097,0.0037105751391465,0.3179297597042514,0.057471264367816,0.0,0.0099601593625498,0.0,0.0,0.1139240506329113,0.0,0.0,0.0303030303030303
27880,chr19,39109722,39127595,ENSG00000178982,EIF3K,chr19,39926796,39967310,ENSG00000196235,SUPT5H,0.2228915662650602,0.097029702970297,0.1875,0.3916666666666666,0.0949367088607595,0.0175438596491228,0.2494061757719715,0.4258760107816711,0.3276699029126214,0.0760869565217391,0.2615384615384615,0.4905490549054905,0.1505791505791505,0.4290672451193059,0.3125,0.2160194174757281,0.5655172413793104,0.2770833333333333,0.2359550561797752,0.1005586592178771,0.0833333333333333,0.3203883495145631,0.2838589981447124,0.2587800369685767,0.4137931034482758,0.0,0.3087649402390438,0.3173652694610778,0.1304347826086956,0.3037974683544304,0.3311258278145695,0.2333333333333333,0.1515151515151515
