,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
1337,chr1,31204540,31206274,ENSG00000287510.1_1,AL137857.1,chr1,32716840,32751766,ENSG00000182866.17_6,LCK,0.0,0.0475247524752475,0.225,0.0166666666666666,0.3860759493670886,0.0350877192982456,0.0403800475059382,0.1698113207547169,0.0631067961165048,0.0289855072463768,0.0615384615384615,0.0252025202520252,0.1003861003861003,0.0546637744034707,0.5416666666666666,0.0509708737864077,0.0586206896551724,0.0208333333333333,0.0168539325842696,0.2681564245810056,0.067829457364341,0.0485436893203883,0.046382189239332,0.0351201478743068,0.0344827586206896,0.1551724137931034,0.0577689243027888,0.0039920159680638,0.0380434782608695,0.0886075949367088,0.0794701986754966,0.02,0.3939393939393939
1415,chr1,32716840,32751766,ENSG00000182866.17_6,LCK,chr1,33240838,33283754,ENSG00000134684.11_5,YARS1,0.0240963855421686,0.0376237623762376,0.0375,0.0166666666666666,0.0063291139240506,0.0,0.0380047505938242,0.0053908355795148,0.0776699029126213,0.0380434782608695,0.0076923076923076,0.0306030603060306,0.0579150579150579,0.0802603036876355,0.7083333333333334,0.0606796116504854,0.0241379310344827,0.0354166666666666,0.0505617977528089,0.0111731843575419,0.005813953488372,0.0776699029126213,0.0018552875695732,0.0036968576709796,0.0459770114942528,0.0103448275862068,0.0079681274900398,0.1177644710578842,0.0815217391304347,0.0126582278481012,0.0198675496688741,0.0733333333333333,0.0757575757575757
2430,chr1,8014351,8045565,ENSG00000116288,PARK7,chr1,6640054,6649340,ENSG00000204859,ZBTB48,0.0,0.0297029702970297,0.275,0.4166666666666667,0.0063291139240506,0.0350877192982456,0.0166270783847981,0.0566037735849056,0.087378640776699,0.0543478260869565,0.2346153846153846,0.0747074707470747,0.2471042471042471,0.1848156182212581,0.8958333333333334,0.0728155339805825,0.0689655172413793,0.0479166666666666,0.0449438202247191,0.0,0.0,0.2524271844660194,0.2448979591836734,0.2532347504621072,0.2413793103448276,0.0241379310344827,0.2071713147410358,0.0059880239520958,0.1304347826086956,0.1645569620253164,0.0066225165562913,0.22,0.0303030303030303
2838,chr1,11114641,11120077,ENSG00000116649,SRM,chr1,9788984,9884042,ENSG00000171603,CLSTN1,0.3433734939759036,0.1207920792079207,0.3,0.25,0.1075949367088607,0.3684210526315789,0.3206650831353919,0.1805929919137466,0.3179611650485437,0.3369565217391304,0.1211538461538461,0.1818181818181818,0.3513513513513513,0.0312364425162689,0.625,0.3033980582524271,0.2172413793103448,0.2041666666666666,0.1573033707865168,0.3575418994413408,0.0426356589147286,0.2718446601941747,0.1910946196660482,0.1386321626617375,0.4942528735632184,0.2655172413793103,0.1195219123505976,0.1437125748502994,0.1576086956521739,0.1518987341772152,0.0264900662251655,0.1266666666666666,0.1212121212121212
2981,chr1,15898194,15911546,ENSG00000116771,AGMAT,chr1,16268364,16302627,ENSG00000116809,ZBTB17,0.1385542168674698,0.0,0.0,0.075,0.0,0.087719298245614,0.004750593824228,0.3153638814016172,0.0461165048543689,0.1177536231884057,0.0038461538461538,0.0072007200720072,0.0231660231660231,0.1093275488069414,0.5208333333333334,0.0388349514563106,0.0620689655172413,0.1104166666666666,0.0,0.0,0.0077519379844961,0.029126213592233,0.0148423005565862,0.1164510166358595,0.0114942528735632,0.1206896551724138,0.0159362549800796,0.0,0.0054347826086956,0.0126582278481012,0.2516556291390728,0.12,0.0
3350,chr1,43391024,43424564,ENSG00000117394,SLC2A1,chr1,43272723,43283068,ENSG00000177868,SVBP,0.1204819277108433,0.0396039603960396,0.3875,0.375,0.0189873417721519,0.4210526315789473,0.1591448931116389,0.3611859838274933,0.1407766990291262,0.1992753623188405,0.1826923076923076,0.0648064806480648,0.2316602316602316,0.0490238611713665,0.5416666666666666,0.1626213592233009,0.0689655172413793,0.11875,0.0561797752808988,0.1340782122905028,0.0096899224806201,0.2718446601941747,0.1150278293135436,0.022181146025878,0.1264367816091954,0.1413793103448276,0.049800796812749,0.0119760479041916,0.0543478260869565,0.1772151898734177,0.0,0.1866666666666666,0.1818181818181818
3729,chr1,26856252,26901521,ENSG00000117676,RPS6KA1,chr1,27153179,27184095,ENSG00000204160,ZDHHC18,0.0,0.0693069306930693,0.0,0.0,0.0063291139240506,0.0175438596491228,0.0,0.0026954177897574,0.0,0.0072463768115942,0.0192307692307692,0.0036003600360036,0.0193050193050193,0.1527114967462039,0.5416666666666666,0.0048543689320388,0.0068965517241379,0.0,0.0,0.0,0.0,0.029126213592233,0.0166975881261595,0.0018484288354898,0.0114942528735632,0.0206896551724137,0.0199203187250996,0.0079840319361277,0.0108695652173913,0.0126582278481012,0.0596026490066225,0.0666666666666666,0.0
4214,chr1,45468212,45476996,ENSG00000126107,HECTD3,chr1,46092976,46153785,ENSG00000159592,GPBP1L1,0.0421686746987951,0.0138613861386138,0.15,0.3416666666666667,0.1139240506329113,0.2807017543859649,0.0878859857482185,0.0700808625336927,0.0072815533980582,0.1684782608695652,0.1923076923076923,0.1872187218721872,0.4131274131274131,0.1127982646420824,0.5208333333333334,0.2864077669902912,0.0413793103448275,0.0166666666666666,0.0224719101123595,0.0,0.003875968992248,0.2912621359223301,0.0686456400742115,0.0073937153419593,0.4367816091954023,0.2793103448275862,0.1115537848605577,0.0159680638722554,0.0108695652173913,0.0379746835443038,0.152317880794702,0.3,0.0151515151515151
4515,chr1,155657751,155708801,ENSG00000132676,DAP3,chr1,153920145,153931091,ENSG00000160741,CRTC2,0.0301204819277108,0.0099009900990099,0.0,0.2166666666666666,0.0126582278481012,0.2456140350877192,0.1971496437054631,0.059299191374663,0.012135922330097,0.2101449275362318,0.0211538461538461,0.2943294329432943,0.0617760617760617,0.0490238611713665,0.5208333333333334,0.1432038834951456,0.0137931034482758,0.0125,0.0224719101123595,0.0223463687150838,0.0,0.1650485436893204,0.1706864564007421,0.0055452865064695,0.0344827586206896,0.0862068965517241,0.1175298804780876,0.1357285429141716,0.0217391304347826,0.0379746835443038,0.3973509933774834,0.0933333333333333,0.0151515151515151
5033,chr1,76251882,76260771,ENSG00000137955,RABGGTB,chr1,77554674,77685115,ENSG00000142892,PIGK,0.0120481927710843,0.0039603960396039,0.0625,0.1333333333333333,0.0,0.0350877192982456,0.0,0.1536388140161725,0.0,0.0181159420289855,0.0269230769230769,0.0315031503150315,0.0115830115830115,0.0221258134490238,0.5208333333333334,0.0631067961165048,0.0206896551724137,0.0375,0.0,0.0,0.0155038759689922,0.029126213592233,0.0111317254174397,0.0425138632162661,0.0459770114942528,0.0172413793103448,0.0597609561752988,0.0219560878243512,0.0,0.0379746835443038,0.0,0.2266666666666666,0.0303030303030303
