label,chr1,x1,x2,chr2,y1,y2
0,5,122383713,122393918,5,122507521,122514056
1,5,53810000,53820000,5,54140000,54150000
1,14,24710000,24720000,14,24760000,24770000
0,14,40211556,40226895,14,40307535,40325212
0,14,51702442,51726124,14,51782968,51800834
0,14,76228073,76278396,14,76425162,76437392
0,14,97441249,97448812,14,97597722,97614190
0,14,60246664,60261353,14,60640282,60695821
0,5,116754327,116776889,5,117331368,117388997
0,14,58117626,58146874,14,58196286,58207959
0,5,121583824,121602512,5,121896821,121904410
0,5,84228990,84238607,5,84305351,84333511
1,5,135220000,135230000,5,135540000,135550000
0,14,101254997,101261530,14,101450287,101494332
1,14,23930000,23950000,14,24020000,24030000
0,14,53838872,53847093,14,54051235,54073114
0,14,21395759,21409270,14,21713917,21742024
1,14,35140000,35150000,14,35870000,35890000
0,14,101352938,101386491,14,101815090,101823083
0,14,78338082,78362154,14,79178809,79190046
0,5,56553509,56565996,5,56724144,56733649
0,5,133934797,134026442,5,134495078,134544788
0,5,52934424,52949599,5,53206023,53231988
0,14,52530467,52553436,14,53002819,53029019
0,14,86022623,86027194,14,86172447,86191122
0,14,85900647,85925584,14,85976915,86007690
0,14,66907582,66938554,14,66939898,66988713
1,14,77920000,77930000,14,78170000,78180000
0,5,117834791,117872604,5,118118483,118140045
0,14,66755304,66764173,14,66907582,66938554
0,14,40130516,40146441,14,40373729,40389640
1,5,170840000,170850000,5,171460000,171480000
0,14,61695680,61708391,14,61999936,62081795
0,14,80378900,80388479,14,80733088,80759653
1,5,179220000,179230000,5,179510000,179520000
0,14,25022881,25056212,14,25198399,25220395
0,5,166224588,166240015,5,166542603,166562402
1,5,176730000,176740000,5,176870000,176890000
0,5,173602071,173644488,5,174627598,174637047
1,5,151030000,151050000,5,151120000,151130000
0,14,68081194,68109816,14,68311708,68318919
0,14,40373729,40389640,14,40481138,40500213
1,5,670000,690000,5,770000,780000
1,14,72980000,72990000,14,73370000,73380000
0,14,80733088,80759653,14,81323320,81339642
0,5,81957150,82020181,5,82062546,82074183
0,5,14458628,14466681,5,14571468,14590229
0,14,92338992,92370428,14,92457660,92478163
0,14,83406408,83417701,14,83618988,83644500
0,14,50291147,50302844,14,50649504,50666808
0,5,54508383,54537779,5,54616105,54649223
0,14,44668913,44674806,14,44792627,44804510
1,14,22770000,22790000,14,22930000,22940000
0,14,68445790,68508883,14,68708287,68853482
0,5,88781934,88787541,5,88941380,88971922
0,5,127592760,127609481,5,127875755,127886844
0,14,50918665,50952099,14,51282410,51310027
0,14,20638212,20649111,14,20921490,20946056
0,14,29472758,29498157,14,29681380,29717837
1,5,139450000,139460000,5,139530000,139540000
0,14,62832621,62842796,14,63491928,63515237
0,5,147665922,147768706,5,149173701,149246695
0,14,60624543,60639627,14,60977475,60986320
0,14,94767638,94795649,14,94863719,94910931
0,5,142026127,142044492,5,143074417,143127814
0,5,145143724,145153455,5,145261715,145273768
0,5,62069879,62093854,5,62353615,62383271
0,5,31515774,31541526,5,31803605,31816901
0,5,127254947,127262796,5,128340267,128355628
0,14,37440294,37451959,14,37581191,37628050
0,5,82128387,82141476,5,82221503,82234062
0,14,75463680,75475067,14,75790901,75813737
0,14,25700658,25713917,14,25894713,25968859
0,14,32847475,32856752,14,33542739,33557472
1,14,106010000,106020000,14,106470000,106480000
0,5,27444284,27484835,5,27633846,27661393
0,14,74355881,74381256,14,74388723,74434706
0,14,46484875,46498734,14,46583877,46630835
0,14,86294432,86344907,14,86497916,86510066
0,5,4287420,4304607,5,5319151,5335083
0,14,42244884,42261112,14,42779900,42792907
0,14,83829474,83849325,14,83981273,83988582
0,14,64050229,64064178,14,64123780,64146196
0,5,5695571,5712394,5,5864362,5943603
0,14,27078771,27088234,14,27649300,27660219
0,5,178857695,178874488,5,179847035,179883339
0,14,51511741,51517814,14,51757823,51773870
0,14,23215121,23227325,14,23468897,23485138
0,5,174214550,174231549,5,174406582,174419931
0,5,61093485,61122387,5,61293814,61305335
0,14,77685662,77698213,14,77871360,77880157
1,14,105560000,105570000,14,105820000,105840000
1,5,139610000,139630000,5,140090000,140100000
0,14,69808356,69885364,14,70109148,70120790
0,14,48606298,48625865,14,48690720,48704253
0,5,99280465,99296238,5,99445935,99478984
0,14,70685342,70705568,14,70896199,70912118
0,5,157415851,157450597,5,157566589,157614114
0,14,47267016,47276505,14,47767146,47774337
1,14,39570000,39590000,14,39830000,39840000
0,14,36340395,36365741,14,36474051,36510494
0,5,146979067,146986936,5,147155011,147215727
0,14,90258721,90274772,14,90354854,90395474
0,14,48107628,48116951,14,48253780,48267101
0,14,70451489,70505906,14,70577406,70625366
0,14,45961310,45989533,14,46454081,46465320
