,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
4010,chr1,11333255,11356106,ENSG00000120942,UBIAD1,chr1,12627939,12678216,ENSG00000162496,DHRS3,0.1566265060240964,0.0079207920792079,0.0,0.175,0.3164556962025316,0.1228070175438596,0.2042755344418052,0.0161725067385444,0.3859223300970874,0.1938405797101449,0.2307692307692307,0.3303330333033303,0.1158301158301158,0.424295010845987,0.0,0.1286407766990291,0.1517241379310344,0.1895833333333333,0.0056179775280898,0.0223463687150838,0.3333333333333333,0.087378640776699,0.1985157699443413,0.0258780036968576,0.0229885057471264,0.1482758620689655,0.1733067729083665,0.0938123752495009,0.5217391304347826,0.0253164556962025,0.152317880794702,0.48,0.0454545454545454
7683,chr1,37940181,37949978,ENSG00000163874,ZC3H12A,chr1,36805225,36851525,ENSG00000196182,STK40,0.4096385542168674,0.2178217821782178,0.05,0.225,0.2341772151898734,0.175438596491228,0.3776722090261282,0.0377358490566037,0.4101941747572815,0.3641304347826087,0.3903846153846154,0.126012601260126,0.166023166023166,0.2177874186550976,0.4166666666666667,0.2718446601941747,0.0275862068965517,0.38125,0.1235955056179775,0.0837988826815642,0.0736434108527131,0.1067961165048543,0.1929499072356215,0.011090573012939,0.0919540229885057,0.3931034482758621,0.3187250996015936,0.4331337325349301,0.5597826086956522,0.0,0.0662251655629139,0.2,0.0
21805,chr17,80186273,80219005,ENSG00000141526,SLC16A3,chr17,79801037,79818500,ENSG00000185624,P4HB,0.108433734939759,0.0,0.0,0.0,0.0,0.0175438596491228,0.0,0.0619946091644204,0.3980582524271844,0.0072463768115942,0.1519230769230769,0.0396039603960396,0.0,0.231236442516269,0.0,0.0364077669902912,0.0137931034482758,0.1479166666666666,0.0168539325842696,0.0,0.0,0.0097087378640776,0.0389610389610389,0.0905730129390018,0.0114942528735632,0.1241379310344827,0.0717131474103585,0.0059880239520958,0.5597826086956522,0.0126582278481012,0.2119205298013245,0.0,0.1212121212121212
21956,chr17,80709941,80903790,ENSG00000141556,TBCD,chr17,79801037,79818500,ENSG00000185624,P4HB,0.144578313253012,0.0,0.0,0.0,0.0,0.0,0.002375296912114,0.0296495956873315,0.4393203883495146,0.0054347826086956,0.4403846153846154,0.0225022502250225,0.0,0.1579175704989154,0.0,0.0436893203883495,0.0034482758620689,0.15,0.0112359550561797,0.0,0.0,0.0097087378640776,0.0278293135435992,0.055452865064695,0.0,0.2551724137931034,0.1075697211155378,0.0059880239520958,0.717391304347826,0.0126582278481012,0.1986754966887417,0.0,0.0757575757575757
22147,chr17,79163393,79196799,ENSG00000141577,CEP131,chr17,79801037,79818500,ENSG00000185624,P4HB,0.1506024096385542,0.0019801980198019,0.0125,0.0333333333333333,0.0,0.4035087719298245,0.0213776722090261,0.0673854447439353,0.4441747572815534,0.0670289855072463,0.2442307692307692,0.0468046804680468,0.0308880308880308,0.0919739696312364,0.0208333333333333,0.058252427184466,0.0137931034482758,0.19375,0.0168539325842696,0.0,0.0213178294573643,0.029126213592233,0.0500927643784786,0.0314232902033271,0.057471264367816,0.2275862068965517,0.1015936254980079,0.0079840319361277,0.6413043478260869,0.0126582278481012,0.0397350993377483,0.06,0.1969696969696969
22579,chr17,1323983,1366456,ENSG00000167193,CRK,chr17,1421012,1466086,ENSG00000174238,PITPNA,0.463855421686747,0.2158415841584158,0.0,0.075,0.170886075949367,0.2807017543859649,0.2517814726840855,0.0323450134770889,0.3810679611650485,0.1847826086956521,0.4557692307692307,0.3078307830783078,0.2934362934362934,0.2741865509761388,0.0,0.145631067961165,0.1241379310344827,0.4625,0.1910112359550561,0.0111731843575419,0.0755813953488372,0.1262135922330097,0.1762523191094619,0.1534195933456562,0.1034482758620689,0.3344827586206896,0.3207171314741036,0.0518962075848303,0.5163043478260869,0.0379746835443038,0.0331125827814569,0.2333333333333333,0.0
22896,chr17,80376194,80400521,ENSG00000169660,HEXD,chr17,79801037,79818500,ENSG00000185624,P4HB,0.108433734939759,0.0039603960396039,0.0,0.1,0.0,0.0,0.007125890736342,0.0619946091644204,0.4320388349514563,0.0090579710144927,0.175,0.036003600360036,0.0038610038610038,0.2433839479392624,0.0208333333333333,0.058252427184466,0.0413793103448275,0.15,0.0280898876404494,0.0055865921787709,0.0077519379844961,0.0097087378640776,0.0705009276437847,0.088724584103512,0.0,0.1413793103448276,0.1135458167330677,0.0119760479041916,0.5108695652173914,0.0,0.4503311258278146,0.0,0.3181818181818182
24190,chr19,50321539,50343640,ENSG00000104973,MED25,chr19,50162826,50169132,ENSG00000126456,IRF3,0.0421686746987951,0.0138613861386138,0.05,0.0,0.0632911392405063,0.0175438596491228,0.0475059382422802,0.137466307277628,0.3762135922330097,0.0090579710144927,0.148076923076923,0.0405040504050405,0.0308880308880308,0.196529284164859,0.0,0.0266990291262135,0.0137931034482758,0.0291666666666666,0.0112359550561797,0.217877094972067,0.3934108527131782,0.0679611650485436,0.0037105751391465,0.011090573012939,0.0114942528735632,0.1172413793103448,0.0079681274900398,0.0019960079840319,0.5597826086956522,0.4177215189873418,0.2516556291390728,0.04,0.0303030303030303
26772,chr19,11200138,11244496,ENSG00000130164,LDLR,chr19,13227676,13251961,ENSG00000160877,NACC1,0.0060240963855421,0.0019801980198019,0.0875,0.025,0.0126582278481012,0.0175438596491228,0.0878859857482185,0.013477088948787,0.3519417475728155,0.0108695652173913,0.1442307692307692,0.0585058505850585,0.0347490347490347,0.0086767895878524,0.0416666666666666,0.0218446601941747,0.0275862068965517,0.0229166666666666,0.0168539325842696,0.0,0.0213178294573643,0.0679611650485436,0.0797773654916512,0.0073937153419593,0.0459770114942528,0.0344827586206896,0.1274900398406374,0.0099800399201596,0.5054347826086957,0.0632911392405063,0.0,0.0733333333333333,0.0151515151515151
28745,chr2,27255778,27264562,ENSG00000119777,TMEM214,chr2,26531415,26618759,ENSG00000138018,SELENOI,0.253012048192771,0.0039603960396039,0.05,0.0,0.0,0.087719298245614,0.009501187648456,0.0970350404312668,0.3859223300970874,0.0742753623188405,0.2115384615384615,0.3132313231323132,0.0038610038610038,0.0203904555314533,0.0,0.174757281553398,0.0137931034482758,0.3145833333333333,0.0224719101123595,0.3966480446927374,0.1201550387596899,0.0388349514563106,0.1335807050092764,0.0166358595194085,0.0,0.2620689655172414,0.2709163346613545,0.1097804391217564,0.5489130434782609,0.0253164556962025,0.0794701986754966,0.2466666666666666,0.1818181818181818
