,chr1,x1,x2,gene1,gene1Sym,chr2,y1,y2,gene2,gene2Sym,READ,THCA,UVM,THYM,GBM,UCS,OV,LIHC,STAD,UCEC,HNSC,BRCA,SARC,Healthy,DLBC,BLCA,KIRP,COAD,PAAD,PCPG,LGG,SKCM,LUAD,KIRC,MESO,CESC,LUSC,PRAD,ESCA,ACC,LAML,TGCT,KICH
5149,chr1,22148737,22263803,ENSG00000142798,HSPG2,chr1,24171567,24194780,ENSG00000179163,FUCA1,0.1385542168674698,0.1683168316831683,0.0,0.05,0.0126582278481012,0.0350877192982456,0.1615201900237529,0.0053908355795148,0.5970873786407767,0.0434782608695652,0.0884615384615384,0.1611161116111611,0.2046332046332046,0.2394793926247288,0.0,0.0898058252427184,0.0310344827586206,0.11875,0.4382022471910112,0.1117318435754189,0.003875968992248,0.087378640776699,0.2987012987012987,0.210720887245841,0.0919540229885057,0.0379310344827586,0.2111553784860557,0.0658682634730539,0.3097826086956521,0.0126582278481012,0.0,0.1733333333333333,0.0606060606060606
6476,chr1,227177566,227506175,ENSG00000143776,CDC42BPA,chr1,226249552,226259720,ENSG00000163041,H3-3A,0.1506024096385542,0.0376237623762376,0.0625,0.0,0.0759493670886076,0.0701754385964912,0.1496437054631829,0.0296495956873315,0.5679611650485437,0.0851449275362318,0.0692307692307692,0.2691269126912691,0.1196911196911196,0.1509761388286334,0.0208333333333333,0.1432038834951456,0.0482758620689655,0.1833333333333333,0.4213483146067415,0.3519553072625698,0.0,0.116504854368932,0.2504638218923933,0.2532347504621072,0.0459770114942528,0.2068965517241379,0.0737051792828685,0.0558882235528942,0.3641304347826087,0.0632911392405063,0.0066225165562913,0.0266666666666666,0.0454545454545454
9068,chr10,75504130,75531919,ENSG00000176986,SEC24C,chr10,75008601,75012451,ENSG00000182180,MRPS16,0.4819277108433735,0.0336633663366336,0.425,0.1333333333333333,0.0379746835443038,0.2631578947368421,0.498812351543943,0.1778975741239892,0.5072815533980582,0.3423913043478261,0.3519230769230769,0.4617461746174617,0.0694980694980695,0.2260303687635574,0.4583333333333333,0.2645631067961165,0.1103448275862069,0.425,0.0337078651685393,0.0279329608938547,0.1046511627906976,0.2524271844660194,0.3487940630797773,0.0314232902033271,0.2413793103448276,0.4482758620689655,0.450199203187251,0.3193612774451098,0.4728260869565217,0.1518987341772152,0.3576158940397351,0.3866666666666666,0.1666666666666666
9992,chr11,2920951,2946476,ENSG00000110628,SLC22A18,chr11,1872134,1913497,ENSG00000130592,LSP1,0.2349397590361445,0.1108910891089108,0.2,0.2333333333333333,0.0063291139240506,0.2631578947368421,0.2161520190023753,0.2345013477088948,0.5266990291262136,0.1503623188405797,0.2615384615384615,0.0846084608460846,0.0888030888030888,0.0720173535791757,0.0833333333333333,0.2888349514563106,0.3448275862068966,0.3083333333333333,0.3651685393258427,0.1675977653631284,0.0213178294573643,0.2718446601941747,0.2801484230055658,0.144177449168207,0.1264367816091954,0.3068965517241379,0.0916334661354581,0.0159680638722554,0.2934782608695652,0.1518987341772152,0.0066225165562913,0.1466666666666666,0.0
13356,chr11,66202546,66234209,ENSG00000174547,MRPL11,chr11,66129992,66139685,ENSG00000174669,SLC29A2,0.3734939759036144,0.0316831683168316,0.1,0.0583333333333333,0.1012658227848101,0.1578947368421052,0.2897862232779097,0.490566037735849,0.7912621359223301,0.2554347826086957,0.3346153846153846,0.1566156615661566,0.4478764478764478,0.3605206073752711,0.4583333333333333,0.3932038834951456,0.2862068965517241,0.475,0.2528089887640449,0.2011173184357542,0.0310077519379844,0.2135922330097087,0.1873840445269016,0.1645101663585952,0.3103448275862069,0.3310344827586207,0.1932270916334661,0.0179640718562874,0.4021739130434782,0.3544303797468354,0.304635761589404,0.4866666666666667,0.0303030303030303
13829,chr11,120081740,120101043,ENSG00000184232,OAF,chr11,118764584,118796317,ENSG00000186174,BCL9L,0.0602409638554216,0.0297029702970297,0.1,0.1333333333333333,0.0189873417721519,0.0701754385964912,0.2137767220902612,0.4878706199460916,0.5339805825242718,0.0688405797101449,0.1942307692307692,0.0585058505850585,0.1351351351351351,0.1609544468546637,0.0208333333333333,0.0631067961165048,0.193103448275862,0.0520833333333333,0.0842696629213483,0.1229050279329608,0.0213178294573643,0.087378640776699,0.1020408163265306,0.0961182994454713,0.3448275862068966,0.0724137931034482,0.1015936254980079,0.029940119760479,0.4619565217391304,0.240506329113924,0.1324503311258278,0.0666666666666666,0.1212121212121212
26216,chr19,3185561,3209573,ENSG00000125912,NCLN,chr19,4402637,4445015,ENSG00000167670,CHAF1A,0.2771084337349397,0.1029702970297029,0.0625,0.075,0.2911392405063291,0.175438596491228,0.3016627078384798,0.1132075471698113,0.5024271844660194,0.3695652173913043,0.398076923076923,0.2664266426642664,0.2702702702702703,0.0563991323210412,0.0416666666666666,0.2766990291262136,0.1137931034482758,0.2645833333333333,0.2865168539325842,0.0167597765363128,0.0775193798449612,0.2135922330097087,0.2782931354359926,0.0813308687615526,0.4827586206896552,0.0620689655172413,0.2888446215139442,0.3293413173652694,0.4510869565217391,0.1518987341772152,0.0198675496688741,0.18,0.0909090909090909
30643,chr22,46067678,46241187,ENSG00000130638,ATXN10,chr22,44888463,44894113,ENSG00000188636,RTL6,0.3132530120481928,0.0217821782178217,0.2375,0.0,0.0126582278481012,0.0350877192982456,0.3135391923990498,0.0,0.5509708737864077,0.0489130434782608,0.0865384615384615,0.0279027902790279,0.2007722007722007,0.120173535791757,0.0,0.0218446601941747,0.1862068965517241,0.25625,0.3033707865168539,0.0111731843575419,0.0232558139534883,0.1262135922330097,0.1168831168831168,0.1589648798521257,0.0804597701149425,0.0344827586206896,0.0159362549800796,0.0039920159680638,0.4184782608695652,0.0886075949367088,0.0662251655629139,0.0133333333333333,0.2878787878787879
38394,chr7,100861446,100867471,ENSG00000106400,ZNHIT1,chr7,99036545,99054996,ENSG00000160917,CPSF4,0.4518072289156626,0.0,0.0,0.0333333333333333,0.0,0.0350877192982456,0.0166270783847981,0.2884097035040431,0.5995145631067961,0.0525362318840579,0.0019230769230769,0.0,0.0038610038610038,0.0325379609544468,0.0208333333333333,0.0024271844660194,0.2827586206896552,0.4708333333333333,0.0842696629213483,0.0,0.0,0.0,0.0074211502782931,0.1146025878003696,0.0,0.0103448275862068,0.0019920318725099,0.0,0.2554347826086957,0.0,0.0,0.1933333333333333,0.0
41718,chr9,130923530,130966662,ENSG00000148337,CIZ1,chr9,131102806,131123749,ENSG00000167114,SLC27A4,0.3192771084337349,0.0059405940594059,0.025,0.0083333333333333,0.0759493670886076,0.1403508771929824,0.178147268408551,0.353099730458221,0.5194174757281553,0.1431159420289855,0.4769230769230769,0.0738073807380738,0.1621621621621621,0.0550976138828633,0.0208333333333333,0.1699029126213592,0.0758620689655172,0.2895833333333333,0.0730337078651685,0.0111731843575419,0.1220930232558139,0.145631067961165,0.1781076066790352,0.0129390018484288,0.057471264367816,0.1517241379310344,0.2091633466135458,0.0279441117764471,0.4239130434782608,0.0253164556962025,0.0264900662251655,0.08,0.2575757575757575
42943,chr1,112016414,112021134,ENSG00000143110,C1orf162,chr1,112938836,113006078,ENSG00000143079,CTTNBP2NL,0.2650602409638554,0.4752475247524752,0.0,0.2166666666666666,0.0189873417721519,0.4210526315789473,0.4869358669833729,0.0269541778975741,0.6043689320388349,0.4076086956521739,0.2807692307692307,0.3501350135013501,0.2084942084942085,0.3401301518438178,0.0833333333333333,0.2912621359223301,0.1344827586206896,0.3104166666666667,0.2191011235955056,0.0614525139664804,0.003875968992248,0.116504854368932,0.3079777365491651,0.1626617375231053,0.1034482758620689,0.4,0.3665338645418327,0.2155688622754491,0.375,0.0253164556962025,0.086092715231788,0.4133333333333333,0.0454545454545454
46425,chr19,16435637,16439496,ENSG00000127528,KLF2,chr19,16466050,16582896,ENSG00000127527,EPS15L1,0.0662650602409638,0.1663366336633663,0.025,0.1416666666666666,0.0253164556962025,0.0,0.0783847980997624,0.0026954177897574,0.5024271844660194,0.0181159420289855,0.0211538461538461,0.207020702070207,0.2123552123552123,0.1492407809110629,0.1458333333333333,0.0533980582524271,0.1724137931034483,0.0916666666666666,0.4662921348314606,0.2402234636871508,0.0116279069767441,0.0485436893203883,0.0760667903525046,0.266173752310536,0.3448275862068966,0.0241379310344827,0.0159362549800796,0.1217564870259481,0.2282608695652173,0.0253164556962025,0.3642384105960264,0.04,0.0
48375,chr6,118320138,118320611,ENSG00000230202,AL450405.1,chr6,119498370,119670926,ENSG00000111885,MAN1A1,0.2831325301204819,0.0297029702970297,0.0125,0.1166666666666666,0.0189873417721519,0.0526315789473684,0.2470308788598574,0.2749326145552561,0.5679611650485437,0.1068840579710145,0.0807692307692307,0.2007200720072007,0.1737451737451737,0.2130151843817787,0.2708333333333333,0.1529126213592233,0.1206896551724138,0.3291666666666666,0.1348314606741573,0.0,0.0,0.0097087378640776,0.1595547309833024,0.044362292051756,0.0344827586206896,0.0586206896551724,0.0836653386454183,0.0638722554890219,0.391304347826087,0.1139240506329113,0.2913907284768212,0.0533333333333333,0.1666666666666666
