label,chr1,x1,x2,chr2,y1,y2
0,14,53286507,53356662,14,53601343,53658425
0,5,151713199,151745652,5,152191121,152219894
0,5,94148467,94392870,5,94804083,94919837
0,5,41140366,41150389,5,41446451,41495078
1,14,51750000,51775000,14,52225000,52250000
0,5,131325000,131350000,5,131510000,131520000
0,5,88956764,88959795,5,89065829,89079342
0,5,119761843,119815572,5,119893238,119946851
0,14,27547874,27557857,14,27758411,27793603
0,5,49974214,50088800,5,50118175,50167370
0,14,80448868,80467281,14,80580297,80608950
0,5,93647061,93756622,5,94921431,95407129
1,14,72975000,73000000,14,73925000,73950000
0,14,81283275,81291854,14,81480983,81508334
0,5,8286575,8296484,5,8330569,8351554
0,14,55757176,55942796,14,56544040,56624331
1,5,5140000,5150000,5,5400000,5425000
0,14,62618027,62678965,14,63038996,63046643
0,14,59129733,59181703,14,59402442,59435604
0,5,7134279,7366709,5,8330569,8351554
0,14,80735082,80757617,14,80980716,80995093
1,5,94950000,94980000,5,95175000,95200000
1,14,96025000,96050000,14,96725000,96750000
0,5,159579421,159591246,5,161211142,161236837
0,14,66049706,66099969,14,66265383,66306619
0,5,136075501,136084736,5,136427181,136475114
0,5,136246944,136262003,5,136360557,136423170
0,14,89619688,89725163,14,89868128,89892595
0,5,144472078,144500004,5,144963546,144973469
0,5,105446173,105468350,5,105800586,105844305
0,14,55326368,55396279,14,55757176,55942796
0,5,28881288,29109890,5,29250410,29375567
0,5,28333677,28356548,5,29898641,29919718
0,5,78956942,79195207,5,79615326,79653917
0,14,82633425,82715649,14,82722364,82731749
0,5,119123289,119176624,5,119249567,119269805
0,5,141960029,142007546,5,142709816,142758479
0,5,22222348,22251744,5,23293880,23311701
1,5,172400000,172410000,5,172710000,172730000
0,14,84935353,84953626,14,85054759,85064872
0,5,54788861,54822639,5,54931549,54965289
0,5,23179030,23225061,5,23736221,23749834
1,5,6630000,6640000,5,6710000,6720000
0,14,30725901,30774561,14,30818063,30999595
0,5,34329303,35249016,5,35416824,35456679
0,14,71670810,71743570,14,72270332,72275663
0,5,7570929,7580346,5,9230869,9243079
0,5,76419247,76476772,5,76546692,76550647
1,5,110875000,110900000,5,111475000,111525000
0,14,44946777,45003176,14,45264697,45280664
0,5,78666906,78674163,5,79198307,79280392
0,14,97756493,97772787,14,97899635,97932396
0,5,137249264,137437012,5,137451153,138202697
1,14,69700000,69725000,14,69925000,69950000
0,5,103667062,103729375,5,104255244,104381029
0,14,44895802,44907839,14,45046926,45071225
0,5,124736680,124772922,5,125366509,125409417
0,14,66531933,66571603,14,67056173,67102568
0,5,146467270,146488439,5,146591146,146616885
1,5,31550000,31600000,5,31800000,31825000
0,5,23083792,23134523,5,23630783,23659933
0,5,165975333,165988844,5,166271166,166310118
0,14,50638860,50927741,14,51018817,51076526
0,5,167789784,167795747,5,167813239,168068876
0,5,88517105,88635266,5,88753498,88892980
0,14,79215408,79274698,14,79580000,79592551
0,5,160499313,160601103,5,161151224,161163401
0,5,2979335,3004662,5,3073104,3078125
0,5,37789256,37917870,5,37928065,37945228
1,5,156750000,156780000,5,157150000,157175000
0,5,44898828,44909871,5,45517159,45568216
0,14,70616922,70698259,14,70775590,70813076
0,5,82163671,82229609,5,82693342,82820856
0,14,66164078,66168177,14,66755412,66769553
0,5,28231377,28273448,5,29192711,29240029
1,14,50775000,50800000,14,50990000,51010000
0,5,28231377,28273448,5,28498363,28627744
0,5,119637993,119684894,5,120471332,120479071
0,5,66937389,66960954,5,67447930,67467435
0,5,41245430,41277955,5,41568918,41582537
0,5,126769303,126802277,5,127237540,127294513
0,14,51883704,51932047,14,52016736,52027007
0,14,63126850,63145847,14,63627466,63672524
0,5,37405992,37459392,5,37461324,37645749
0,5,109883083,109911044,5,110274580,110285593
1,5,39700000,39725000,5,40675000,40700000
0,5,123036239,123080463,5,123229955,123255552
0,14,26938454,26955013,14,27023352,27027173
1,5,148695000,148710000,5,148745000,148760000
0,5,8755008,8830621,5,8962626,9023693
0,5,24068238,24079579,5,24173328,24192193
0,5,120229250,120243421,5,120407397,120453618
0,5,5371775,5741202,5,6156892,6177611
0,5,16537997,16617080,5,16682370,16731604
1,14,93150000,93180000,14,93350000,93375000
1,5,169725000,169750000,5,170800000,170850000
0,5,124776533,124791002,5,125428086,125463601
1,14,55020000,55050000,14,55150000,55175000
1,14,60625000,60675000,14,61025000,61050000
0,5,92724430,92769126,5,93770640,93798223
0,14,51018817,51076526,14,51618029,51629858
0,5,97071372,97113568,5,97238208,97259233
0,14,83772539,83782426,14,83849517,83858254
0,5,22999263,23044456,5,23698327,23712268
0,14,66581399,66621159,14,66755412,66769553
0,5,100462882,100503443,5,100608778,100663985
0,5,11210646,11322408,5,11747729,11782507
1,5,53800000,53825000,5,54150000,54175000
1,5,140600000,140625000,5,140925000,140950000
0,5,99549388,99655521,5,99907951,99941571
0,5,58568518,58600615,5,59209606,59243807
0,14,76623032,76756457,14,77024429,77057914
1,14,105670000,105680000,14,105820000,105840000
0,14,79117144,79143248,14,79472846,79482411
1,5,158580000,158585000,5,158740000,158745000
1,5,55560000,55580000,5,56130000,56140000
0,5,6934700,7105455,5,7603578,7635179
0,14,81661093,81818873,14,81952564,81963329
0,14,47019376,47083007,14,47538930,47561841
0,14,89954676,89971237,14,90094398,90175066
0,14,25996675,26017800,14,26277061,26329214
0,14,59305922,59313369,14,59761862,59852122
